filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,-1.79374608448931,-0.0413588170362616,12.5106105830642,43.65332763376,1
5,-11.9529670510751,-1.15564001753045,25.1810223824266,104.359837889744,1
7,-19.8946302006216,-2.85141420130145,26.4945401255349,163.217888729,1
9,-25.4781669729357,-4.57454353801092,27.8441879654965,203.2960803194,1
11,-29.5807907122444,-6.09575470829333,29.0150091428419,232.069875221174,1
13,-32.7253244884408,-7.36793388830619,35.6382165981483,253.747675097226,1
15,-35.2186474695052,-8.41421568659815,40.0492389464207,270.567032191698,1
17,-37.2507747888446,-9.2782607852113,40.101633806326,284.134885769887,1
19,-38.9442917839067,-10.002448331048,38.4281126466392,295.024779974388,1
