name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,11,33.476,27.673,-17.33481,0.972,0.949,-2.36626,52.435,47.529,-9.35635
Case_1-02,avg,otsu,11,33.482,27.428,-18.08136,0.972,0.95,-2.26337,52.75,46.001,-12.79431
Case_1-03,avg,otsu,11,33.98,29.317,-13.72278,0.977,0.965,-1.22825,49.548,51.709,4.36143
Case_1-04,avg,otsu,11,33.947,29.315,-13.6448,0.979,0.969,-1.02145,52.916,50.688,-4.21045
Case_1-05,avg,otsu,11,33.969,29.102,-14.32777,0.978,0.964,-1.43149,49.426,51.681,4.56238
Case_1-06,avg,otsu,11,33.434,27.642,-17.32368,0.977,0.955,-2.25179,53.791,46.733,-13.12115
Case_1-07,avg,otsu,11,33.741,28.372,-15.91239,0.981,0.961,-2.03874,52.955,48.851,-7.74998
Case_1-08,avg,otsu,11,34.152,29.44,-13.79714,0.975,0.963,-1.23077,49.907,50.227,0.64119
Case_10-01,avg,otsu,11,32.913,24.94,-24.22447,0.964,0.855,-11.30705,41.999,52.587,25.21012
Case_10-02,avg,otsu,11,33.662,25.266,-24.94207,0.969,0.87,-10.21672,44.972,50.925,13.23713
Case_10-03,avg,otsu,11,32.564,24.707,-24.12787,0.961,0.846,-11.9667,41.347,51.263,23.98239
Case_10-04,avg,otsu,11,32.984,24.505,-25.7064,0.967,0.856,-11.4788,42.219,49.95,18.31166
Case_10-05,avg,otsu,11,34.767,28.128,-19.09569,0.972,0.922,-5.14403,50.273,52.797,5.02059
Case_10-06,avg,otsu,11,33.637,25.46,-24.30954,0.97,0.88,-9.27835,45.244,50.208,10.97162
Case_10-07,avg,otsu,11,33.555,25.216,-24.85174,0.971,0.878,-9.57775,43.705,50.58,15.73047
Case_10-08,avg,otsu,11,33.535,25.304,-24.54451,0.971,0.879,-9.47477,43.72,50.804,16.20311
Case_10-09,avg,otsu,11,33.125,25.349,-23.47472,0.969,0.876,-9.59752,44.105,51.978,17.85058
Case_10-10,avg,otsu,11,33.951,26.644,-21.52219,0.965,0.875,-9.32642,42.055,55.443,31.8345
Case_11-07,avg,otsu,11,34.089,26.501,-22.25938,0.963,0.876,-9.03427,54.242,57.976,6.88396
Case_11-09,avg,otsu,11,38.547,32.977,-14.44989,0.965,0.948,-1.76166,48.089,50.208,4.40641
Case_11-10,avg,otsu,11,36.241,29.795,-17.78648,0.964,0.921,-4.46058,39.272,55.538,41.41882
