filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-7.8145120625,-0.4246245,10.047032125,1
5,-12.7537209375,-1.167793,21.995763625,1
7,-18.651627,-2.56121475,22.2011074375,1
9,-24.1467065625,-4.198688125,23.0972615,1
11,-28.44310325,-5.726110375,23.483988,1
13,-31.8060985,-7.034309625,31.1920155,1
15,-34.4806620625,-8.126522375,38.82132425,1
17,-36.6504145,-9.029954,40.3689481875,1
19,-38.44863775,-9.7913355625,40.21234,1
