name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_3-03,avg,fixed_multilevel_tresholding,15,28.53,25.197,-11.68244,0.924,0.902,-2.38095,48.277,62.604,29.67666
Case_3-04,avg,fixed_multilevel_tresholding,15,28.688,25.882,-9.78109,0.936,0.923,-1.38889,47.75,63.991,34.01257
Case_3-05,avg,fixed_multilevel_tresholding,15,28.468,25.482,-10.48897,0.935,0.922,-1.39037,51.192,62.02,21.15174
Case_3-06,avg,fixed_multilevel_tresholding,15,28.677,25.564,-10.85539,0.927,0.906,-2.26537,49.182,65.628,33.43906
Case_3-07,avg,fixed_multilevel_tresholding,15,29.253,27.487,-6.03699,0.953,0.951,-0.20986,50.316,67.94,35.02663
Case_3-08,avg,fixed_multilevel_tresholding,15,28.945,25.357,-12.39592,0.93,0.909,-2.25806,48.78,65.708,34.70275
Case_3-09,avg,fixed_multilevel_tresholding,15,29.654,28.076,-5.32137,0.934,0.936,0.21413,51.292,67.214,31.04188
Case_3-10,avg,fixed_multilevel_tresholding,15,29.209,26.861,-8.03862,0.945,0.938,-0.74074,50.638,67.375,33.05225
Case_4-01,avg,fixed_multilevel_tresholding,15,30.82,29.298,-4.93835,0.941,0.957,1.70032,50.182,60.892,21.34231
Case_4-02,avg,fixed_multilevel_tresholding,15,29.903,28.506,-4.67177,0.969,0.974,0.516,54.512,68.556,25.76313
Case_4-03,avg,fixed_multilevel_tresholding,15,30.238,28.599,-5.42033,0.962,0.968,0.6237,54.727,62.174,13.60754
Case_4-04,avg,fixed_multilevel_tresholding,15,29.852,28.412,-4.8238,0.971,0.975,0.41195,53.385,68.339,28.01161
Case_4-05,avg,fixed_multilevel_tresholding,15,29.862,28.259,-5.36803,0.966,0.969,0.31056,50.217,69.075,37.55302
Case_4-06,avg,fixed_multilevel_tresholding,15,29.885,27.946,-6.4882,0.967,0.971,0.41365,52.979,68.687,29.64948
Case_4-07,avg,fixed_multilevel_tresholding,15,30.169,29.113,-3.50028,0.965,0.973,0.82902,57.885,67.96,17.4052
Case_4-08,avg,fixed_multilevel_tresholding,15,30.821,30.834,0.04218,0.965,0.976,1.1399,54.082,64.382,19.04515
Case_4-09,avg,fixed_multilevel_tresholding,15,30.267,29.457,-2.67618,0.97,0.977,0.72165,54.688,67.097,22.69054
Case_4-10,avg,fixed_multilevel_tresholding,15,29.75,27.971,-5.97983,0.963,0.967,0.41537,54.452,64.547,18.53926
Case_5-01,avg,fixed_multilevel_tresholding,15,30.375,28.42,-6.43621,0.925,0.931,0.64865,51.158,69.2,35.26721
Case_5-02,avg,fixed_multilevel_tresholding,15,30.513,28.468,-6.70206,0.9,0.913,1.44444,56.432,69.042,22.34548
Case_5-04,avg,fixed_multilevel_tresholding,15,30.824,28.837,-6.44628,0.9,0.919,2.11111,57.4,68.555,19.4338
Case_5-05,avg,fixed_multilevel_tresholding,15,30.629,28.279,-7.67247,0.927,0.933,0.64725,51.942,69.388,33.58746
Case_5-07,avg,fixed_multilevel_tresholding,15,30.833,28.808,-6.56764,0.905,0.921,1.76796,57.058,69.054,21.02422
Case_5-08,avg,fixed_multilevel_tresholding,15,30.476,28.207,-7.4452,0.913,0.922,0.98576,52.033,69.346,33.27312
Case_6-01,avg,fixed_multilevel_tresholding,15,28.951,25.4,-12.26555,0.929,0.917,-1.29171,47.875,63.985,33.65013
Case_6-02,avg,fixed_multilevel_tresholding,15,28.79,25.062,-12.94894,0.925,0.911,-1.51351,47.492,63.359,33.40984
Case_6-03,avg,fixed_multilevel_tresholding,15,28.857,25.447,-11.81689,0.933,0.921,-1.28617,47.87,63.993,33.6808
Case_6-04,avg,fixed_multilevel_tresholding,15,29.591,26.936,-8.97232,0.928,0.926,-0.21552,54.976,65.95,19.96144
Case_6-05,avg,fixed_multilevel_tresholding,15,28.681,25.284,-11.84408,0.935,0.927,-0.85561,46.298,61.355,32.52192
Case_6-06,avg,fixed_multilevel_tresholding,15,29.075,26.545,-8.70163,0.941,0.94,-0.10627,46.161,64.951,40.70536
Case_6-07,avg,fixed_multilevel_tresholding,15,29.692,27.336,-7.9348,0.932,0.932,0,52.893,67.32,27.27582
Case_6-08,avg,fixed_multilevel_tresholding,15,28.817,25.782,-10.53198,0.921,0.916,-0.54289,45.842,62.202,35.6878
Case_6-10,avg,fixed_multilevel_tresholding,15,29.354,26.072,-11.18076,0.929,0.925,-0.43057,50.749,63.656,25.43301
Case_7-01,avg,fixed_multilevel_tresholding,15,33.076,31.74,-4.03918,0.876,0.891,1.71233,55.293,52.125,-5.72948
Case_7-02,avg,fixed_multilevel_tresholding,15,32.912,31.784,-3.42732,0.88,0.895,1.70455,56.66,52.711,-6.96964
Case_7-03,avg,fixed_multilevel_tresholding,15,32.607,30.216,-7.33278,0.876,0.883,0.79909,53.227,52.628,-1.12537
Case_7-04,avg,fixed_multilevel_tresholding,15,32.263,30.965,-4.02318,0.847,0.859,1.41677,55.392,52.546,-5.13793
Case_7-05,avg,fixed_multilevel_tresholding,15,31.817,29.682,-6.71025,0.844,0.853,1.06635,53.421,52.294,-2.10966
Case_7-06,avg,fixed_multilevel_tresholding,15,31.825,29.691,-6.70542,0.853,0.858,0.58617,54.137,52.839,-2.39762
Case_7-07,avg,fixed_multilevel_tresholding,15,31.969,29.985,-6.20601,0.862,0.867,0.58005,52.948,48.235,-8.90119
Case_7-08,avg,fixed_multilevel_tresholding,15,31.797,29.968,-5.75211,0.851,0.86,1.05758,53.759,56.011,4.18907
Case_7-09,avg,fixed_multilevel_tresholding,15,31.45,29.645,-5.73927,0.872,0.882,1.14679,51.383,55.526,8.06298
Case_7-10,avg,fixed_multilevel_tresholding,15,32.033,30.986,-3.2685,0.794,0.809,1.88917,55.417,51.709,-6.69109
Case_7-12,avg,fixed_multilevel_tresholding,15,31.294,29.209,-6.66262,0.845,0.849,0.47337,54.042,51.363,-4.95726
Case_8-01,avg,fixed_multilevel_tresholding,15,30.468,26.506,-13.00381,0.865,0.826,-4.50867,58.992,63.456,7.56713
Case_8-02,avg,fixed_multilevel_tresholding,15,31.13,27.638,-11.21748,0.877,0.861,-1.8244,48.867,56.937,16.51421
Case_8-03,avg,fixed_multilevel_tresholding,15,31.107,28.127,-9.57984,0.865,0.867,0.23121,55.881,57.45,2.80775
Case_8-04,avg,fixed_multilevel_tresholding,15,31.043,27.788,-10.48546,0.872,0.858,-1.6055,56.009,55.348,-1.18017
Case_9-01,avg,fixed_multilevel_tresholding,15,28.266,23.98,-15.16309,0.916,0.853,-6.87773,53.209,59.076,11.02633
Case_9-02,avg,fixed_multilevel_tresholding,15,28.948,24.344,-15.90438,0.887,0.817,-7.89177,58.069,58.864,1.36906
Case_9-03,avg,fixed_multilevel_tresholding,15,28.269,22.824,-19.26138,0.857,0.695,-18.90315,50.409,64.853,28.65361
Case_9-04,avg,fixed_multilevel_tresholding,15,28.628,24.464,-14.5452,0.898,0.822,-8.46325,51.349,67.368,31.19632
Case_9-05,avg,fixed_multilevel_tresholding,15,28.204,23.103,-18.08609,0.883,0.746,-15.51529,51.334,64.981,26.58472
Case_9-07,avg,fixed_multilevel_tresholding,15,28.334,22.739,-19.74659,0.873,0.731,-16.26575,50.063,59.546,18.94213
Case_9-08,avg,fixed_multilevel_tresholding,15,28.486,23.262,-18.33883,0.887,0.775,-12.62683,50.158,61.527,22.66637
Case_9-10,avg,fixed_multilevel_tresholding,15,28.187,23.118,-17.98347,0.893,0.781,-12.54199,53.103,63.066,18.76165
