name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,17,28.506,23.419,-17.84537,0.929,0.901,-3.01399,44.206,61.261,38.58074
Case_1-02,avg,fixed_multilevel_tresholding,17,28.44,22.681,-20.24965,0.927,0.892,-3.77562,45.46,58.24,28.11263
Case_1-03,avg,fixed_multilevel_tresholding,17,28.9,25.015,-13.44291,0.94,0.932,-0.85106,44.406,64.909,46.17169
Case_1-04,avg,fixed_multilevel_tresholding,17,28.842,24.676,-14.44421,0.944,0.933,-1.16525,44.233,65.32,47.67255
Case_1-05,avg,fixed_multilevel_tresholding,17,28.935,24.915,-13.89321,0.941,0.93,-1.16897,45.133,65.325,44.73888
Case_1-06,avg,fixed_multilevel_tresholding,17,28.466,23.007,-19.17726,0.939,0.906,-3.51438,45.905,61.64,34.27731
Case_1-07,avg,fixed_multilevel_tresholding,17,28.853,24.089,-16.51128,0.95,0.925,-2.63158,45.998,66.678,44.95848
Case_1-08,avg,fixed_multilevel_tresholding,17,29.023,25.025,-13.77528,0.935,0.926,-0.96257,46.057,64.738,40.56061
Case_10-01,avg,fixed_multilevel_tresholding,17,28.265,22.242,-21.30904,0.909,0.789,-13.20132,52.368,66.959,27.86244
Case_10-02,avg,fixed_multilevel_tresholding,17,28.705,22.066,-23.12837,0.916,0.793,-13.42795,51.719,66.372,28.33195
Case_10-03,avg,fixed_multilevel_tresholding,17,28.034,22.101,-21.16359,0.902,0.782,-13.30377,51.503,66.775,29.65264
Case_10-04,avg,fixed_multilevel_tresholding,17,28.155,21.6,-23.28183,0.913,0.786,-13.91019,51.346,65.225,27.03034
Case_10-05,avg,fixed_multilevel_tresholding,17,29.55,24.698,-16.41963,0.922,0.87,-5.63991,53.272,66.333,24.51757
Case_10-06,avg,fixed_multilevel_tresholding,17,28.622,22.083,-22.84606,0.918,0.807,-12.0915,52.41,65.596,25.15932
Case_10-07,avg,fixed_multilevel_tresholding,17,28.615,22.202,-22.41132,0.922,0.811,-12.03905,52.779,66.637,26.25666
Case_10-08,avg,fixed_multilevel_tresholding,17,28.629,22.256,-22.26064,0.921,0.812,-11.83496,52.79,66.769,26.48039
Case_10-09,avg,fixed_multilevel_tresholding,17,28.283,22.503,-20.4363,0.918,0.817,-11.00218,51.182,66.894,30.69829
Case_10-10,avg,fixed_multilevel_tresholding,17,28.849,23.922,-17.07858,0.901,0.816,-9.43396,52.489,67.879,29.32043
Case_11-07,avg,fixed_multilevel_tresholding,17,29.139,23.644,-18.85789,0.902,0.807,-10.53215,61.466,56.244,-8.49575
Case_11-09,avg,fixed_multilevel_tresholding,17,31.972,28.918,-9.55211,0.863,0.858,-0.57937,52.452,48.309,-7.89865
Case_11-10,avg,fixed_multilevel_tresholding,17,30.632,26.709,-12.80687,0.871,0.839,-3.67394,44.608,57.826,29.63146
Case_11-11,avg,fixed_multilevel_tresholding,17,30.611,26.491,-13.45921,0.868,0.832,-4.14747,43.352,57.339,32.26379
Case_11-12,avg,fixed_multilevel_tresholding,17,30.484,26.25,-13.88925,0.869,0.83,-4.48792,41.542,56.276,35.46772
Case_11-13,avg,fixed_multilevel_tresholding,17,32.161,28.194,-12.33482,0.875,0.85,-2.85714,50.534,49.155,-2.72886
Case_11-15,avg,fixed_multilevel_tresholding,17,29.593,25.5,-13.83097,0.909,0.867,-4.62046,58.655,54.926,-6.35751
Case_12-01,avg,fixed_multilevel_tresholding,17,29.991,26.589,-11.3434,0.949,0.937,-1.26449,51.284,69.158,34.85298
Case_12-02,avg,fixed_multilevel_tresholding,17,29.884,26.576,-11.06947,0.951,0.939,-1.26183,50.238,68.741,36.83069
Case_12-03,avg,fixed_multilevel_tresholding,17,29.796,26.387,-11.44113,0.949,0.937,-1.26449,51.081,68.77,34.62931
Case_12-04,avg,fixed_multilevel_tresholding,17,29.475,25.166,-14.61917,0.943,0.91,-3.49947,48.971,68.811,40.51377
Case_12-05,avg,fixed_multilevel_tresholding,17,29.323,24.815,-15.3736,0.936,0.897,-4.16667,49.715,69.132,39.05662
Case_12-06,avg,fixed_multilevel_tresholding,17,29.17,25.124,-13.87041,0.939,0.91,-3.08839,50.272,68.895,37.04448
