name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,fixed_multilevel_tresholding,2,11,40.12434,32.77871,-18.30717,0.99317,0.98106,-1.21933,48.57802,55.24648,13.72732
Case_1-01,gauss,fixed_multilevel_tresholding,2,13,40.12434,32.6749,-18.56589,0.99317,0.98079,-1.24651,48.57802,55.1667,13.56309
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,3,40.29366,23.16933,-42.49882,0.99325,0.92961,-6.40725,53.81616,49.54279,-7.94068
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,5,40.29366,34.67096,-13.9543,0.99325,0.98804,-0.52454,53.81616,53.35896,-0.84956
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,7,40.29366,36.26949,-9.9871,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,9,40.29366,36.26949,-9.9871,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,11,40.29366,36.26949,-9.9871,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,13,40.29366,36.26948,-9.98713,0.99325,0.98979,-0.34835,53.81616,53.67998,-0.25305
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,3,40.29366,23.13259,-42.59,0.99325,0.92978,-6.39013,53.81616,47.90978,-10.9751
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,5,40.29366,34.25317,-14.99117,0.99325,0.98839,-0.4893,53.81616,53.64051,-0.32639
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,7,40.29366,35.7228,-11.34387,0.99325,0.99018,-0.30909,53.81616,54.62778,1.50813
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,9,40.29366,35.72296,-11.34347,0.99325,0.99018,-0.30909,53.81616,54.6278,1.50817
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,11,40.29366,35.72296,-11.34347,0.99325,0.99018,-0.30909,53.81616,54.6278,1.50817
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,13,40.29366,35.72296,-11.34347,0.99325,0.99018,-0.30909,53.81616,54.6278,1.50817
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,3,40.29366,23.12759,-42.60241,0.99325,0.92954,-6.4143,53.81616,47.32451,-12.06264
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,5,40.29366,34.12777,-15.30238,0.99325,0.98803,-0.52555,53.81616,53.85453,0.0713
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,7,40.29366,35.79553,-11.16337,0.99325,0.99014,-0.31311,53.81616,56.35165,4.71139
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,9,40.29366,35.83109,-11.07512,0.99325,0.99018,-0.30909,53.81616,56.39298,4.78819
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,11,40.29366,35.82623,-11.08718,0.99325,0.99018,-0.30909,53.81616,56.38793,4.77881
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,13,40.29366,35.82622,-11.0872,0.99325,0.99018,-0.30909,53.81616,56.38793,4.77881
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,3,40.29366,23.12811,-42.60112,0.99325,0.92946,-6.42235,53.81616,47.11494,-12.45206
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,5,40.29366,33.90502,-15.8552,0.99325,0.98728,-0.60106,53.81616,53.43443,-0.70932
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,7,40.29366,35.44239,-12.03978,0.99325,0.98911,-0.41681,53.81616,58.01062,7.79405
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,9,40.29366,35.38148,-12.19095,0.99325,0.989,-0.42789,53.81616,58.29756,8.32724
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,11,40.29366,35.36868,-12.22272,0.99325,0.98898,-0.4299,53.81616,58.34066,8.40733
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,13,40.29366,35.3678,-12.2249,0.99325,0.98898,-0.4299,53.81616,58.34091,8.40779
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,3,40.29366,23.12681,-42.60435,0.99325,0.9294,-6.42839,53.81616,47.04759,-12.57721
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,5,40.29366,33.78097,-16.16306,0.99325,0.9867,-0.65945,53.81616,52.84825,-1.79855
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,7,40.29366,34.77998,-13.68374,0.99325,0.98749,-0.57991,53.81616,58.10518,7.96976
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,9,40.29366,34.36232,-14.72028,0.99325,0.98669,-0.66046,53.81616,58.20402,8.15342
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,11,40.29366,34.2339,-15.03899,0.99325,0.98644,-0.68563,53.81616,58.1355,8.0261
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,13,40.29366,34.20802,-15.10322,0.99325,0.9864,-0.68966,53.81616,58.12337,8.00356
Case_1-02,gauss,fixed_multilevel_tresholding,2,3,40.29366,23.12513,-42.60851,0.99325,0.92936,-6.43242,53.81616,46.98758,-12.68872
Case_1-02,gauss,fixed_multilevel_tresholding,2,5,40.29366,33.75436,-16.2291,0.99325,0.98636,-0.69368,53.81616,52.70782,-2.05949
Case_1-02,gauss,fixed_multilevel_tresholding,2,7,40.29366,34.16764,-15.20343,0.99325,0.98593,-0.73697,53.81616,57.08095,6.06656
Case_1-02,gauss,fixed_multilevel_tresholding,2,9,40.29366,33.29596,-17.36675,0.99325,0.9839,-0.94135,53.81616,56.15627,4.34834
Case_1-02,gauss,fixed_multilevel_tresholding,2,11,40.29366,32.89386,-18.36468,0.99325,0.98293,-1.03901,53.81616,55.77358,3.63723
Case_1-02,gauss,fixed_multilevel_tresholding,2,13,40.29366,32.76688,-18.67981,0.99325,0.98264,-1.06821,53.81616,55.65222,3.41173
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,3,40.75798,24.1861,-40.65923,0.99443,0.94091,-5.38198,47.54043,42.66908,-10.24675
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,5,40.75798,35.41321,-13.11343,0.99443,0.98984,-0.46157,47.54043,43.48442,-8.53171
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,7,40.75798,37.09995,-8.975,0.99443,0.9914,-0.3047,47.54043,42.57316,-10.44852
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,9,40.75798,37.09997,-8.97495,0.99443,0.9914,-0.3047,47.54043,42.57317,-10.4485
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,11,40.75798,37.09997,-8.97495,0.99443,0.9914,-0.3047,47.54043,42.57317,-10.4485
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,13,40.75798,37.09997,-8.97495,0.99443,0.9914,-0.3047,47.54043,42.57317,-10.4485
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,3,40.75798,24.1342,-40.78656,0.99443,0.94105,-5.3679,47.54043,42.68976,-10.20325
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,5,40.75798,34.77021,-14.69104,0.99443,0.98977,-0.46861,47.54043,52.12534,9.64423
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,7,40.75798,36.25791,-11.04095,0.99443,0.99137,-0.30771,47.54043,51.0108,7.29983
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,9,40.75798,36.25809,-11.04051,0.99443,0.99137,-0.30771,47.54043,51.01082,7.29987
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,11,40.75798,36.2581,-11.04049,0.99443,0.99137,-0.30771,47.54043,51.01082,7.29987
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,13,40.75798,36.2581,-11.04049,0.99443,0.99137,-0.30771,47.54043,51.01082,7.29987
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,3,40.75798,24.11034,-40.84511,0.99443,0.94077,-5.39606,47.54043,42.74434,-10.08844
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,5,40.75798,34.27122,-15.91531,0.99443,0.98913,-0.53297,47.54043,54.38915,14.4061
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,7,40.75798,35.81663,-12.12364,0.99443,0.991,-0.34492,47.54043,54.26832,14.15193
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,9,40.75798,35.82909,-12.09307,0.99443,0.99103,-0.3419,47.54043,54.2034,14.01538
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,11,40.75798,35.82986,-12.09118,0.99443,0.99103,-0.3419,47.54043,54.20359,14.01578
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,13,40.75798,35.82988,-12.09113,0.99443,0.99103,-0.3419,47.54043,54.20359,14.01578
Case_1-03,gauss,fixed_multilevel_tresholding,1.4,3,40.75798,24.10564,-40.85664,0.99443,0.9407,-5.4031,47.54043,42.832,-9.90405
Case_1-03,gauss,fixed_multilevel_tresholding,1.4,5,40.75798,34.13043,-16.26074,0.99443,0.98863,-0.58325,47.54043,54.33311,14.28822
Case_1-03,gauss,fixed_multilevel_tresholding,1.4,7,40.75798,35.46938,-12.97562,0.99443,0.99018,-0.42738,47.54043,54.7536,15.17271
