name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-08,avg,otsu,3,40.89445,24.33557,-40.49175,0.99383,0.94252,-5.16285,49.05915,43.8651,-10.58732
Case_1-08,avg,otsu,5,40.89445,34.58645,-15.42508,0.99383,0.98674,-0.7134,49.05915,53.0156,8.06465
Case_1-08,avg,otsu,7,40.89445,33.68346,-17.63318,0.99383,0.9831,-1.07966,49.05915,52.55014,7.11588
Case_1-08,avg,otsu,9,40.89445,31.43381,-23.13429,0.99383,0.97534,-1.86048,49.05915,52.65873,7.33722
Case_1-08,avg,otsu,11,40.89445,29.53565,-27.7759,0.99383,0.9665,-2.74997,49.05915,50.96928,3.89352
Case_1-08,avg,otsu,13,40.89445,27.97374,-31.59527,0.99383,0.95751,-3.65455,49.05915,57.36376,16.92775
Case_10-01,avg,otsu,3,39.59308,26.03425,-34.24545,0.99112,0.94394,-4.76027,44.3411,45.59144,2.81982
Case_10-01,avg,otsu,5,39.59308,32.23921,-18.57362,0.99112,0.96365,-2.77161,44.3411,50.80968,14.58823
Case_10-01,avg,otsu,7,39.59308,28.901,-27.00492,0.99112,0.92776,-6.39277,44.3411,54.94577,23.91612
Case_10-01,avg,otsu,9,39.59308,26.54983,-32.94326,0.99112,0.88963,-10.23993,44.3411,54.44313,22.78254
Case_10-01,avg,otsu,11,39.59308,24.97398,-36.92337,0.99112,0.8581,-13.42118,44.3411,53.26629,20.12848
Case_10-01,avg,otsu,13,39.59308,23.8599,-39.7372,0.99112,0.8343,-15.8225,44.3411,55.55939,25.29998
Case_10-02,avg,otsu,3,40.73379,24.47189,-39.92238,0.99291,0.92972,-6.36412,45.80598,47.79347,4.33893
Case_10-02,avg,otsu,5,40.73379,32.99062,-19.00921,0.99291,0.97029,-2.27815,45.80598,44.34664,-3.18592
Case_10-02,avg,otsu,7,40.73379,29.76882,-26.91861,0.99291,0.94143,-5.18476,45.80598,51.41219,12.23904
Case_10-02,avg,otsu,9,40.73379,27.12502,-33.40904,0.99291,0.90566,-8.7873,45.80598,52.18187,13.91934
Case_10-02,avg,otsu,11,40.73379,25.28498,-37.92628,0.99291,0.87282,-12.09475,45.80598,51.81966,13.12859
Case_10-02,avg,otsu,13,40.73379,23.96188,-41.17444,0.99291,0.84579,-14.81705,45.80598,52.84881,15.37535
Case_10-03,avg,otsu,3,38.83526,26.48084,-31.81238,0.98929,0.94715,-4.25962,43.97989,45.5004,3.45728
Case_10-03,avg,otsu,5,38.83526,31.89745,-17.86472,0.98929,0.95997,-2.96374,43.97989,51.86913,17.93829
Case_10-03,avg,otsu,7,38.83526,28.55594,-26.46904,0.98929,0.92118,-6.88474,43.97989,55.27702,25.68704
Case_10-03,avg,otsu,9,38.83526,26.26975,-32.35593,0.98929,0.88135,-10.91086,43.97989,54.66714,24.30031
Case_10-03,avg,otsu,11,38.83526,24.74628,-36.27884,0.98929,0.84912,-14.16875,43.97989,52.17573,18.63543
Case_10-03,avg,otsu,13,38.83526,23.67111,-39.04738,0.98929,0.82527,-16.57957,43.97989,56.26698,27.93797
Case_10-04,avg,otsu,3,39.83128,25.70633,-35.46195,0.99209,0.94464,-4.78283,44.56918,46.05592,3.3358
Case_10-04,avg,otsu,5,39.83128,32.02454,-19.59952,0.99209,0.96517,-2.71346,44.56918,48.52062,8.86586
Case_10-04,avg,otsu,7,39.83128,28.65355,-28.06269,0.99209,0.93016,-6.24238,44.56918,54.05941,21.29326
Case_10-04,avg,otsu,9,39.83128,26.19701,-34.23006,0.99209,0.89181,-10.10795,44.56918,53.34474,19.68975
Case_10-04,avg,otsu,11,39.83128,24.52612,-38.42498,0.99209,0.85924,-13.39092,44.56918,50.58759,13.50352
Case_10-04,avg,otsu,13,39.83128,23.32969,-41.42872,0.99209,0.83387,-15.94815,44.56918,54.08457,21.34971
Case_10-05,avg,otsu,3,41.78997,24.09498,-42.34267,0.99297,0.92345,-7.00122,49.50708,45.92124,-7.24309
Case_10-05,avg,otsu,5,41.78997,34.87208,-16.55395,0.99297,0.97885,-1.422,49.50708,57.58034,16.30728
