sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-0.938193625,-0.0081715625,-0.5096205625
0.7,3,-2.519848,0.1328365625,6.497406375
1.1,3,-2.809960875,0.1436851875,8.2228903125
1.4,3,-2.88058575,0.1410671875,8.639953
1.7,3,-2.9066848125,0.1391394375,8.8523750625
2,3,-2.9224028125,0.1359203125,8.92306675
2.3,3,-2.9367025625,0.1340011875,9.0253275
2.6,3,-2.943424375,0.134637,9.084944375
2.9,3,-2.9498644375,0.1327085,9.0983094375
0.4,5,-0.937889,-0.0081715625,-0.509440125
0.7,5,-2.3832821875,0.153939625,7.1172293125
1.1,5,-2.422736,0.125969875,11.6882879375
1.4,5,-2.7934576875,0.0104370625,13.4039283125
1.7,5,-3.1961656875,-0.0877263125,14.3989815625
2,5,-3.5102485,-0.1710933125,14.9263508125
2.3,5,-3.73413275,-0.226289125,15.234331875
2.6,5,-3.9020528125,-0.267294875,15.441689
2.9,5,-4.026026125,-0.2980834375,15.5614124375
0.4,7,-0.937889,-0.0081715625,-0.509440125
0.7,7,-2.3800215,0.153939625,7.1236865625
1.1,7,-2.33671225,0.1117776875,12.24676775
1.4,7,-3.182632875,-0.1212048125,14.9616855625
1.7,7,-4.4835678125,-0.423259125,16.5294924375
2,7,-5.6784019375,-0.68935275,17.0092035625
2.3,7,-6.610494125,-0.909214375,16.9450366875
2.6,7,-7.3083719375,-1.078443625,16.742596
2.9,7,-7.8285126875,-1.2072984375,16.5367530625
0.4,9,-0.937889,-0.0081715625,-0.509440125
0.7,9,-2.3800211875,0.153939625,7.1237055
1.1,9,-2.332,0.1098486875,12.276170375
1.4,9,-3.3337804375,-0.1615781875,15.1858074375
1.7,9,-5.2551583125,-0.5720481875,16.9103859375
2,9,-7.3186415,-1.0162503125,17.017801125
2.3,9,-9.052090625,-1.42712075,16.4271275625
2.6,9,-10.3886014375,-1.763564875,16.03491575
2.9,9,-11.4000568125,-2.0365760625,15.8445441875
0.4,11,-0.937889,-0.0081715625,-0.509440125
0.7,11,-2.3800211875,0.153939625,7.1237055
1.1,11,-2.331769,0.1098486875,12.2766580625
1.4,11,-3.354152375,-0.1634934375,15.208828375
1.7,11,-5.4782448125,-0.606675875,16.95541875
2,11,-8.015156125,-1.141893,16.9080006875
2.3,11,-10.3425255625,-1.6763631875,16.253886625
2.6,11,-12.2412723125,-2.1608081875,16.0013089375
2.9,11,-13.719746125,-2.5792045625,16.158322
0.4,13,-0.937889,-0.0081715625,-0.509440125
0.7,13,-2.3800211875,0.153939625,7.1237055
1.1,13,-2.331720875,0.1098486875,12.2764906875
1.4,13,-3.3557179375,-0.1634934375,15.2135958125
1.7,13,-5.51813275,-0.6092355625,16.9637385625
2,13,-8.223589125,-1.1732866875,16.878715625
2.3,13,-10.872804125,-1.76601925,16.240084875
2.6,13,-13.162986,-2.3446530625,16.1284880625
2.9,13,-15.0263326875,-2.865533125,16.5373140625
0.4,15,-0.937889,-0.0081715625,-0.509440125
0.7,15,-2.3800211875,0.153939625,7.1237055
1.1,15,-2.331720875,0.1098486875,12.2764906875
1.4,15,-3.3560140625,-0.1634934375,15.2132073125
1.7,15,-5.5223664375,-0.6098733125,16.9645686875
2,15,-8.2691511875,-1.1784013125,16.881707
2.3,15,-11.04624325,-1.7968125625,16.2402026875
2.6,15,-13.5523016875,-2.41573225,16.2107938125
2.9,15,-15.6804008125,-3.004454375,16.7027615625
0.4,17,-0.937889,-0.0081715625,-0.509440125
0.7,17,-2.3800211875,0.153939625,7.1237055
1.1,17,-2.331720875,0.1098486875,12.2764906875
1.4,17,-3.3560140625,-0.1634934375,15.2133050625
1.7,17,-5.52268925,-0.6098733125,16.9646755625
2,17,-8.2768173125,-1.179686,16.8796700625
2.3,17,-11.091655,-1.803181875,16.2509738125
2.6,17,-13.6911595,-2.44069925,16.2383590625
2.9,17,-15.9689015625,-3.057607125,16.7838235
0.4,19,-0.937889,-0.0081715625,-0.509440125
0.7,19,-2.3800211875,0.153939625,7.1237055
1.1,19,-2.331720875,0.1098486875,12.2764906875
1.4,19,-3.3560140625,-0.1634934375,15.2133050625
1.7,19,-5.5227404375,-0.6098733125,16.9643168125
2,19,-8.277792125,-1.179686,16.87847525
2.3,19,-11.1012235,-1.80383225,16.2532189375
2.6,19,-13.7331174375,-2.447752625,16.2446580625
2.9,19,-16.08043075,-3.0761636875,16.8222566875
