type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,otsu,2,33.47596,17.6505618125,-49.2465695,0.97234,0.7575023125,-21.756089,52.43543,43.5292948125,-10.878928125
avg,otsu,4,33.47596,29.3161493125,-15.60634,0.97234,0.951581375,-1.6823580625,52.43543,52.457350625,7.23240575
avg,otsu,6,33.47596,32.4278015625,-6.8267200625,0.97234,0.9592941875,-0.8894790625,52.43543,54.65530125,11.934679
avg,otsu,8,33.47596,31.326383375,-10.034455625,0.97234,0.9483143125,-2.030548875,52.43543,54.5510200625,11.7842466875
avg,otsu,10,33.47596,29.92154275,-14.0958345,0.97234,0.9349884375,-3.4139280625,52.43543,54.921275375,12.595273375
avg,otsu,12,33.47596,28.6230671875,-17.8401670625,0.97234,0.922466875,-4.7129196875,52.43543,56.98673175,16.846379875
