type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,fixed_multilevel_tresholding,2,33.47596,17.532563,-49.5866003125,0.97234,0.7523510625,-22.2889675,52.43543,42.9371743125,-12.1059011875
avg,fixed_multilevel_tresholding,4,33.47596,29.28399425,-15.6919959375,0.97234,0.95298775,-1.5366441875,52.43543,53.0955155,8.57162975
avg,fixed_multilevel_tresholding,6,33.47596,32.3720068125,-6.9900136875,0.97234,0.9588085625,-0.9401968125,52.43543,56.4979285,15.7529794375
avg,fixed_multilevel_tresholding,8,33.47596,31.1381576875,-10.580667125,0.97234,0.94652375,-2.2164231875,52.43543,56.64273975,16.014883625
avg,fixed_multilevel_tresholding,10,33.47596,29.6854795625,-14.7757981875,0.97234,0.9327931875,-3.64156875,52.43543,57.0514464375,16.99326425
avg,fixed_multilevel_tresholding,12,33.47596,28.40129525,-18.476906625,0.97234,0.9203304375,-4.9343081875,52.43543,58.9897435625,20.9192999375
