filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,0.828495288613969,0.178214218741523,9.57838817142238,8.60262959346021,1
5,-6.84042914152016,-0.777693821653515,18.0565708791526,52.2643620324558,1
7,-14.5442337881752,-2.40637224286874,18.5114658377146,94.9112978025518,1
9,-20.3039728825649,-4.09768732561696,19.7031529937166,124.464684208146,1
11,-24.6236494888604,-5.59812414915558,20.8283374886975,145.966603800167,1
13,-27.9665006812381,-6.85917626904952,27.3080350714879,161.995738646811,1
15,-30.62834719192,-7.89962803484898,31.8191740652536,173.904204879236,1
17,-32.801400885993,-8.75972104195077,32.0133240007268,183.855032067468,1
19,-34.6134183443694,-9.4808040201583,30.5019077621247,191.934042785198,1
