name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_1,0.4,9,37.2952453771482,34.1049145177561,-8.55425625205002,0.987633574542662,0.98126945876454,-0.644380258241897,51.3781679947428,49.080258464969,-4.47254080762266,6.74017183358787,6.71670379029158,-0.348181676605711
Case_1-02,gauss,method_1,0.4,9,37.4410039067037,33.7702385853123,-9.80413166948799,0.987759080047129,0.980690142984944,-0.715653969169011,54.693254168189,52.3079025421319,-4.36132693571636,7.14737117146963,6.89296761997964,-3.55940030798316
Case_1-03,gauss,method_1,0.4,9,37.9084872566381,35.1109317918094,-7.37976022596065,0.989965298369266,0.985073322556512,-0.494156292226871,51.2830832109972,46.213063417451,-9.88633965841379,7.16992479890151,6.43881727683698,-10.1968645776667
Case_1-04,gauss,method_1,0.4,9,37.9083260790503,35.1457181921008,-7.28760188774509,0.990933219012008,0.986429072419172,-0.454535836161284,54.9405060818229,53.2922797775402,-3.00002024340292,7.50042155588556,6.94985347106136,-7.34049520712842
Case_1-05,gauss,method_1,0.4,9,37.8368974391421,35.0901610905737,-7.25941219939175,0.990029668044883,0.985295085116626,-0.478226368469017,50.6890384255133,44.3975944380236,-12.4118432365507,7.13028183617835,6.54728292562045,-8.17637961517622
Case_1-06,gauss,method_1,0.4,9,37.313821888529,34.0147172692183,-8.84150819277208,0.989858277688834,0.98356822917443,-0.635449402826716,53.4723749207389,52.8226240778109,-1.21511498954574,7.16884020856128,7.17413164726721,0.0738116424970274
Case_1-07,gauss,method_1,0.4,9,37.6177136883956,34.8183780496723,-7.44153581983064,0.991486991469116,0.986500840907675,-0.502896215920393,49.3545851173106,49.818988295813,0.940952451324489,7.28961275608837,6.93502611643994,-4.86427265086579
Case_1-08,gauss,method_1,0.4,9,38.0676599934277,35.1741198074841,-7.60104557633201,0.988872308662103,0.983906475363638,-0.502171337488737,51.9630453806607,49.187905987238,-5.34060190870859,7.45068683740843,6.49499043118018,-12.826957126018
Case_10-01,gauss,method_1,0.4,9,36.7345461707111,33.7091211797733,-8.23591225784632,0.983735162649988,0.976104548991641,-0.775677636427258,43.7050636688008,41.0188631969028,-6.14619965378435,6.23973360486822,6.20583422130363,-0.543282545558366
Case_10-02,gauss,method_1,0.4,9,37.7420148157016,33.9281053237919,-10.1052090370199,0.986669760401793,0.97798752092935,-0.879953944155284,46.2178581436987,43.1107963857014,-6.72264333049996,6.4198582315031,6.41028559907655,-0.149109716778209
