filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-0.952084875,0.399415875,9.518825125,1
5,-1.4731294375,0.04545325,15.8767101875,1
7,-6.0845905,-1.2111651875,16.08721425,1
9,-11.4759075,-2.765153875,16.9337789375,1
11,-16.0189841875,-4.216264625,17.45255725,1
13,-19.694206125,-5.4437776875,24.5982579375,1
15,-22.678929125,-6.4787014375,30.60469625,1
17,-25.13595875,-7.3332200625,31.68089025,1
19,-27.191313625,-8.0448540625,30.909407875,1
