filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,-2.51531608227175,-0.0941210228858756,6.36994064870987,-22.3344782300688,1
5,-4.83187417469171,-0.49968412311409,12.388523931272,9.99325440477638,1
7,-9.63398520529494,-1.68661785119961,12.142451677545,58.4648467462373,1
9,-15.1208846749082,-3.23787145987654,13.0247824175624,74.2020249491599,1
11,-19.7138796376368,-4.72013796024278,13.7130687638088,91.0314678592305,1
13,-23.4196491083933,-6.00764642142984,21.0949697164661,100.515115440267,1
15,-26.4036389107357,-7.08508238867007,28.7874813030985,110.129462480394,1
17,-28.835484004589,-7.98222200823022,30.7929298948326,117.393937420795,1
19,-30.8548702865611,-8.73459656634124,30.9502597126601,123.298386685675,1
