filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,-2.50376885884318,-0.0674290802622019,11.6102299760332,40.3601499930734,1
5,-11.9948866022801,-1.15762445040226,24.962710001589,103.578212265105,1
7,-19.8710909425397,-2.84806709847973,26.5078779045333,161.917105123988,1
9,-25.4667851651834,-4.57271585418612,27.9707338751234,202.217690370308,1
11,-29.5770128634651,-6.09548068776929,29.0936444976598,231.301291184947,1
13,-32.725323965919,-7.36870841971258,35.6959268972384,253.214912690273,1
15,-35.220342124251,-8.41565853122342,40.0831983082695,269.989294610227,1
17,-37.2532603544685,-9.28012627112973,40.1152967994734,283.393356524414,1
19,-38.9471618810936,-10.0045492377777,38.457495466983,294.031676403335,1
