filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,2.7951693125,1.6353693125,-1.4071635625,1
5,3.199211875,1.8686423125,2.910990875,1
7,1.7192093125,1.2236304375,7.356518375,1
9,-1.4859876875,0.0205445625,9.08614375,1
11,-4.997223,-1.246899625,9.44389475,1
13,-8.2620645625,-2.3577438125,17.670932,1
15,-11.1238679375,-3.271154625,23.5399858125,1
17,-13.5953138125,-4.0155549375,24.83798525,1
19,-15.73412875,-4.635319375,24.8969976875,1
