name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,9,35.513,29.62,-16.59392,0.982,0.963,-1.93483,52.735,49.384,-6.35441
Case_1-02,avg,otsu,9,35.612,29.631,-16.7949,0.982,0.966,-1.62933,54.475,47.851,-12.15971
Case_1-03,avg,otsu,9,36.059,31.16,-13.58607,0.985,0.975,-1.01523,51.448,53.43,3.85243
Case_1-04,avg,otsu,9,36.06,31.375,-12.99224,0.986,0.978,-0.81136,54.6,53.162,-2.6337
Case_1-05,avg,otsu,9,36.008,30.932,-14.09687,0.985,0.974,-1.11675,51.409,53.596,4.25412
Case_1-06,avg,otsu,9,35.482,29.754,-16.1434,0.985,0.969,-1.62437,54.128,48.999,-9.47569
Case_1-07,avg,otsu,9,35.785,30.339,-15.21867,0.987,0.972,-1.51976,51.387,52.604,2.3683
Case_1-08,avg,otsu,9,36.215,31.324,-13.50545,0.983,0.973,-1.01729,51.919,52.594,1.3001
Case_10-01,avg,otsu,9,34.946,26.518,-24.11721,0.976,0.888,-9.01639,42.96,54.315,26.43156
Case_10-02,avg,otsu,9,35.813,27.095,-24.34312,0.98,0.904,-7.7551,45.966,52.016,13.1619
Case_10-03,avg,otsu,9,34.463,26.25,-23.83136,0.973,0.879,-9.66084,42.322,54.333,28.38004
Case_10-04,avg,otsu,9,35.063,26.179,-25.33725,0.978,0.89,-8.99796,43.414,53.082,22.26931
Case_10-05,avg,otsu,9,36.909,29.939,-18.88428,0.982,0.942,-4.07332,53.361,54.268,1.69974
Case_10-06,avg,otsu,9,35.791,27.323,-23.65958,0.98,0.911,-7.04082,46.239,51.24,10.81555
Case_10-07,avg,otsu,9,35.684,26.967,-24.42832,0.981,0.908,-7.44139,44.532,53.306,19.70269
Case_10-08,avg,otsu,9,35.654,27.067,-24.08425,0.981,0.91,-7.23751,44.582,53.402,19.78377
Case_10-09,avg,otsu,9,35.198,26.993,-23.31098,0.98,0.905,-7.65306,44.956,54.329,20.84927
Case_10-10,avg,otsu,9,35.995,28.152,-21.78914,0.977,0.902,-7.67656,42.752,57.488,34.46856
Case_11-07,avg,otsu,9,36.157,28.203,-21.99851,0.975,0.907,-6.97436,45.684,56.738,24.19666
Case_11-09,avg,otsu,9,40.644,34.772,-14.4474,0.974,0.961,-1.3347,47.147,51.347,8.90831
