name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_14-08,avg,otsu,7,36.381,31.941,-12.20417,0.974,0.941,-3.38809,46.815,55.395,18.32746
Case_14-09,avg,otsu,7,36.277,31.616,-12.84836,0.969,0.924,-4.64396,45.417,55.94,23.16974
Case_14-11,avg,otsu,7,36.22,31.49,-13.05908,0.963,0.911,-5.39979,45.06,55.74,23.70173
Case_14-12,avg,otsu,7,36.482,31.722,-13.04753,0.962,0.909,-5.50936,46.855,55.595,18.65329
Case_15-02,avg,otsu,7,37.426,34.344,-8.23492,0.974,0.962,-1.23203,51.56,55.45,7.54461
Case_15-03,avg,otsu,7,36.389,32.682,-10.18714,0.97,0.952,-1.85567,51.642,54.331,5.207
Case_15-04,avg,otsu,7,37.255,34.55,-7.26077,0.975,0.963,-1.23077,49.542,58.046,17.16523
Case_15-05,avg,otsu,7,37.537,34.914,-6.98777,0.979,0.97,-0.91931,50.103,58.193,16.14674
Case_15-06,avg,otsu,7,37.464,34.851,-6.9747,0.98,0.97,-1.02041,51.358,58.208,13.33775
Case_15-07,avg,otsu,7,37.629,35.61,-5.36554,0.984,0.979,-0.50813,53.735,56.015,4.24304
Case_15-08,avg,otsu,7,37.312,34.825,-6.66542,0.98,0.973,-0.71429,51.613,57.716,11.82454
Case_15-09,avg,otsu,7,36.909,33.75,-8.55889,0.977,0.965,-1.22825,51.95,54.864,5.60924
Case_15-10,avg,otsu,7,36.396,33.517,-7.91021,0.98,0.97,-1.02041,53.547,54.75,2.24662
Case_15-11,avg,otsu,7,36.103,32.785,-9.19037,0.976,0.962,-1.43443,50.066,53.49,6.83897
Case_15-12,avg,otsu,7,37.534,34.777,-7.34534,0.982,0.974,-0.81466,52.717,54.01,2.45272
Case_16-01,avg,otsu,7,37.282,33.88,-9.12505,0.969,0.956,-1.34159,52.859,56.865,7.57865
Case_16-02,avg,otsu,7,37.25,34.43,-7.57047,0.976,0.968,-0.81967,43.662,53.61,22.78411
Case_16-03,avg,otsu,7,37.059,33.252,-10.27281,0.971,0.953,-1.85376,41.108,57.364,39.54461
Case_16-04,avg,otsu,7,37.506,34.271,-8.62529,0.971,0.958,-1.33883,44.439,53.941,21.38212
Case_16-05,avg,otsu,7,37.549,34.222,-8.86042,0.971,0.961,-1.02987,53.725,56.551,5.26012
Case_16-06,avg,otsu,7,36.268,32.741,-9.72483,0.98,0.966,-1.42857,50.777,54.703,7.73185
Case_16-07,avg,otsu,7,37.269,33.98,-8.82503,0.976,0.966,-1.02459,43.671,53.101,21.59328
Case_16-08,avg,otsu,7,36.406,33.058,-9.19629,0.981,0.967,-1.42712,48.702,55.608,14.18012
Case_16-09,avg,otsu,7,36.996,33.629,-9.10098,0.979,0.964,-1.53218,52.787,55.763,5.63775
Case_16-10,avg,otsu,7,37.434,34.843,-6.92152,0.975,0.962,-1.33333,50.069,60.074,19.98242
Case_16-11,avg,otsu,7,36.625,33.805,-7.69966,0.982,0.973,-0.9165,51.617,55.756,8.01868
Case_16-12,avg,otsu,7,36.566,33.643,-7.99376,0.982,0.971,-1.12016,51.344,56.4,9.8473
Case_16-13,avg,otsu,7,36.396,32.949,-9.47082,0.979,0.966,-1.32789,50.321,55.528,10.34757
Case_17-01,avg,otsu,7,35.88,32.1,-10.53512,0.982,0.968,-1.42566,47.318,54.325,14.80832
Case_17-02,avg,otsu,7,35.744,32.487,-9.11202,0.983,0.973,-1.01729,49.345,53.79,9.008
Case_17-03,avg,otsu,7,35.756,31.829,-10.98277,0.979,0.963,-1.63432,47.809,54.1,13.15861
Case_17-04,avg,otsu,7,35.523,31.598,-11.04918,0.982,0.967,-1.52749,47.022,52.827,12.34529
Case_17-05,avg,otsu,7,35.927,31.717,-11.71821,0.976,0.957,-1.94672,47.806,54.132,13.23265
Case_17-06,avg,otsu,7,35.13,30.938,-11.93282,0.98,0.961,-1.93878,46.52,52.486,12.82459
Case_17-07,avg,otsu,7,35.869,32.057,-10.62756,0.981,0.966,-1.52905,49.486,52.51,6.11082
Case_17-08,avg,otsu,7,36.17,32.648,-9.73735,0.985,0.974,-1.11675,50.73,54.26,6.95841
Case_17-09,avg,otsu,7,35.97,32.081,-10.81179,0.981,0.967,-1.42712,50.956,54.211,6.38786
Case_17-10,avg,otsu,7,36.195,32.395,-10.49869,0.979,0.964,-1.53218,49.294,53.357,8.24238
Case_17-11,avg,otsu,7,35.071,31.299,-10.75532,0.984,0.971,-1.32114,47.317,52.474,10.89883
Case_17-12,avg,otsu,7,35.655,31.924,-10.46417,0.98,0.966,-1.42857,48.704,52.454,7.69957
Case_2-01,avg,otsu,7,37.96,35.501,-6.47787,0.981,0.977,-0.40775,48.608,53.052,9.14253
Case_2-02,avg,otsu,7,38.366,36.369,-5.20513,0.983,0.983,0,44.591,56.275,26.2026
Case_2-03,avg,otsu,7,37.448,34.832,-6.98569,0.983,0.98,-0.30519,45.752,56.343,23.14871
Case_2-04,avg,otsu,7,37.797,35.712,-5.51631,0.983,0.982,-0.10173,50.836,53.667,5.56889
Case_2-05,avg,otsu,7,39.299,37.905,-3.54716,0.981,0.982,0.10194,43.758,50.436,15.26121
Case_2-06,avg,otsu,7,38.692,36.926,-4.56425,0.983,0.985,0.20346,48.596,56.404,16.06717
Case_2-07,avg,otsu,7,38.493,36.659,-4.7645,0.984,0.985,0.10163,50.945,56.452,10.8097
Case_2-08,avg,otsu,7,37.862,35.881,-5.23216,0.983,0.982,-0.10173,50.647,53.982,6.58479
Case_3-01,avg,otsu,7,36.583,34.71,-5.11986,0.983,0.981,-0.20346,48.907,51.565,5.4348
Case_3-02,avg,otsu,7,35.593,33.099,-7.007,0.983,0.977,-0.61038,54.704,53.185,-2.77676
Case_3-03,avg,otsu,7,35.571,32.855,-7.63543,0.98,0.972,-0.81633,54.82,52.822,-3.64466
Case_3-04,avg,otsu,7,35.757,33.2,-7.15105,0.984,0.977,-0.71138,53.296,53.147,-0.27957
Case_3-05,avg,otsu,7,35.421,33.012,-6.80105,0.983,0.978,-0.50865,52.895,52.081,-1.5389
Case_3-06,avg,otsu,7,35.564,32.71,-8.02497,0.981,0.972,-0.91743,49.963,53.75,7.57961
Case_3-07,avg,otsu,7,36.268,34.502,-4.86931,0.988,0.985,-0.30364,53.538,56.632,5.77907
Case_3-08,avg,otsu,7,36.082,33.44,-7.32221,0.983,0.977,-0.61038,54.868,52.961,-3.47561
Case_3-09,avg,otsu,7,36.612,34.923,-4.61324,0.982,0.98,-0.20367,51.241,54.475,6.31135
Case_3-10,avg,otsu,7,36.123,33.786,-6.46956,0.986,0.981,-0.5071,49.601,54.107,9.08449
Case_4-01,avg,otsu,7,38.251,36.477,-4.63779,0.982,0.984,0.20367,55.77,55.222,-0.98261
Case_4-02,avg,otsu,7,37.274,35.862,-3.78816,0.993,0.992,-0.1007,52.094,59.778,14.75026
Case_4-03,avg,otsu,7,37.534,35.764,-4.71572,0.99,0.99,0,45.748,57.325,25.30602
Case_4-04,avg,otsu,7,37.121,35.552,-4.22672,0.993,0.992,-0.1007,51.718,60.025,16.06211
Case_4-05,avg,otsu,7,37.094,35.318,-4.78784,0.992,0.991,-0.10081,51.203,59.6,16.39943
Case_4-06,avg,otsu,7,37.284,35.535,-4.69102,0.992,0.992,0,52.873,58.231,10.13372
Case_4-07,avg,otsu,7,37.566,36.129,-3.82527,0.992,0.992,0,46.274,60.619,31.00013
Case_4-08,avg,otsu,7,38.551,37.967,-1.51488,0.992,0.993,0.10081,46.058,63.103,37.00769
Case_4-09,avg,otsu,7,37.716,36.423,-3.42825,0.993,0.993,0,49.475,60.569,22.42345
Case_4-10,avg,otsu,7,36.916,35.19,-4.67548,0.99,0.99,0,49.536,58.024,17.13501
Case_5-01,avg,otsu,7,37.567,35.647,-5.11087,0.981,0.979,-0.20387,54.376,54.43,0.09931
Case_5-02,avg,otsu,7,37.886,35.772,-5.5799,0.975,0.974,-0.10256,54.115,53.627,-0.90178
Case_5-04,avg,otsu,7,38.149,36.099,-5.37367,0.976,0.976,0,48.513,57.19,17.88593
Case_5-05,avg,otsu,7,37.978,36.172,-4.75538,0.983,0.982,-0.10173,55.456,52.735,-4.90659
Case_5-07,avg,otsu,7,38.113,36.095,-5.29478,0.977,0.977,0,51.383,56.693,10.33416
Case_5-08,avg,otsu,7,37.9,35.831,-5.4591,0.98,0.978,-0.20408,55.498,53.452,-3.68662
Case_6-01,avg,otsu,7,35.763,32.582,-8.89467,0.981,0.975,-0.61162,53.101,52.888,-0.40112
Case_6-02,avg,otsu,7,35.641,32.545,-8.68662,0.98,0.974,-0.61224,52.266,50.769,-2.86419
Case_6-03,avg,otsu,7,35.713,32.638,-8.61031,0.982,0.976,-0.611,50.875,51.589,1.40344
Case_6-04,avg,otsu,7,36.373,33.477,-7.96195,0.98,0.976,-0.40816,43.485,56.921,30.89801
Case_6-05,avg,otsu,7,35.798,33.145,-7.41103,0.984,0.981,-0.30488,53.885,50.174,-6.88689
Case_6-06,avg,otsu,7,36.076,33.553,-6.99357,0.985,0.981,-0.40609,51.954,52.624,1.2896
Case_6-07,avg,otsu,7,36.404,33.622,-7.64202,0.981,0.976,-0.50968,45.668,56.243,23.15626
Case_6-08,avg,otsu,7,35.623,32.825,-7.85448,0.979,0.974,-0.51073,50.945,51.343,0.78123
Case_6-10,avg,otsu,7,36.404,33.983,-6.65037,0.982,0.98,-0.20367,52.494,51.915,-1.10298
Case_7-01,avg,otsu,7,41.202,39.082,-5.14538,0.97,0.969,-0.10309,53.414,59.748,11.85831
Case_7-02,avg,otsu,7,41.191,39.186,-4.86757,0.972,0.972,0,55.606,56.368,1.37036
Case_7-03,avg,otsu,7,40.456,37.897,-6.32539,0.971,0.969,-0.20597,55.609,55.941,0.59703
Case_7-04,avg,otsu,7,40.81,38.564,-5.50355,0.973,0.972,-0.10277,55.132,56.276,2.07502
Case_7-05,avg,otsu,7,40.165,37.405,-6.87165,0.973,0.97,-0.30832,55.346,54.507,-1.51592
Case_7-06,avg,otsu,7,40.126,37.144,-7.43159,0.975,0.971,-0.41026,54.383,55.379,1.83145
Case_7-07,avg,otsu,7,40.29,37.793,-6.19757,0.977,0.975,-0.20471,44.337,52.004,17.29255
Case_7-08,avg,otsu,7,40.115,37.451,-6.64091,0.972,0.968,-0.41152,56.237,61.865,10.00765
Case_7-09,avg,otsu,7,39.297,36.65,-6.73588,0.976,0.973,-0.30738,55.786,61.18,9.66909
Case_7-10,avg,otsu,7,40.329,38.262,-5.12534,0.961,0.956,-0.52029,47.191,53.245,12.82872
Case_7-12,avg,otsu,7,39.677,36.875,-7.06203,0.975,0.97,-0.51282,50.612,60.624,19.78187
Case_8-01,avg,otsu,7,37.551,33.368,-11.13952,0.961,0.94,-2.18522,48.768,58,18.93045
Case_8-02,avg,otsu,7,38.039,34.3,-9.82939,0.962,0.951,-1.14345,52.129,58.774,12.74722
Case_8-03,avg,otsu,7,38.022,35.214,-7.3852,0.96,0.957,-0.3125,45.716,60.335,31.97786
Case_8-04,avg,otsu,7,38.256,34.671,-9.37108,0.963,0.953,-1.03842,45.651,59.429,30.18116
Case_9-01,avg,otsu,7,34.672,29.868,-13.85556,0.974,0.945,-2.97741,47.682,52.46,10.02055
Case_9-02,avg,otsu,7,35.415,30.656,-13.43781,0.964,0.935,-3.0083,43.7,50.078,14.59497
Case_9-03,avg,otsu,7,35.159,28.996,-17.52894,0.963,0.89,-7.58048,44.62,55.814,25.0874
Case_9-04,avg,otsu,7,35.031,30.248,-13.65362,0.972,0.932,-4.11523,44.499,56.516,27.0051
Case_9-05,avg,otsu,7,34.834,28.878,-17.09824,0.969,0.902,-6.91434,43.695,55.057,26.00298
Case_9-07,avg,otsu,7,35.136,29.068,-17.27004,0.966,0.905,-6.3147,52.401,54.069,3.18315
Case_9-08,avg,otsu,7,35.381,29.405,-16.89042,0.972,0.918,-5.55556,53.115,54.231,2.1011
Case_9-10,avg,otsu,7,35.111,29.266,-16.6472,0.973,0.921,-5.3443,44.044,54.671,24.12814
