filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-8.9577965,-0.2712429375,12.8337644375,1
5,-12.7641608125,-1.14453275,24.601781,1
7,-19.151853375,-2.6994836875,25.4902925,1
9,-24.7432226875,-4.386142375,26.7745623125,1
11,-28.98797775,-5.91288025,27.18304825,1
13,-32.2592380625,-7.2065648125,34.2277776875,1
15,-34.8509156875,-8.276656875,40.0088961875,1
17,-36.9570104375,-9.1630506875,40.628005375,1
19,-38.7062699375,-9.90927275,39.5011441875,1
