filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,0.749604,0.4652703125,8.332650125,1
5,-1.7305889375,-0.010200125,15.2291883125,1
7,-6.2323144375,-1.2344493125,16.1733423125,1
9,-11.524594125,-2.77421575,17.386851375,1
11,-16.03396225,-4.221488625,17.8920414375,1
13,-19.706072,-5.454172875,24.9210271875,1
15,-22.6912789375,-6.4852298125,30.840413625,1
17,-25.14771375,-7.3403365,31.794623375,1
19,-27.2034111875,-8.0526446875,31.1998745625,1
