name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_14-03,avg,multilevel_tresholding,13,34.341,26.39,-23.15308,0.951,0.835,-12.19769,51.001,60.532,18.68787
Case_14-04,avg,multilevel_tresholding,13,34.808,26.52,-23.81062,0.975,0.907,-6.97436,52.195,61.31,17.46336
Case_14-05,avg,multilevel_tresholding,13,34.22,26.095,-23.74342,0.952,0.84,-11.76471,52.51,59.498,13.30794
Case_14-06,avg,multilevel_tresholding,13,34.321,26.314,-23.32974,0.966,0.881,-8.79917,51.939,60.126,15.76272
Case_14-07,avg,multilevel_tresholding,13,34.169,26.122,-23.55059,0.955,0.834,-12.67016,50.214,60.828,21.13753
Case_14-08,avg,multilevel_tresholding,13,34.392,26.601,-22.65352,0.961,0.869,-9.57336,49.731,61.303,23.26919
Case_14-09,avg,multilevel_tresholding,13,34.312,26.507,-22.74714,0.954,0.837,-12.26415,48.358,61.428,27.02759
Case_14-11,avg,multilevel_tresholding,13,34.348,26.238,-23.61127,0.947,0.807,-14.78353,46.723,61.279,31.15382
Case_14-12,avg,multilevel_tresholding,13,34.551,26.614,-22.97184,0.945,0.81,-14.28571,50.616,62.017,22.5245
Case_15-02,avg,multilevel_tresholding,13,35.337,28.74,-18.66882,0.961,0.916,-4.68262,48.991,64.592,31.84462
Case_15-03,avg,multilevel_tresholding,13,34.431,26.802,-22.15736,0.956,0.885,-7.42678,53.402,63.823,19.51425
Case_15-04,avg,multilevel_tresholding,13,35.197,29.432,-16.37924,0.962,0.923,-4.05405,46.055,66.297,43.9518
Case_15-05,avg,multilevel_tresholding,13,35.459,29.865,-15.77597,0.969,0.937,-3.30237,46.783,67.069,43.3619
Case_15-06,avg,multilevel_tresholding,13,35.426,29.966,-15.41241,0.97,0.938,-3.29897,48.331,66.29,37.15835
Case_15-07,avg,multilevel_tresholding,13,35.542,30.381,-14.52085,0.975,0.954,-2.15385,50.427,66.112,31.10437
Case_15-08,avg,multilevel_tresholding,13,35.286,29.701,-15.82781,0.971,0.941,-3.0896,47.005,66.745,41.99553
Case_15-09,avg,multilevel_tresholding,13,34.811,28.327,-18.6263,0.966,0.921,-4.65839,52.62,65.513,24.50209
Case_15-10,avg,multilevel_tresholding,13,34.385,27.949,-18.71746,0.97,0.929,-4.2268,52.253,64.024,22.52694
Case_15-11,avg,multilevel_tresholding,13,34.101,27.069,-20.6211,0.965,0.907,-6.01036,51.996,60.729,16.79552
Case_15-12,avg,multilevel_tresholding,13,35.404,29.362,-17.06587,0.972,0.943,-2.98354,49.992,66.141,32.30317
Case_16-01,avg,multilevel_tresholding,13,35.232,28.815,-18.21356,0.952,0.907,-4.72689,55.323,57.001,3.0331
Case_16-02,avg,multilevel_tresholding,13,35.15,29.28,-16.69986,0.963,0.933,-3.11526,45.793,63.997,39.7528
Case_16-03,avg,multilevel_tresholding,13,35.059,28.416,-18.94806,0.957,0.903,-5.64263,43.51,65.883,51.42036
Case_16-04,avg,multilevel_tresholding,13,35.447,29.326,-17.26803,0.956,0.916,-4.1841,51.594,60.156,16.59495
Case_16-05,avg,multilevel_tresholding,13,35.491,28.849,-18.7146,0.955,0.916,-4.08377,54.816,61.113,11.48752
Case_16-06,avg,multilevel_tresholding,13,34.237,27.484,-19.72427,0.969,0.925,-4.54076,52.907,62.532,18.1923
Case_16-07,avg,multilevel_tresholding,13,35.164,28.752,-18.23456,0.963,0.926,-3.84216,48.529,59.65,22.91619
Case_16-08,avg,multilevel_tresholding,13,34.392,27.925,-18.80379,0.972,0.928,-4.52675,52.67,63.676,20.89615
Case_16-09,avg,multilevel_tresholding,13,34.99,28.504,-18.53672,0.968,0.925,-4.44215,52.763,66.306,25.66761
Case_16-10,avg,multilevel_tresholding,13,35.438,30.133,-14.96981,0.963,0.925,-3.946,45.282,66.613,47.10702
Case_16-11,avg,multilevel_tresholding,13,34.611,28.823,-16.72301,0.974,0.943,-3.18275,50.136,64.696,29.04101
Case_16-12,avg,multilevel_tresholding,13,34.532,28.734,-16.79022,0.972,0.94,-3.29218,50.221,64.609,28.64937
Case_16-13,avg,multilevel_tresholding,13,34.386,27.935,-18.76054,0.969,0.927,-4.33437,52.87,64.726,22.42482
Case_17-01,avg,multilevel_tresholding,13,33.93,26.446,-22.05718,0.974,0.924,-5.13347,48.518,60.11,23.89216
Case_17-02,avg,multilevel_tresholding,13,33.788,26.517,-21.51947,0.974,0.929,-4.62012,50.88,60.237,18.39033
Case_17-03,avg,multilevel_tresholding,13,33.795,26.117,-22.71934,0.968,0.911,-5.88843,48.765,58.886,20.75464
Case_17-04,avg,multilevel_tresholding,13,33.56,25.962,-22.64005,0.973,0.92,-5.44707,47.495,57.884,21.87388
Case_17-05,avg,multilevel_tresholding,13,33.959,26.068,-23.23684,0.964,0.898,-6.84647,49.105,60.547,23.30109
Case_17-06,avg,multilevel_tresholding,13,33.193,25.304,-23.76706,0.97,0.904,-6.80412,46.087,57.145,23.99375
Case_17-07,avg,multilevel_tresholding,13,33.889,26.068,-23.07828,0.971,0.913,-5.97322,50.708,57.169,12.74158
Case_17-08,avg,multilevel_tresholding,13,34.191,26.664,-22.01457,0.977,0.934,-4.40123,53.227,61.443,15.43578
Case_17-09,avg,multilevel_tresholding,13,33.977,26.511,-21.97369,0.972,0.923,-5.04115,53.537,61.695,15.23806
Case_17-10,avg,multilevel_tresholding,13,34.173,26.708,-21.84473,0.968,0.916,-5.3719,51.037,59.004,15.61024
Case_17-11,avg,multilevel_tresholding,13,33.119,25.546,-22.86603,0.976,0.925,-5.22541,47.096,56.575,20.12697
Case_17-12,avg,multilevel_tresholding,13,33.674,26.069,-22.58419,0.97,0.914,-5.7732,49.255,57.243,16.21764
Case_2-01,avg,multilevel_tresholding,13,35.891,30.677,-14.52732,0.972,0.955,-1.74897,45.317,62.293,37.46056
Case_2-02,avg,multilevel_tresholding,13,36.378,31.61,-13.10682,0.974,0.967,-0.71869,44.547,63.899,43.44176
Case_2-03,avg,multilevel_tresholding,13,35.419,30.032,-15.20935,0.975,0.96,-1.53846,43.043,63.434,47.37356
Case_2-04,avg,multilevel_tresholding,13,35.722,30.766,-13.8738,0.975,0.964,-1.12821,47.07,63.816,35.5768
Case_2-05,avg,multilevel_tresholding,13,37.197,34.031,-8.51144,0.971,0.97,-0.10299,47.499,54.264,14.24241
Case_2-06,avg,multilevel_tresholding,13,36.569,31.733,-13.22432,0.974,0.971,-0.30801,45.713,64.764,41.67523
Case_2-07,avg,multilevel_tresholding,13,36.366,31.674,-12.90216,0.975,0.97,-0.51282,45.189,65.561,45.08177
Case_2-08,avg,multilevel_tresholding,13,35.789,30.791,-13.96518,0.975,0.964,-1.12821,46.356,63.941,37.93468
Case_3-01,avg,multilevel_tresholding,13,34.411,28.46,-17.29389,0.974,0.951,-2.3614,47.791,61.53,28.74809
Case_3-02,avg,multilevel_tresholding,13,33.495,26.844,-19.8567,0.975,0.939,-3.69231,53.717,58.705,9.2857
Case_3-03,avg,multilevel_tresholding,13,33.462,26.737,-20.09742,0.97,0.928,-4.3299,53.325,58.697,10.07407
Case_3-04,avg,multilevel_tresholding,13,33.664,27.403,-18.5985,0.976,0.943,-3.38115,53.82,57.032,5.96804
Case_3-05,avg,multilevel_tresholding,13,33.343,27.006,-19.00549,0.974,0.943,-3.18275,51.615,56.595,9.64836
Case_3-06,avg,multilevel_tresholding,13,33.534,27.028,-19.4012,0.972,0.93,-4.32099,51.383,59.309,15.42534
Case_3-07,avg,multilevel_tresholding,13,34.25,29.127,-14.95766,0.982,0.965,-1.73116,52.011,65.328,25.6042
Case_3-08,avg,multilevel_tresholding,13,33.99,27.003,-20.55605,0.974,0.936,-3.90144,55.234,58.994,6.8074
Case_3-09,avg,multilevel_tresholding,13,34.585,29.745,-13.99451,0.974,0.955,-1.95072,52.623,64.42,22.41795
