filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,2.37335825,1.602575125,-1.45685675,1
5,3.4850758125,1.95018125,3.333209875,1
7,1.8386190625,1.2446606875,7.30670325,1
9,-1.448451375,0.0241079375,8.38402525,1
11,-4.9845500625,-1.240625375,8.9767708125,1
13,-8.246810125,-2.3492699375,17.2840866875,1
15,-11.1067974375,-3.2594125,23.14675575,1
17,-13.5791508125,-4.0066135625,24.522619375,1
19,-15.7175798125,-4.6179913125,24.363327,1
