sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.4,3,0.505957813891146,0.116597386742375,0.0153579603396368,-20.7403179678015,30
0.7,3,2.47952098102084,0.58711707357023,6.96950264004958,-44.0001659664829,30
1.1,3,2.70483830264176,0.648468421515813,9.1155448629854,-33.033869771918,30
1.4,3,2.70726568317058,0.652736785510248,9.47247373001981,-31.1065799082354,30
1.7,3,2.69940895409316,0.652790925030117,9.63555733754841,-30.4165416194782,30
2.3,3,2.68705732198219,0.651764656464372,9.75303967262314,-29.6753502888323,30
2.6,3,2.6839760677964,0.651655822154688,9.80196184612661,-29.4747181601852,30
2.9,3,2.68144721667722,0.651457494257182,9.81519092956054,-29.3575136836602,30
2,3,2.69127885509517,0.651975333493811,9.6673987420329,-29.9950395252844,30
0.4,5,0.505971636783652,0.116599189429228,0.0152347710352512,-20.7399904131872,30
0.7,5,2.54885410432729,0.60351325040302,7.58518378296248,-42.4603122852452,30
1.1,5,2.27099936693218,0.607219369404183,12.924116908182,-22.357163952069,30
1.4,5,1.52656266788648,0.492386822345869,14.7179185824818,-15.7799460366007,30
1.7,5,0.932463089896268,0.390649568515917,15.5767444209526,-11.81366135541,30
2.3,5,0.224193601544876,0.257657832351092,16.1191264220828,-7.36330785205444,30
2.6,5,0.0214392153345877,0.218602226815356,16.3492986398508,-6.22923010378721,30
2.9,5,-0.12828792219793,0.188585438478251,16.3930401744447,-5.32558797255746,30
2,5,0.513808314822841,0.313033448250847,15.9608990552839,-9.15672550637336,30
0.4,7,0.505971636783652,0.116599189429228,0.0152347710352512,-20.7399904131872,30
0.7,7,2.54935706682101,0.603634302726856,7.59350760007425,-42.4590097302383,30
1.1,7,2.0430021266668,0.57713985257598,13.4796977799295,-20.6592434140332,30
1.4,7,0.45322064291307,0.326020894712751,16.00954723617,-9.86357287747145,30
1.7,7,-1.18784109736246,0.0227657130512087,17.1233575943791,-0.747086080609261,30
2.3,7,-3.43880692395127,-0.464217016741704,17.3726329815391,11.0399659202278,30
2.6,7,-4.1297493756502,-0.630674245221332,17.3135292725047,14.4700582976938,30
2.9,7,-4.6383409847031,-0.75871658125515,17.20849387363,16.6364739873789,30
2,7,-2.48715176101347,-0.248088785309117,17.3959103311401,6.17935506169132,30
0.4,9,0.505971636783652,0.116599189429228,0.0152347710352512,-20.7399904131872,30
0.7,9,2.54935747547154,0.603634372683149,7.59351056289531,-42.4593121426273,30
1.1,9,2.02431160275282,0.574970571714433,13.5122100022954,-20.5812618089512,30
1.4,9,0.178721218392538,0.286633595899513,16.1911636563145,-8.70701270335221,30
1.7,9,-2.1172457214658,-0.13454582945551,17.4381390620738,3.20410954980592,30
2.3,9,-5.89137861860306,-0.981887955744111,17.304885196089,22.1623599082439,30
2.6,9,-7.16073875824975,-1.31500217895454,17.1437267284483,27.9347423751212,30
2.9,9,-8.11664523931655,-1.58362461160413,17.026223229362,31.8689788867357,30
2,9,-4.21794776546527,-0.58095690726903,17.5611278975511,13.8705993960941,30
0.4,11,0.505971636783652,0.116599189429228,0.0152347710352512,-20.7399904131872,30
0.7,11,2.54935747547154,0.603634372683149,7.59351056289531,-42.4593121426273,30
1.1,11,2.02379270516293,0.574921198170594,13.5132388368031,-20.5774502091308,30
1.4,11,0.145143028475195,0.282490422624778,16.2055876207201,-8.6254702391968,30
1.7,11,-2.36010990555558,-0.170926840706828,17.499330766239,3.90321077117863,30
2.3,11,-7.11970842646073,-1.22903575250265,17.4191000044719,26.5049088534506,30
2.6,11,-8.9098888886239,-1.70352548761897,17.2261105581538,34.6060863239493,30
