name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_1,2.6,15,37.2952453771482,30.574239060129,-18.0210808349778,0.987633574542662,0.971737525701633,-1.60950875413386,51.3781679947428,52.4424670506318,2.07150059534605,6.74017183358787,14.8374067538499,120.133953854286
Case_1-02,gauss,method_1,2.6,15,37.4410039067037,30.5094789181745,-18.5131921296804,0.987759080047129,0.973714469143154,-1.42186603876168,54.693254168189,53.351127879583,-2.45391558615025,7.14737117146963,14.7885157638056,106.908461992814
Case_1-03,gauss,method_1,2.6,15,37.9084872566381,32.1104451258171,-15.2948390991405,0.989965298369266,0.980586316422063,-0.947405122447533,51.2830832109972,54.1277007428232,5.54689256908014,7.16992479890151,16.3409073391379,127.909047827691
Case_1-04,gauss,method_1,2.6,15,37.9083260790503,32.2667829083804,-14.8820688070098,0.990933219012008,0.983099934360643,-0.790495716671563,54.9405060818229,55.5700496877306,1.14586422806178,7.50042155588556,16.4008935525491,118.666290025783
Case_1-05,gauss,method_1,2.6,15,37.8368974391421,31.8850059620369,-15.7303898573564,0.990029668044883,0.979523767370076,-1.06117028750801,50.6890384255133,55.2003088239142,8.89989342573575,7.13028183617835,15.7916245176873,121.47265536633
Case_1-06,gauss,method_1,2.6,15,37.313821888529,30.6363631875672,-17.8954027301466,0.989858277688834,0.97554620817134,-1.4458705695638,53.4723749207389,53.1786719287057,-0.549261169844409,7.16884020856128,15.4357813981023,115.317693644062
Case_1-07,gauss,method_1,2.6,15,37.6177136883956,31.2707157450514,-16.8723649606119,0.991486991469116,0.978163868122078,-1.34375170442695,49.3545851173106,54.8303585218558,11.0947612902222,7.28961275608837,15.670977908664,114.976822953667
Case_1-08,gauss,method_1,2.6,15,38.0676599934277,32.2732805656233,-15.2212650549173,0.988872308662103,0.979349216710604,-0.963025445052927,51.9630453806607,53.6921574114173,3.32758024109216,7.45068683740843,16.2538179225077,118.151940582182
Case_10-01,gauss,method_1,2.6,15,36.7345461707111,27.5764871542007,-24.9303720099099,0.983735162649988,0.913441614005392,-7.14557650407039,43.7050636688008,57.1160665229537,30.6852381128698,6.23973360486822,13.6454488345325,118.686400712465
Case_10-02,gauss,method_1,2.6,15,37.7420148157016,28.1323871586943,-25.4613530939779,0.986669760401793,0.926181028742124,-6.13059547249495,46.2178581436987,57.646063888488,24.7268181689796,6.4198582315031,14.1167087674996,119.891285110114
Case_10-03,gauss,method_1,2.6,15,36.1418271620352,27.2969268695872,-24.4727535572385,0.981194919120078,0.906802337895311,-7.58183514560806,43.095603454508,57.1722485624327,32.6637614502464,6.00307319481979,13.0673248357086,117.677253160677
Case_10-04,gauss,method_1,2.6,15,36.917508515903,27.2239525758866,-26.2573405673915,0.985365043501796,0.915607622838897,-7.07934801654775,44.1586840112477,57.0304266403925,29.1488365592286,5.497331629691,13.5269842877621,146.064549111483
Case_10-05,gauss,method_1,2.6,15,38.8553545846416,30.9246414987332,-20.4108627258368,0.987588463803616,0.955127138870448,-3.28692832317479,52.9924714390313,59.1769108547965,11.6704113769831,7.29913569502933,14.3451850063123,96.5326527095709
Case_10-06,gauss,method_1,2.6,15,37.735829568319,28.3476713403322,-24.8786321524746,0.986958026100496,0.932002872605955,-5.56813481842498,46.753997352551,57.3037621505849,22.5644124468821,5.8904545988079,14.3767255880006,144.068184328425
Case_10-07,gauss,method_1,2.6,15,37.6013813154718,27.9927324993167,-25.5539782848387,0.987504888000497,0.929441749373742,-5.87978240232525,45.283205653068,56.9745014133753,25.8181716415549,6.12090731602331,13.6581777171398,123.139757097538
Case_10-08,gauss,method_1,2.6,15,37.5541094732151,28.1048760764153,-25.1616494954814,0.987232282900242,0.930782399146786,-5.71799410647519,45.3278878963341,56.9591301423696,25.6602343189614,6.04018304420361,13.4830725538654,123.222913199696
Case_10-09,gauss,method_1,2.6,15,37.0646506691931,28.0590255433225,-24.2970727182807,0.986291748051161,0.927644470395237,-5.94624032613141,45.0810920373566,56.6270882936955,25.6116161666431,5.78833161246209,14.3644679058614,148.162490810567
Case_10-10,gauss,method_1,2.6,15,37.8428596126966,29.1857687872434,-22.8764182042647,0.984410712681202,0.923828536968958,-6.15415648487188,43.6281950760981,55.7861348311807,27.8671618981171,6.59152501303639,14.3733561739482,118.058129879221
Case_11-07,gauss,method_1,2.6,15,38.0236814816582,29.269099708831,-23.0240245859681,0.982257808230956,0.92926866083546,-5.39462725075505,44.1484897637694,52.1429088634765,18.1080239493669,5.94838759772054,12.917460032606,117.159016967154
Case_11-09,gauss,method_1,2.6,15,42.3502011261004,35.7425439654589,-15.6024221489924,0.980851855950328,0.969518028776738,-1.15550856174996,48.7248015179059,52.7457586742592,8.25238283397755,7.53303051899667,14.3044981326314,89.8903515199968
Case_11-10,gauss,method_1,2.6,15,39.9881480385273,32.3682692756015,-19.0553429870876,0.980580752752393,0.952060254302907,-2.90853133405191,41.3925242444669,51.7199021713952,24.9498626030493,6.39879716931355,13.3369098166925,108.428388395428
Case_11-11,gauss,method_1,2.6,15,40.1428253801153,32.4157967107763,-19.2488410971853,0.981530997257329,0.953594166361668,-2.84625049781657,49.6174677418612,54.7800016389481,10.4046702341712,6.28614139338494,13.4180041171821,113.453743361583
Case_11-12,gauss,method_1,2.6,15,39.7240539912487,31.9932114530833,-19.4613634848763,0.981570330553016,0.950037647929484,-3.21247307931225,53.3697956152807,58.5537735385983,9.7133179236559,6.49377019236258,13.1815455291414,102.987557900407
Case_11-13,gauss,method_1,2.6,15,41.4523309147715,33.9067156440657,-18.2031145274315,0.981139970165589,0.959979937846202,-2.15667824803994,42.8193726062555,54.5457088051049,27.3855862080901,7.48544398468604,13.1152784105622,75.2104275630657
Case_11-15,gauss,method_1,2.6,15,38.9953531489575,31.0798284160716,-20.2986358468139,0.987531170993285,0.955459339095348,-3.24767793057899,44.1923914771538,54.0432277824889,22.2907970717713,6.85165529894421,13.6057795597524,98.5765332043034
Case_12-01,gauss,method_1,2.6,15,38.4019077276911,33.1613096937823,-13.6467127390389,0.990191104149053,0.978841608226912,-1.14619247482476,50.0967807921994,51.3268568543604,2.45539941431223,8.22020689610022,16.5814750209971,101.716030150818
Case_12-02,gauss,method_1,2.6,15,38.2416503400839,33.0825486324198,-13.4907925306156,0.990721588685515,0.979569150143867,-1.125688454659,49.8194309857072,51.8886360297464,4.15340962973413,8.23873046064216,16.4758470899874,99.9804116507433
Case_12-03,gauss,method_1,2.6,15,38.1265307705239,32.9379544761015,-13.6088340312193,0.9901883077786,0.978703457518562,-1.1598652670221,49.2230498684388,49.6094557574502,0.785010051275144,8.1215105150933,16.1693109069317,99.0924086951819
Case_12-04,gauss,method_1,2.6,15,38.7931495186273,31.5800295723142,-18.5937982242189,0.991544578009957,0.968775452330121,-2.29632899869556,48.5358773171281,51.6672834509229,6.45173489568244,7.36495183786661,16.4544540687917,123.41563707439
Case_12-05,gauss,method_1,2.6,15,38.3537356296628,30.9080328474444,-19.413240092472,0.989930560004518,0.961025297613956,-2.91992828167966,46.4338924725328,52.5692443034445,13.2130896296082,7.08006307209815,15.5188352381462,119.190635452168
Case_12-06,gauss,method_1,2.6,15,37.8861930189892,31.0892093031057,-17.9405297134941,0.989501692927858,0.9648281996688,-2.49352713950907,45.5057004815527,52.1277310611524,14.5520901986427,7.34981827293697,15.7505146523954,114.298014828352
Case_12-07,gauss,method_1,2.6,15,38.1453342061419,30.9652714252784,-18.8229122389164,0.989124242252003,0.959709105716153,-2.97385659751691,45.9096150048902,52.1474763643602,13.587265671484,7.18539825684253,16.2859448335725,126.653335715437
Case_12-08,gauss,method_1,2.6,15,38.153607409055,31.3810072458883,-17.7508776314539,0.990407182515744,0.967184751804574,-2.34473569266554,46.1149376794921,51.3952428095792,11.4503139238443,7.58834903943763,15.7706629404491,107.827326582988
Case_12-09,gauss,method_1,2.6,15,38.2954139398382,31.37559253006,-18.0695824848614,0.991254266546354,0.970344810119143,-2.10939383898562,46.5021538124071,51.8237310806671,11.443722133232,7.69801155873922,15.9779958702066,107.56003999588
Case_12-10,gauss,method_1,2.6,15,37.9516654924144,32.8350192399115,-13.4820071428105,0.990108920624967,0.979832074431874,-1.03795107578735,51.4442332385303,49.8968340405866,-3.00791575757174,7.60179505937867,16.9219924760246,122.605218160244
Case_12-11,gauss,method_1,2.6,15,38.3749908818493,31.0204589237789,-19.1649086789723,0.991246325795263,0.969859632254793,-2.15755589543411,50.6270499521459,56.9980019910237,12.5840870540548,6.74742290070948,15.4240219963371,128.591304017942
Case_12-12,gauss,method_1,2.6,15,38.2007053433375,31.70349263662,-17.0080961812675,0.988654208970386,0.967997414785852,-2.0893851456969,46.2655397228786,51.836280083469,12.0407983867866,7.77304864666438,16.585492683447,113.371785477816
Case_13-01,gauss,method_1,2.6,15,37.4323187480929,28.9010842024659,-22.7910929136915,0.983645231309771,0.927575946225329,-5.70015319545477,44.0581327401871,56.4364937151496,28.0955188181902,6.23818428885968,14.1000839257315,126.02865309561
Case_13-02,gauss,method_1,2.6,15,37.4844255757368,28.3881389272784,-24.2668428520519,0.982829055794158,0.91307044290065,-7.09773612025956,44.5681031164073,57.6318544214509,29.3118853879027,6.18698883699808,13.8265143759668,123.477280147727
Case_13-03,gauss,method_1,2.6,15,37.6854508122835,28.5948103832398,-24.1224139106772,0.984410468259006,0.923296182121757,-6.20821172750563,45.2723222852261,56.8374949175679,25.545790559359,6.48420841190182,13.7954058540842,112.753893424563
Case_13-04,gauss,method_1,2.6,15,38.0962022682081,30.6486572535162,-19.5493108794916,0.982195427518007,0.939629067092214,-4.33379745346175,45.3872324494358,57.1463572147476,25.9084419355425,6.8087536761701,14.5586088647947,113.821935073789
Case_13-05,gauss,method_1,2.6,15,37.6915166656877,30.715519909849,-18.5081349145847,0.983014235690222,0.946448645330804,-3.71974169160874,43.7187694700443,54.7049811167556,25.1292792086452,7.2935102799683,14.8724310897117,103.913212140922
Case_13-06,gauss,method_1,2.6,15,37.8052004540902,28.7926657008667,-23.8394047511217,0.985895503785784,0.929134629541959,-5.75729111511986,44.6016410470508,56.9407693546728,27.6651890333033,6.04308767596275,14.4648318152768,139.361607689604
Case_13-07,gauss,method_1,2.6,15,37.2284212051852,29.4922559016884,-20.7802669386884,0.983026274096396,0.935148904779056,-4.87040586594181,43.3477674673744,55.7524417911992,28.616639445529,6.27555343074178,13.9639336131725,122.513181781992
Case_13-10,gauss,method_1,2.6,15,37.5057856498653,29.4718872935697,-21.4204241214834,0.980793321894555,0.927791752892042,-5.40394880545603,44.7379243054645,55.5531542401427,24.1746350609234,6.55843094806251,14.0419609840277,114.105494061441
Case_13-11,gauss,method_1,2.6,15,37.46276083238,28.5216760440635,-23.866593357392,0.981713447773498,0.918578615381576,-6.43108562229747,44.9219474481202,56.2431029589556,25.2018359709586,6.12855773821154,13.7358441010924,124.128492996801
Case_13-12,gauss,method_1,2.6,15,38.2687557719243,29.0490969379391,-24.0918698505197,0.983914981563838,0.926252141783164,-5.8605510497487,52.2585167196485,58.8808692268279,12.6722932889701,6.29657447050716,13.7437994210973,118.274229669998
Case_14-01,gauss,method_1,2.6,15,38.0099661901328,31.4349039823119,-17.2982585012868,0.973725385138417,0.923384907998116,-5.16988443647745,49.1243153868638,55.3114810794727,12.5949148479398,8.44052909434451,15.5332997841499,84.03229952205
Case_14-02,gauss,method_1,2.6,15,37.8954826251932,30.5111551928831,-19.4860361203077,0.971713110638202,0.896887276693216,-7.70040386671759,45.7741188414281,55.2536999547273,20.7094780920604,7.89627781207135,15.0744147956202,90.9053246907717
Case_14-03,gauss,method_1,2.6,15,38.124277652166,30.4852356826064,-20.037211037166,0.976847071978786,0.91522236836971,-6.30853133277491,46.0577453535691,54.6084236606168,18.5651256730158,7.38018815067666,15.3163483855247,107.533305016356
Case_14-04,gauss,method_1,2.6,15,38.6229848998283,30.6036642979153,-20.7630783138894,0.988482491774901,0.95202908444949,-3.68781517414194,45.9337563580575,54.7457908782975,19.1842235839574,7.70447668496264,14.9213171703565,93.6707420956897
