filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,-2.11710024567756,-0.0539992386202039,13.5419408001532,42.0915695328578,1
5,-12.5543083482774,-1.21488236179265,25.6795872703266,106.510287117109,1
7,-20.3813020653316,-2.94046241624478,26.7823099521981,165.707006951568,1
9,-25.8415457939065,-4.66899817415935,27.6441013572102,205.290621817403,1
11,-29.8541260332168,-6.18301280766181,29.3231950676517,233.408010292321,1
13,-32.9347236925119,-7.44373236724613,36.1074223090533,254.730383129071,1
15,-35.3822436569895,-8.4785904974092,40.1676976176145,271.014774555108,1
17,-37.3807042037265,-9.33269411655964,40.1419122034293,284.457094852011,1
19,-39.0489511993495,-10.0488125125174,38.4859950109327,295.277048022097,1
