name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,gauss,fixed_multilevel_tresholding,0.4,11,33.476,32.564,-2.72434,0.972,0.97,-0.20576,52.435,49.95,-4.7392
Case_1-01,gauss,fixed_multilevel_tresholding,0.7,11,33.476,33.07,-1.21281,0.972,0.975,0.30864,52.435,53.283,1.61724
Case_1-01,gauss,fixed_multilevel_tresholding,1.1,11,33.476,33.53,0.16131,0.972,0.977,0.5144,52.435,56.391,7.54458
Case_1-01,gauss,fixed_multilevel_tresholding,1.4,11,33.476,33.408,-0.20313,0.972,0.977,0.5144,52.435,57.174,9.03786
Case_1-01,gauss,fixed_multilevel_tresholding,1.7,11,33.476,32.79,-2.04923,0.972,0.976,0.41152,52.435,56.672,8.08048
Case_1-01,gauss,fixed_multilevel_tresholding,2,11,33.476,31.947,-4.56745,0.972,0.973,0.10288,52.435,55.405,5.66416
Case_1-01,gauss,fixed_multilevel_tresholding,2.3,11,33.476,31.122,-7.0319,0.972,0.97,-0.20576,52.435,54.327,3.60828
Case_1-01,gauss,fixed_multilevel_tresholding,2.6,11,33.476,30.431,-9.09607,0.972,0.967,-0.5144,52.435,53.993,2.9713
Case_1-01,gauss,fixed_multilevel_tresholding,2.9,11,33.476,29.882,-10.73605,0.972,0.964,-0.82305,52.435,54.268,3.49576
Case_1-02,gauss,fixed_multilevel_tresholding,0.4,11,33.482,32.31,-3.50039,0.972,0.969,-0.30864,52.75,55.07,4.3981
Case_1-02,gauss,fixed_multilevel_tresholding,0.7,11,33.482,32.768,-2.13249,0.972,0.973,0.10288,52.75,56.722,7.52986
Case_1-02,gauss,fixed_multilevel_tresholding,1.1,11,33.482,33.353,-0.38528,0.972,0.977,0.5144,52.75,57.385,8.78673
Case_1-02,gauss,fixed_multilevel_tresholding,1.4,11,33.482,33.397,-0.25387,0.972,0.978,0.61728,52.75,57.616,9.22464
Case_1-02,gauss,fixed_multilevel_tresholding,1.7,11,33.482,32.851,-1.88459,0.972,0.977,0.5144,52.75,56.952,7.96588
Case_1-02,gauss,fixed_multilevel_tresholding,2,11,33.482,32.003,-4.4173,0.972,0.975,0.30864,52.75,55.736,5.66066
Case_1-02,gauss,fixed_multilevel_tresholding,2.3,11,33.482,31.141,-6.99182,0.972,0.972,0,52.75,54.491,3.30047
Case_1-02,gauss,fixed_multilevel_tresholding,2.6,11,33.482,30.401,-9.20196,0.972,0.969,-0.30864,52.75,53.778,1.94882
Case_1-02,gauss,fixed_multilevel_tresholding,2.9,11,33.482,29.806,-10.97903,0.972,0.966,-0.61728,52.75,53.739,1.87488
Case_1-03,gauss,fixed_multilevel_tresholding,0.4,11,33.98,33.001,-2.88111,0.977,0.975,-0.20471,49.548,49.95,0.81133
Case_1-03,gauss,fixed_multilevel_tresholding,0.7,11,33.98,33.397,-1.71572,0.977,0.979,0.20471,49.548,54.507,10.00848
Case_1-03,gauss,fixed_multilevel_tresholding,1.1,11,33.98,33.812,-0.49441,0.977,0.981,0.40942,49.548,56.881,14.79979
Case_1-03,gauss,fixed_multilevel_tresholding,1.4,11,33.98,33.833,-0.43261,0.977,0.981,0.40942,49.548,57.117,15.2761
Case_1-03,gauss,fixed_multilevel_tresholding,1.7,11,33.98,33.57,-1.20659,0.977,0.981,0.40942,49.548,57.14,15.32252
Case_1-03,gauss,fixed_multilevel_tresholding,2,11,33.98,33.017,-2.83402,0.977,0.98,0.30706,49.548,57.476,16.00065
Case_1-03,gauss,fixed_multilevel_tresholding,2.3,11,33.98,32.389,-4.68217,0.977,0.978,0.10235,49.548,57.954,16.96537
Case_1-03,gauss,fixed_multilevel_tresholding,2.6,11,33.98,31.819,-6.35962,0.977,0.976,-0.10235,49.548,57.81,16.67474
Case_1-03,gauss,fixed_multilevel_tresholding,2.9,11,33.98,31.343,-7.76045,0.977,0.975,-0.20471,49.548,57.196,15.43554
Case_1-04,gauss,fixed_multilevel_tresholding,0.4,11,33.947,33.218,-2.14747,0.979,0.977,-0.20429,52.916,53.886,1.83309
Case_1-04,gauss,fixed_multilevel_tresholding,0.7,11,33.947,33.747,-0.58915,0.979,0.981,0.20429,52.916,56.294,6.3837
Case_1-04,gauss,fixed_multilevel_tresholding,1.1,11,33.947,34.237,0.85427,0.979,0.983,0.40858,52.916,57.13,7.96356
Case_1-04,gauss,fixed_multilevel_tresholding,1.4,11,33.947,34.286,0.99862,0.979,0.984,0.51073,52.916,57.045,7.80293
Case_1-04,gauss,fixed_multilevel_tresholding,1.7,11,33.947,33.884,-0.18558,0.979,0.983,0.40858,52.916,57.096,7.89931
Case_1-04,gauss,fixed_multilevel_tresholding,2,11,33.947,33.25,-2.0532,0.979,0.982,0.30644,52.916,57.619,8.88767
Case_1-04,gauss,fixed_multilevel_tresholding,2.3,11,33.947,32.544,-4.13291,0.979,0.981,0.20429,52.916,58.214,10.01209
Case_1-04,gauss,fixed_multilevel_tresholding,2.6,11,33.947,31.933,-5.93278,0.979,0.979,0,52.916,58.27,10.11792
Case_1-04,gauss,fixed_multilevel_tresholding,2.9,11,33.947,31.428,-7.42039,0.979,0.978,-0.10215,52.916,57.72,9.07854
Case_1-05,gauss,fixed_multilevel_tresholding,0.4,11,33.969,33.228,-2.1814,0.978,0.976,-0.2045,49.426,49.6,0.35204
Case_1-05,gauss,fixed_multilevel_tresholding,0.7,11,33.969,33.769,-0.58877,0.978,0.98,0.2045,49.426,53.048,7.32813
Case_1-05,gauss,fixed_multilevel_tresholding,1.1,11,33.969,34.138,0.49751,0.978,0.982,0.409,49.426,56.026,13.3533
Case_1-05,gauss,fixed_multilevel_tresholding,1.4,11,33.969,34.051,0.2414,0.978,0.982,0.409,49.426,56.921,15.16408
Case_1-05,gauss,fixed_multilevel_tresholding,1.7,11,33.969,33.591,-1.11278,0.978,0.981,0.30675,49.426,57.469,16.27281
Case_1-05,gauss,fixed_multilevel_tresholding,2,11,33.969,32.904,-3.13521,0.978,0.979,0.10225,49.426,58.116,17.58184
Case_1-05,gauss,fixed_multilevel_tresholding,2.3,11,33.969,32.209,-5.18119,0.978,0.977,-0.10225,49.426,58.501,18.36078
Case_1-05,gauss,fixed_multilevel_tresholding,2.6,11,33.969,31.602,-6.96812,0.978,0.976,-0.2045,49.426,58.377,18.1099
Case_1-05,gauss,fixed_multilevel_tresholding,2.9,11,33.969,31.112,-8.41061,0.978,0.974,-0.409,49.426,57.661,16.66127
Case_1-06,gauss,fixed_multilevel_tresholding,0.4,11,33.434,32.337,-3.28109,0.977,0.974,-0.30706,53.791,52.256,-2.85364
Case_1-06,gauss,fixed_multilevel_tresholding,0.7,11,33.434,32.766,-1.99797,0.977,0.978,0.10235,53.791,56.1,4.29254
Case_1-06,gauss,fixed_multilevel_tresholding,1.1,11,33.434,33.359,-0.22432,0.977,0.98,0.30706,53.791,58.355,8.48469
Case_1-06,gauss,fixed_multilevel_tresholding,1.4,11,33.434,33.344,-0.26919,0.977,0.981,0.40942,53.791,58.606,8.95131
Case_1-06,gauss,fixed_multilevel_tresholding,1.7,11,33.434,32.851,-1.74373,0.977,0.98,0.30706,53.791,57.647,7.16849
Case_1-06,gauss,fixed_multilevel_tresholding,2,11,33.434,32.047,-4.14847,0.977,0.977,0,53.791,55.985,4.07875
Case_1-06,gauss,fixed_multilevel_tresholding,2.3,11,33.434,31.22,-6.622,0.977,0.975,-0.20471,53.791,54.501,1.31992
Case_1-06,gauss,fixed_multilevel_tresholding,2.6,11,33.434,30.509,-8.74858,0.977,0.972,-0.51177,53.791,53.918,0.2361
Case_1-06,gauss,fixed_multilevel_tresholding,2.9,11,33.434,29.939,-10.45343,0.977,0.969,-0.81883,53.791,54.107,0.58746
Case_1-07,gauss,fixed_multilevel_tresholding,0.4,11,33.741,32.806,-2.77111,0.981,0.978,-0.30581,52.955,48.635,-8.15787
Case_1-07,gauss,fixed_multilevel_tresholding,0.7,11,33.741,33.203,-1.5945,0.981,0.981,0,52.955,53.978,1.93183
Case_1-07,gauss,fixed_multilevel_tresholding,1.1,11,33.741,33.767,0.07706,0.981,0.983,0.20387,52.955,57.173,7.96525
Case_1-07,gauss,fixed_multilevel_tresholding,1.4,11,33.741,33.783,0.12448,0.981,0.984,0.30581,52.955,57.554,8.68473
Case_1-07,gauss,fixed_multilevel_tresholding,1.7,11,33.741,33.318,-1.25367,0.981,0.982,0.10194,52.955,56.954,7.55169
Case_1-07,gauss,fixed_multilevel_tresholding,2,11,33.741,32.562,-3.49427,0.981,0.98,-0.10194,52.955,56.333,6.379
Case_1-07,gauss,fixed_multilevel_tresholding,2.3,11,33.741,31.783,-5.80303,0.981,0.978,-0.30581,52.955,56.495,6.68492
Case_1-07,gauss,fixed_multilevel_tresholding,2.6,11,33.741,31.119,-7.77096,0.981,0.975,-0.61162,52.955,57.185,7.98791
Case_1-07,gauss,fixed_multilevel_tresholding,2.9,11,33.741,30.587,-9.34768,0.981,0.973,-0.81549,52.955,57.572,8.71872
Case_1-08,gauss,fixed_multilevel_tresholding,0.4,11,34.152,33.213,-2.74947,0.975,0.973,-0.20513,49.907,50.577,1.3425
Case_1-08,gauss,fixed_multilevel_tresholding,0.7,11,34.152,33.659,-1.44355,0.975,0.977,0.20513,49.907,55.421,11.04855
Case_1-08,gauss,fixed_multilevel_tresholding,1.1,11,34.152,34.127,-0.0732,0.975,0.979,0.41026,49.907,57.357,14.92777
Case_1-08,gauss,fixed_multilevel_tresholding,1.4,11,34.152,34.189,0.10834,0.975,0.98,0.51282,49.907,57.341,14.89571
Case_1-08,gauss,fixed_multilevel_tresholding,1.7,11,34.152,33.841,-0.91063,0.975,0.98,0.51282,49.907,57.313,14.8396
