filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-7.45163703125,-0.23845265625,11.39726475,1
5,-12.83435196875,-1.16282828125,24.36914446875,1
7,-19.2008954375,-2.7042113125,25.4878158125,1
9,-24.75901525,-4.39055678125,26.9315630625,1
11,-28.99389909375,-5.915089875,27.3815868125,1
13,-32.26435671875,-7.20940159375,34.37380984375,1
15,-34.85618125,-8.281397,40.1068346875,1
17,-36.96202203125,-9.16841853125,40.6921460625,1
19,-38.71130021875,-9.91306353125,39.65187578125,1
