type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,fixed_multilevel_tresholding,3,35.51305,24.3764335,-33.7027845,0.98182,0.9218826875,-5.781563625,52.73484,48.440647375,-0.9027790625
avg,fixed_multilevel_tresholding,5,35.51305,33.9987100625,-7.6337045,0.98182,0.972263875,-0.6325646875,52.73484,55.76358025,13.8653490625
avg,fixed_multilevel_tresholding,7,35.51305,33.076646625,-10.2633778125,0.98182,0.960444875,-1.845676375,52.73484,56.7536656875,15.9249611875
avg,fixed_multilevel_tresholding,9,35.51305,31.0244895,-15.860431625,0.98182,0.94474425,-3.4553278125,52.73484,57.396513125,17.3431030625
avg,fixed_multilevel_tresholding,11,35.51305,29.359784875,-20.390226,0.98182,0.9302735,-4.938298625,52.73484,57.731641875,18.061672875
avg,fixed_multilevel_tresholding,13,35.51305,28.0371559375,-23.9852673125,0.98182,0.91790325,-6.20551325,52.73484,61.06175675,24.762265125
