type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,otsu,3,35.51305,24.497760875,-33.374299125,0.98182,0.9222915,-5.7399599375,52.73484,48.420998875,-0.98203175
avg,otsu,5,35.51305,34.138056625,-7.2582099375,0.98182,0.9722789375,-0.6308345,52.73484,54.5289325,11.2895699375
avg,otsu,7,35.51305,33.306546875,-9.633928,0.98182,0.961995875,-1.6866103125,52.73484,54.8875945625,12.1431008125
avg,otsu,9,35.51305,31.296267625,-15.1208714375,0.98182,0.946866125,-3.237902875,52.73484,55.3061930625,13.0291383125
avg,otsu,11,35.51305,29.609251,-19.7138750625,0.98182,0.932403625,-4.720138,52.73484,55.6017814375,13.7126190625
avg,otsu,13,35.51305,28.2462286875,-23.41962125,0.98182,0.91983625,-6.00762575,52.73484,59.25710275,21.095528125
