sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-0.8016124375,-0.0296204375,-1.1088001875
0.7,3,0.344684625,0.39027825,5.6364701875
1.1,3,0.619284,0.4595480625,7.5180940625
1.4,3,0.686769,0.4653023125,7.9174851875
1.7,3,0.71296775,0.46722975,8.1144514375
2,3,0.723423375,0.465272625,8.1640101875
2.3,3,0.7330396875,0.4659389375,8.2580366875
2.6,3,0.738941375,0.4665786875,8.307976875
2.9,3,0.7413466875,0.467220375,8.3025335625
0.4,5,-2.0274850625,-0.1427410625,-1.442660375
0.7,5,-0.692576,0.33214025,6.4233863125
1.1,5,-0.2148744375,0.41450025,11.3463494375
1.4,5,-0.4345554375,0.347961125,13.0364084375
1.7,5,-0.7000446875,0.271799625,13.9375365
2,5,-0.922214375,0.2087898125,14.413255125
2.3,5,-1.0890689375,0.1601115,14.6149055
2.6,5,-1.213673625,0.128872625,15.0034271875
2.9,5,-1.30383875,0.103539,15.0877548125
0.4,7,-2.043976125,-0.1420906875,-1.44204075
0.7,7,-0.6273959375,0.3373185,6.3474943125
1.1,7,0.1253134375,0.4381819375,11.792620625
1.4,7,-0.4606089375,0.2767336875,14.572334
1.7,7,-1.4713789375,0.035546625,16.2795286875
2,7,-2.4362425,-0.204122875,16.9772224375
2.3,7,-3.1989925625,-0.393081125,17.12101325
2.6,7,-3.78286475,-0.541136,17.0513706875
2.9,7,-4.22702425,-0.6625375625,16.891712125
0.4,9,-2.043976125,-0.1420906875,-1.44204075
0.7,9,-0.6272575625,0.3373185,6.347552875
1.1,9,0.1536315,0.439472,11.826682125
1.4,9,-0.53761575,0.2571510625,14.8433434375
1.7,9,-2.0654275,-0.089211625,16.812901375
2,9,-3.7746344375,-0.48539625,17.2936886875
2.3,9,-5.2692693125,-0.8592554375,16.89428375
2.6,9,-6.4522370625,-1.1682190625,16.5126515625
2.9,9,-7.3636018125,-1.4284245,16.23486075
0.4,11,-2.043976125,-0.1420906875,-1.44204075
0.7,11,-0.6272575625,0.3373185,6.347552875
1.1,11,0.1547274375,0.4394739375,11.828530625
1.4,11,-0.5508478125,0.2538906875,14.872607625
1.7,11,-2.24098825,-0.116479375,16.90701025
2,11,-4.364289375,-0.595005875,17.30746075
2.3,11,-6.407001125,-1.08705275,16.801633375
2.6,11,-8.131245625,-1.549081375,16.406316375
2.9,11,-9.5113558125,-1.937727625,16.40330975
0.4,13,-2.043976125,-0.1420906875,-1.442054625
0.7,13,-0.6272575625,0.3373185,6.347552875
1.1,13,0.1547274375,0.4394739375,11.8282819375
1.4,13,-0.5519138125,0.2538906875,14.876151625
1.7,13,-2.2726535,-0.1229983125,16.9181790625
2,13,-4.543003875,-0.6293849375,17.3019121875
2.3,13,-6.8821704375,-1.1714194375,16.7767303125
2.6,13,-8.9879676875,-1.718998375,16.499826
2.9,13,-10.7554455,-2.2146168125,16.8370819375
0.4,15,-2.043976125,-0.1420906875,-1.442054625
0.7,15,-0.6272575625,0.3373185,6.347552875
1.1,15,0.1547274375,0.4394739375,11.8282819375
1.4,15,-0.5518973125,0.2538906875,14.8762396875
1.7,15,-2.276254375,-0.12364,16.9225945625
2,15,-4.5820881875,-0.6326581875,17.302918375
2.3,15,-7.038907875,-1.1986186875,16.7772426875
2.6,15,-9.3532881875,-1.783206625,16.5552269375
2.9,15,-11.38570775,-2.3416461875,17.0178449375
0.4,17,-2.043976125,-0.1420906875,-1.442054625
0.7,17,-0.6272575625,0.3373185,6.347552875
1.1,17,0.1547274375,0.4394739375,11.8282819375
1.4,17,-0.5518973125,0.2538906875,14.8763720625
1.7,17,-2.2765904375,-0.12364,16.9230655625
2,17,-4.588615125,-0.6333031875,17.3032258125
2.3,17,-7.079965625,-1.20703775,16.777201625
2.6,17,-9.48411875,-1.8084978125,16.5775913125
2.9,17,-11.6650030625,-2.390961375,17.098011625
0.4,19,-2.043976125,-0.1420906875,-1.44204075
0.7,19,-0.6272575625,0.3373185,6.347552875
1.1,19,0.1547274375,0.4394739375,11.8282819375
1.4,19,-0.5518973125,0.2538906875,14.8763720625
1.7,19,-2.2765754375,-0.12364,16.923146875
2,19,-4.5894678125,-0.6333031875,17.3025588125
2.3,19,-7.08866625,-1.2083371875,16.7787479375
2.6,19,-9.52363775,-1.815639,16.5884799375
2.9,19,-11.773308875,-2.415552625,17.1285841875
