filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,1.70798425,1.2161999375,-2.497354625,1
5,2.287005125,1.6055261875,-1.0270834375,1
7,1.8182368125,1.320400875,1.119257,1
9,-0.8827228125,0.270305875,4.4353585625,1
11,-4.2327773125,-0.951708375,3.917266125,1
13,-7.530482125,-2.08248275,14.2741715625,1
15,-10.48861625,-3.0289355625,21.296618,1
17,-13.05127225,-3.8079429375,23.7519665625,1
19,-15.2655438125,-4.4571015,24.863427375,1
