sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-2.768025375,-0.0598800625,-1.374758125
0.7,3,-7.5161133125,-0.1481335625,8.577181
1.1,3,-8.45269775,-0.2131375,11.080851
1.4,3,-8.6473649375,-0.23335325,12.1904154375
1.7,3,-8.7533998125,-0.2453484375,12.5319959375
2,3,-8.8064731875,-0.2504009375,12.69926975
2.3,3,-8.843522375,-0.256714875,12.88903325
2.6,3,-8.8763953125,-0.2630255625,13.020312875
2.9,3,-8.8980548125,-0.2642933125,12.9860299375
0.4,5,-2.76800775,-0.0598800625,-1.3750895625
0.7,5,-7.471911,-0.1506569375,9.607787375
1.1,5,-8.858942625,-0.3584309375,16.7066514375
1.4,5,-9.8761905625,-0.5535401875,19.967702875
1.7,5,-10.64229125,-0.7057146875,21.882223625
2,5,-11.170604625,-0.8136775625,22.7979461875
2.3,5,-11.5316280625,-0.8844141875,23.3280909375
2.6,5,-11.78322525,-0.9399415,23.6715296875
2.9,5,-11.969989,-0.97784425,23.8749150625
0.4,7,-2.76800775,-0.0598800625,-1.3750895625
0.7,7,-7.469563125,-0.151287625,9.6112495625
1.1,7,-8.929554125,-0.40012025,17.525352375
1.4,7,-10.75859225,-0.751831,22.3306821875
1.7,7,-12.6913419375,-1.131923375,25.0053121875
2,7,-14.2258326875,-1.4444330625,26.0029545625
2.3,7,-15.32683025,-1.6982385,26.1746623125
2.6,7,-16.1243374375,-1.883848125,26.094263
2.9,7,-16.703692875,-2.027774,25.9737024375
0.4,9,-2.76800775,-0.0598800625,-1.3750895625
0.7,9,-7.469476625,-0.151287625,9.611063125
1.1,9,-8.9398776875,-0.4020129375,17.56015225
1.4,9,-11.01641575,-0.7985418125,22.646599625
1.7,9,-13.6978658125,-1.3036480625,25.49990425
2,9,-16.12879575,-1.8118640625,26.1793468125
2.3,9,-18.0201616875,-2.25880375,25.8814630625
2.6,9,-19.417343625,-2.62558925,25.5955253125
2.9,9,-20.444974125,-2.9140793125,25.479597125
0.4,11,-2.76800775,-0.0598800625,-1.3750895625
0.7,11,-7.469476625,-0.151287625,9.611063125
1.1,11,-8.9399786875,-0.4020129375,17.5610670625
1.4,11,-11.0543489375,-0.7998044375,22.6702965625
1.7,11,-13.9748798125,-1.3446679375,25.5531375625
2,11,-16.905209875,-1.9494815625,26.122695375
2.3,11,-19.373651875,-2.534016875,25.7342995625
2.6,11,-21.290105375,-3.052902625,25.585704625
2.9,11,-22.7402889375,-3.483394625,25.8090968125
0.4,13,-2.76800775,-0.0598800625,-1.3750895625
0.7,13,-7.469476625,-0.151287625,9.611063125
1.1,13,-8.9399931875,-0.4020129375,17.5610075
1.4,13,-11.056213625,-0.7998044375,22.671969375
1.7,13,-14.0227696875,-1.3516186875,25.557655
2,13,-17.133837125,-1.9867088125,26.1090721875
2.3,13,-19.918213125,-2.636913,25.7308880625
2.6,13,-22.200796375,-3.25107875,25.7091525625
2.9,13,-24.0020678125,-3.7990029375,26.102485375
0.4,15,-2.76800775,-0.0598800625,-1.3750895625
0.7,15,-7.469476625,-0.151287625,9.611063125
1.1,15,-8.9399931875,-0.4020129375,17.5610075
1.4,15,-11.0561558125,-0.7998044375,22.6720205
1.7,15,-14.0282501875,-1.352878125,25.5603043125
2,15,-17.1841460625,-1.99365275,26.1128933125
2.3,15,-20.094754,-2.6697095,25.7336945
2.6,15,-22.582063125,-3.331247,25.759512
2.9,15,-24.6259819375,-3.9447595,26.2067554375
0.4,17,-2.76800775,-0.0598800625,-1.3750895625
0.7,17,-7.469476625,-0.151287625,9.611063125
1.1,17,-8.9399931875,-0.4020129375,17.5610075
1.4,17,-11.05614125,-0.7998044375,22.672009
1.7,17,-14.0287719375,-1.352878125,25.5597881875
2,17,-17.192590375,-1.9949185,26.1090073125
2.3,17,-20.14095975,-2.674132,25.735761
2.6,17,-22.717465125,-3.3507984375,25.7900350625
2.9,17,-24.9001586875,-4.004081125,26.25074175
0.4,19,-2.76800775,-0.0598800625,-1.3750895625
0.7,19,-7.469476625,-0.151287625,9.611063125
1.1,19,-8.9399931875,-0.4020129375,17.5610075
1.4,19,-11.05614125,-0.7998044375,22.672009
1.7,19,-14.02878725,-1.352878125,25.5597283125
2,19,-17.19363425,-1.9955498125,26.107909375
2.3,19,-20.150709625,-2.67666175,25.73987
2.6,19,-22.7583674375,-3.36026825,25.7924681875
2.9,19,-25.005847125,-4.0286721875,26.26538225
