filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-4.3698585,-0.2604879375,6.7871304375,1
5,-7.76098525,-0.815952625,14.2953773125,1
7,-13.2269175625,-2.1084580625,13.944057375,1
9,-18.8311095625,-3.7032091875,14.755548375,1
11,-23.3526146875,-5.2135764375,15.24757975,1
13,-26.93959575,-6.5138545625,22.6038760625,1
15,-29.8047231875,-7.6034873125,30.3231575,1
17,-32.131210125,-8.5073895625,32.170610125,1
19,-34.059716375,-9.2643635625,32.16187025,1
