filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-0.855068875,0.138824125,7.1317604375,1
5,-2.0575435625,-0.0719648125,11.93666175,1
7,-5.702326125,-1.07476625,11.9650586875,1
9,-10.76198475,-2.5453090625,12.9538733125,1
11,-15.2950895625,-3.982555625,13.2610683125,1
13,-19.0750530625,-5.234004875,21.1776854375,1
15,-22.169558625,-6.291145375,28.8787164375,1
17,-24.7129651875,-7.174095125,31.0798833125,1
19,-26.835242,-7.9078296875,31.52950875,1
