filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-5.18236275,-0.067838125,9.727836375,1
5,-7.69736975,-0.7786213125,17.533216625,1
7,-13.7584665,-2.2515811875,17.4799455625,1
9,-19.497977375,-3.9046958125,18.6133799375,1
11,-23.9657486875,-5.4080264375,19.0171465,1
13,-27.4472150625,-6.6936171875,25.85615975,1
15,-30.2181451875,-7.7603305,31.715977,1
17,-32.4731795625,-8.64387025,32.525160125,1
19,-34.3472163125,-9.381173375,31.55379375,1
