name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_1,0.4,3,28.5061691933389,28.2179585863921,-1.01104643346488,0.928623333145771,0.926428718646267,-0.236329889759467,44.2061081586773,46.1534632749121,4.40517203922319,16.4503502679371,12.32006040314,-25.1076104613241
Case_1-02,gauss,method_1,0.4,3,28.4395095627934,28.089233671427,-1.23165236233407,0.926715418031763,0.92395238660415,-0.298153173439282,45.4603600241503,48.5267299995491,6.74515110256469,15.1602972188651,11.3113434946159,-25.3883790580283
Case_1-03,gauss,method_1,0.4,3,28.900180197066,28.7268577910095,-0.599727769427602,0.939910081665517,0.938801958055517,-0.117896768171327,44.4064573165978,43.498501941224,-2.04464717574841,16.9479249777619,12.8026000069471,-24.4591888166488
Case_1-04,gauss,method_1,0.4,3,28.8417398928405,28.6717282687147,-0.589463828317944,0.944153443314339,0.9430672599786,-0.115043094258744,44.2332299380954,46.2822320210225,4.63226873957588,16.3795894080999,12.0786793740814,-26.2577402086264
Case_1-05,gauss,method_1,0.4,3,28.9353898291958,28.7433786754224,-0.66358585423178,0.941151099995989,0.939871453369712,-0.135966119179187,45.1333769874063,44.2451812734275,-1.96793542443465,16.6812077305742,12.2825035458091,-26.3692189187412
Case_1-06,gauss,method_1,0.4,3,28.4661801433913,28.1646478684392,-1.05926497139119,0.938977588994493,0.936608606586578,-0.252293817837714,45.9051643203462,50.8888101436841,10.8563946935466,15.7072170384035,11.773782277043,-25.0422130906029
Case_1-07,gauss,method_1,0.4,3,28.853169587149,28.6074497356044,-0.85162169377071,0.94956318877436,0.947752427663684,-0.190694114102473,45.9983568286415,49.3448464208782,7.27523725402504,16.6435801837467,12.1561110823472,-26.9621622983602
Case_1-08,gauss,method_1,0.4,3,29.0228823949082,28.8405995406582,-0.628065992101504,0.934538454514018,0.933437897569762,-0.117764757452231,46.0569872629726,43.568752245692,-5.40251363614697,15.7894521804839,11.9825776523858,-24.1102381804193
Case_10-01,gauss,method_1,0.4,3,28.2646651665988,27.8942506390594,-1.3105215482161,0.908569602656189,0.905400866847296,-0.348760931427771,52.3684812156507,42.4766906883546,-18.8888245327609,17.3116213271664,13.8960371778315,-19.7300072869252
Case_10-02,gauss,method_1,0.4,3,28.705282256066,28.331458400711,-1.30228245805187,0.916370245972796,0.913356060419438,-0.328926606533169,51.7189457522933,42.3641973957306,-18.0876625006378,16.6723879771566,13.7915865183819,-17.2788772833372
Case_10-03,gauss,method_1,0.4,3,28.0339153781104,27.6616130644225,-1.32804251088869,0.902172771467147,0.899041718285074,-0.347056936442613,51.5030612821376,41.3773525247149,-19.6604017418562,16.4920820446062,13.6165837563905,-17.4356292943385
Case_10-04,gauss,method_1,0.4,3,28.1551026344296,27.7349911287698,-1.49213274451402,0.913337276002993,0.909939144683244,-0.37205656760443,51.3456146020129,41.4806606636998,-19.2128461501099,16.5725381513509,13.1137166452639,-20.8708012888484
Case_10-05,gauss,method_1,0.4,3,29.5497248562858,29.3580299369441,-0.648719811348326,0.922303784930168,0.920883676938984,-0.153973995812134,53.272159948356,45.0638719074244,-15.4082133123362,17.7804761161663,13.4040212554798,-24.6138226675907
Case_10-06,gauss,method_1,0.4,3,28.6219940820744,28.2567332409807,-1.27615441484019,0.917722304519519,0.914795563808101,-0.318913542474153,52.4100677107202,43.1754012270274,-17.6200239516271,16.8727999912464,13.1505905047715,-22.0604137333812
Case_10-07,gauss,method_1,0.4,3,28.6148864960412,28.2455180453727,-1.2908261953775,0.921541762230193,0.918490783006206,-0.331073354353806,52.7785593687096,44.3766678534365,-15.919137649396,16.7044916258569,13.4157040470541,-19.6880435062875
Case_10-08,gauss,method_1,0.4,3,28.6289419961233,28.2531879757559,-1.31249705426852,0.921163548506973,0.917979774096547,-0.345625314373967,52.790326705836,44.9156612964906,-14.9168718981897,16.7685116311086,13.2922486049299,-20.7308979034823
