filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,name
3,1.50229925296539,0.347738217381755,8.62129942684617,-16.6529204226935,1
5,-3.80533764622917,-0.436426196793274,16.4508849083591,19.2875001644543,1
7,-10.8923541991245,-1.98366569643256,16.9196300005488,52.029437702741,1
9,-16.647744768877,-3.64533896444666,18.2069494678522,74.4174082443013,1
11,-21.0699076096893,-5.12609556475473,19.5220238846943,91.1556617150848,1
13,-24.5286918931169,-6.37097986073072,25.9972707266116,103.848885433189,1
15,-27.298531824287,-7.39970476593816,30.5189687433205,113.259296398148,1
17,-29.5666283303894,-8.25090967530766,30.7937339494602,120.655566652725,1
19,-31.4609600247417,-8.96476198389076,29.3426411911664,126.802013594779,1
