sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.4,3,-35.7380045486057,-4.25725167151886,-1.7928372690756,-9.35342111118703
0.7,3,-7.16177551113573,1.36625609576046,1.79864000679905,-52.874300064387
1.1,3,-55.7210770519767,-7.60263394719356,1.34390787235243,-36.3698298790974
1.4,3,-69.768697758283,-26.3611550903054,1.14639385817334,-31.0824309323345
1.7,3,-76.9307253835685,-46.1606359275142,3.50670499389304,-27.5575672982813
2,3,-81.0645102708431,-61.5097833930039,1.6266938631656,-18.9781323062945
2.3,3,-83.6610797305349,-72.2881740577968,5.48346103269254,-13.9371190890743
2.6,3,-85.4037425659125,-79.5840073668288,7.15752576507017,-9.81556516248575
2.9,3,-86.6403198279378,-84.5820441316573,3.80854647463325,-6.02176990991433
0.4,5,-35.739770842091,-4.25809814174777,-1.78877261636647,-9.51832673183687
0.7,5,2.74947308883177,1.47318144475637,2.13695357882466,-54.1194197586653
1.1,5,-6.31606779608964,1.83268547857601,4.5433914643498,-40.5691604250593
1.4,5,-33.6706309474478,0.284321119972432,6.07568597053161,-36.476024608799
1.7,5,-51.8250322680309,-5.27288673936494,7.22091672682907,-31.5909301272408
2,5,-62.7700865085219,-14.9460693381893,7.61183302275965,-26.5064260767674
2.3,5,-69.7731612472388,-26.9119659364337,8.01950597545485,-22.7243128346749
2.6,5,-74.5158885338915,-39.0167583036228,9.04536572605524,-18.5508881373092
2.9,5,-77.867021449565,-49.8925127036055,9.13273721710462,-14.0185297173749
0.4,7,-35.739770842091,-4.25809814174777,-1.78877261636647,-9.51832673183687
0.7,7,2.75269221228,1.47230378269061,2.08149920464878,-53.9249188144042
1.1,7,3.77408144825829,2.00979462538221,5.04331448758859,-40.2859487765452
1.4,7,-0.641896154772649,1.95112000581323,7.53829756476622,-34.85281471465
1.7,7,-18.9515688892643,1.32572370739641,8.96879574084109,-28.2026596163461
2,7,-37.0320474746232,-0.711281128345933,9.83829919032666,-22.773217986298
2.3,7,-49.7769614232499,-4.86001704028958,10.2379809355598,-17.328224806671
2.6,7,-58.6451313034089,-11.147701640856,10.3589638897598,-12.8910254493084
2.9,7,-65.0119695035337,-19.0270723202229,10.1915527623171,-9.66994565036338
0.4,9,-35.739770842091,-4.25809814174777,-1.78877261636647,-9.51832673183687
0.7,9,2.75269720362594,1.47230651163767,2.08076610437413,-53.9263231664064
1.1,9,3.7889630184928,1.9702598883998,5.86395797014096,-39.543687780639
1.4,9,3.70313123961563,2.04527438941238,8.30565957722115,-34.0862770048173
1.7,9,0.855808524075836,1.82445401988261,9.02071656304416,-26.4061837851436
2,9,-10.5156002073563,1.30336510352953,9.76852494042498,-18.5513496819268
2.3,9,-25.8867041459059,0.194104884687543,10.0962149206915,-12.2818781148996
2.6,9,-38.7688601212625,-1.88360277630634,10.0687014587197,-7.99652164802577
