sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-1.9411385625,-0.07775684375,-1.7899850625
0.7,3,-3.36847034375,0.0122698125,5.45693815625
1.1,3,-3.7016879375,-0.003336,7.34008259375
1.4,3,-3.765343125,-0.0141630625,7.9821465625
1.7,3,-3.80391565625,-0.02084796875,8.244885875
2,3,-3.82212871875,-0.02434615625,8.3437466875
2.3,3,-3.83472553125,-0.02594121875,8.501549125
2.6,3,-3.8478705,-0.0288105625,8.60043909375
2.9,3,-3.8583344375,-0.030400125,8.59953265625
0.4,5,-2.9264708125,-0.1231455,-1.879512
0.7,5,-4.10607,-0.0143938125,6.25005178125
1.1,5,-4.6251110625,-0.12270025,11.83633028125
1.4,5,-5.35692396875,-0.28018553125,14.0946179375
1.7,5,-5.95762921875,-0.40742671875,15.38677328125
2,5,-6.39103153125,-0.497740625,16.04553071875
2.3,5,-6.69644171875,-0.55978875,16.43555378125
2.6,5,-6.915812375,-0.6074915,16.6729885
2.9,5,-7.073936875,-0.64183990625,16.8202029375
0.4,7,-2.93811275,-0.12377646875,-1.8841933125
0.7,7,-4.0600805,-0.01153490625,6.21145553125
1.1,7,-4.4780664375,-0.1399305625,12.34557940625
1.4,7,-5.93074559375,-0.4335755,15.70669253125
1.7,7,-7.6311514375,-0.7735645,17.65317378125
2,7,-9.03600053125,-1.06713409375,18.35116415625
2.3,7,-10.08251321875,-1.301796375,18.4251908125
2.6,7,-10.8444833125,-1.47953440625,18.2971343125
2.9,7,-11.4046941875,-1.6140678125,18.13586290625
0.4,9,-2.93811275,-0.12377646875,-1.8841933125
0.7,9,-4.0600266875,-0.01153490625,6.2114680625
1.1,9,-4.46635515625,-0.14120875,12.37263146875
1.4,9,-6.12807128125,-0.47366121875,15.9478815
1.7,9,-8.534904625,-0.93101309375,18.0350285625
2,9,-10.84130396875,-1.410845875,18.43031025
2.3,9,-12.683745125,-1.83374521875,18.0205325
2.6,9,-14.06826146875,-2.18888665625,17.63520078125
2.9,9,-15.1001049375,-2.46995359375,17.4553750625
0.4,11,-2.93811275,-0.12377646875,-1.8841933125
0.7,11,-4.0600266875,-0.01153490625,6.2114680625
1.1,11,-4.4657690625,-0.14120875,12.3723809375
1.4,11,-6.1561493125,-0.47588428125,15.96922940625
1.7,11,-8.789879,-0.96852428125,18.085233625
2,11,-11.58904040625,-1.5351594375,18.3584781875
2.3,11,-14.02200471875,-2.098535,17.8192116875
2.6,11,-15.95305990625,-2.5967323125,17.56228471875
2.9,11,-17.43668084375,-3.02433096875,17.7288855
0.4,13,-2.93811275,-0.12377646875,-1.8841933125
0.7,13,-4.0600266875,-0.01153490625,6.2114680625
1.1,13,-4.46579453125,-0.14120875,12.37249503125
1.4,13,-6.158044,-0.47588428125,15.96952684375
1.7,13,-8.83507884375,-0.97679253125,18.08990775
2,13,-11.81141071875,-1.5714118125,18.3400225
2.3,13,-14.5667190625,-2.19202221875,17.78817834375
2.6,13,-16.8831315625,-2.78777484375,17.66274890625
2.9,13,-18.740085,-3.32433421875,18.1148715
0.4,15,-2.93811275,-0.12377646875,-1.8841933125
0.7,15,-4.0600266875,-0.01153490625,6.2114680625
1.1,15,-4.46579453125,-0.14120875,12.37249503125
1.4,15,-6.1581188125,-0.47588428125,15.96965703125
1.7,15,-8.84057015625,-0.97743059375,18.08951409375
2,15,-11.86022803125,-1.57777465625,18.33836234375
2.3,15,-14.74460559375,-2.22283465625,17.79614309375
2.6,15,-17.274653875,-2.8649828125,17.723127375
2.9,15,-19.38941215625,-3.46639109375,18.26949665625
0.4,17,-2.93811275,-0.12377646875,-1.8841933125
0.7,17,-4.0600266875,-0.01153490625,6.2114680625
1.1,17,-4.46579453125,-0.14120875,12.37249503125
1.4,17,-6.1581268125,-0.47588428125,15.9697055
1.7,17,-8.840971625,-0.97743059375,18.0893318125
2,17,-11.86827596875,-1.57777465625,18.34052353125
2.3,17,-14.79116475,-2.2304605,17.80020325
2.6,17,-17.4143133125,-2.888510375,17.74798415625
2.9,17,-19.675159,-3.52075028125,18.33071709375
0.4,19,-2.93811275,-0.12377646875,-1.8841933125
0.7,19,-4.0600266875,-0.01153490625,6.2114680625
1.1,19,-4.46579453125,-0.14120875,12.37249503125
1.4,19,-6.1581268125,-0.47588428125,15.9697055
1.7,19,-8.84099590625,-0.97743059375,18.08943921875
2,19,-11.8693234375,-1.57809128125,18.340513875
2.3,19,-14.80098984375,-2.2317308125,17.80234225
2.6,19,-17.45652365625,-2.89423540625,17.76083740625
2.9,19,-19.78561784375,-3.5391771875,18.35699565625
