name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-02,gauss,otsu,0.4,11,35.61162,32.84147,-7.77878,0.98193,0.97478,-0.72816,54.4745,53.19852,-2.34234
Case_1-02,gauss,otsu,0.4,13,35.61162,32.84145,-7.77884,0.98193,0.97478,-0.72816,54.4745,53.19852,-2.34234
Case_1-02,gauss,otsu,0.7,3,35.61162,22.61668,-36.49073,0.98193,0.91281,-7.0392,54.4745,46.26253,-15.07489
Case_1-02,gauss,otsu,0.7,5,35.61162,32.75383,-8.02488,0.98193,0.97774,-0.42671,54.4745,53.72121,-1.38283
Case_1-02,gauss,otsu,0.7,7,35.61162,33.68013,-5.42376,0.98193,0.97942,-0.25562,54.4745,54.66195,0.34411
Case_1-02,gauss,otsu,0.7,9,35.61162,33.68027,-5.42337,0.98193,0.97942,-0.25562,54.4745,54.66199,0.34418
Case_1-02,gauss,otsu,0.7,11,35.61162,33.68027,-5.42337,0.98193,0.97942,-0.25562,54.4745,54.66199,0.34418
Case_1-02,gauss,otsu,0.7,13,35.61162,33.68027,-5.42337,0.98193,0.97942,-0.25562,54.4745,54.66199,0.34418
Case_1-02,gauss,otsu,1.1,3,35.61162,22.61628,-36.49185,0.98193,0.91308,-7.0117,54.4745,46.1008,-15.37178
Case_1-02,gauss,otsu,1.1,5,35.61162,33.04063,-7.21953,0.98193,0.9798,-0.21692,54.4745,55.77497,2.3873
Case_1-02,gauss,otsu,1.1,7,35.61162,34.38706,-3.43865,0.98193,0.98249,0.05703,54.4745,57.05462,4.73638
Case_1-02,gauss,otsu,1.1,9,35.61162,34.41985,-3.34658,0.98193,0.98257,0.06518,54.4745,57.07349,4.77102
Case_1-02,gauss,otsu,1.1,11,35.61162,34.42065,-3.34433,0.98193,0.98258,0.0662,54.4745,57.0737,4.77141
Case_1-02,gauss,otsu,1.1,13,35.61162,34.42066,-3.3443,0.98193,0.98258,0.0662,54.4745,57.0737,4.77141
Case_1-02,gauss,otsu,1.4,3,35.61162,22.61507,-36.49525,0.98193,0.9131,-7.00966,54.4745,46.06355,-15.44016
Case_1-02,gauss,otsu,1.4,5,35.61162,32.97398,-7.40668,0.98193,0.97984,-0.21285,54.4745,54.2952,-0.32914
Case_1-02,gauss,otsu,1.4,7,35.61162,34.33376,-3.58832,0.98193,0.98289,0.09777,54.4745,56.60163,3.90482
Case_1-02,gauss,otsu,1.4,9,35.61162,34.38369,-3.44812,0.98193,0.98313,0.12221,54.4745,56.80191,4.27248
Case_1-02,gauss,otsu,1.4,11,35.61162,34.38619,-3.4411,0.98193,0.98315,0.12425,54.4745,56.78244,4.23673
Case_1-02,gauss,otsu,1.4,13,35.61162,34.38618,-3.44112,0.98193,0.98315,0.12425,54.4745,56.7825,4.23684
