sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-0.6267460625,-0.1469165625,-3.61636675
0.7,3,1.169593375,0.914615875,0.37294625
1.1,3,1.5885424375,1.1450058125,-0.315645125
1.4,3,1.657156875,1.188273375,-1.184257625
1.7,3,1.6819105,1.1992315,-1.4723470625
2,3,1.6936119375,1.2059715,-1.86131325
2.3,3,1.700690875,1.2101141875,-2.0222820625
2.6,3,1.7053740625,1.211475125,-2.147823
2.9,3,1.7089168125,1.2128233125,-2.196615125
0.4,5,-1.35465925,-0.3658761875,-4.43311575
0.7,5,0.740672375,0.859966125,0.4215479375
1.1,5,1.9962848125,1.4826124375,4.2156926875
1.4,5,2.2761921875,1.614788375,4.926150625
1.7,5,2.3606618125,1.6481558125,3.8127990625
2,5,2.384744625,1.667145875,2.92796825
2.3,5,2.3794300625,1.6579010625,2.102927375
2.6,5,2.3700644375,1.6509619375,1.5066461875
2.9,5,2.3601415625,1.6406033125,1.08129525
0.4,7,-1.364643,-0.3665431875,-4.4443263125
0.7,7,0.790102125,0.8757516875,0.3012773125
1.1,7,2.509584875,1.6449239375,4.6301884375
1.4,7,3.0856704375,1.8745213125,6.4943566875
1.7,7,3.185953125,1.9080563125,7.9060315625
2,7,3.0677265625,1.8496046875,8.2974263125
2.3,7,2.9002194375,1.781804,7.60136
2.6,7,2.7379098125,1.7109605,6.7155386875
2.9,7,2.6016571875,1.6568881875,5.915595125
0.4,9,-1.364643,-0.3665431875,-4.444327875
0.7,9,0.790102125,0.8757516875,0.3012525625
1.1,9,2.55215675,1.6586733125,4.6633169375
1.4,9,3.22772075,1.9165826875,6.84176075
1.7,9,3.286075,1.9317826875,8.739711375
2,9,2.934306875,1.80267975,8.9923853125
2.3,9,2.4421419375,1.620100875,8.3292869375
2.6,9,1.9636695625,1.4391598125,7.9281290625
2.9,9,1.5427649375,1.27847125,7.0977894375
0.4,11,-1.364623125,-0.3665431875,-4.4443489375
0.7,11,0.790102125,0.8757516875,0.3012525625
1.1,11,2.553202,1.6593223125,4.6653413125
1.4,11,3.2436970625,1.921355,6.859774125
1.7,11,3.292682625,1.9329204375,8.81211025
2,11,2.7985244375,1.7649684375,8.968514875
2.3,11,2.0326406875,1.5003961875,8.612618
2.6,11,1.211398125,1.210193375,8.20569175
2.9,11,0.449915875,0.9360750625,7.6833440625
0.4,13,-1.364643,-0.3665431875,-4.4443156875
0.7,13,0.790102125,0.8757516875,0.3012525625
1.1,13,2.553202,1.6593223125,4.6653526875
1.4,13,3.244388125,1.9227543125,6.8614429375
1.7,13,3.29239925,1.9348656875,8.8168513125
2,13,2.7501850625,1.7545933125,8.9734618125
2.3,13,1.8338135625,1.4518649375,8.569587875
2.6,13,0.76225575,1.095105,8.2078308125
2.9,13,-0.297124875,0.7355291875,8.1706565625
0.4,15,-1.364643,-0.3665431875,-4.4443156875
0.7,15,0.790102125,0.8757516875,0.3012525625
1.1,15,2.553202,1.6593223125,4.6653526875
1.4,15,3.24443075,1.9227543125,6.861534375
1.7,15,3.292195875,1.9348656875,8.8185900625
2,15,2.7392151875,1.7545933125,8.9521250625
2.3,15,1.764735875,1.434561,8.583953375
2.6,15,0.558161375,1.051056375,8.1598671875
2.9,15,-0.7038029375,0.6409319375,8.2319703125
0.4,17,-1.364643,-0.3665431875,-4.4443156875
0.7,17,0.790102125,0.8757516875,0.3012525625
1.1,17,2.553202,1.6593223125,4.6653526875
1.4,17,3.24443075,1.9227543125,6.861482
1.7,17,3.29215175,1.9348656875,8.818500375
2,17,2.737500375,1.75526175,8.951301625
2.3,17,1.7466420625,1.432493625,8.59451325
2.6,17,0.4836346875,1.039941,8.1741055625
2.9,17,-0.8904425,0.6050733125,8.2349024375
0.4,19,-1.364643,-0.3665431875,-4.4443256875
0.7,19,0.790102125,0.8757516875,0.3012525625
1.1,19,2.553202,1.6593223125,4.6653526875
1.4,19,3.24443075,1.9227543125,6.861482
1.7,19,3.29215175,1.9348656875,8.8184678125
2,19,2.7371113125,1.75526175,8.95102675
2.3,19,1.7429351875,1.432493625,8.5956493125
2.6,19,0.4612130625,1.0358034375,8.1746644375
2.9,19,-0.963427,0.587807375,8.2387495
