name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_3,2.3,17,37.2952453771482,30.8549894676324,-17.268302820879,0.987633574542662,0.973166162001125,-1.46485629027308,51.3781679947428,55.6685171518543,8.35052965989471,6.74017183358787,14.8462119913466,120.264592029604
Case_1-02,gauss,method_3,2.3,17,37.4410039067037,30.7290789414447,-17.9266693328626,0.987759080047129,0.974916011493736,-1.30022277828918,54.693254168189,54.3985874146737,-0.538762518333819,7.14737117146963,14.6485920499863,104.950767191992
Case_1-03,gauss,method_3,2.3,17,37.9084872566381,32.385943881651,-14.5680921995116,0.989965298369266,0.981350365655468,-0.870225726900646,51.2830832109972,58.4018627566281,13.8813407851117,7.16992479890151,16.3321658740172,127.787129322743
Case_1-04,gauss,method_3,2.3,17,37.9083260790503,32.5479822591622,-14.140280973394,0.990933219012008,0.983801302990788,-0.719717119618947,54.9405060818229,58.5437944393773,6.55852778674442,7.50042155588556,16.6990958301514,122.642096923841
Case_1-05,gauss,method_3,2.3,17,37.8368974391421,32.1565524258348,-15.0127135091975,0.990029668044883,0.980361618155136,-0.976541431211763,50.6890384255133,58.8707569789584,16.1410016989532,7.13028183617835,15.7224088545969,120.501927074227
Case_1-06,gauss,method_3,2.3,17,37.313821888529,30.8375250707029,-17.3562945044154,0.989858277688834,0.976610649663241,-1.3383358329361,53.4723749207389,55.7407012970765,4.24205279772944,7.16884020856128,15.3449933065541,114.051267152371
Case_1-07,gauss,method_3,2.3,17,37.6177136883956,31.5530800972822,-16.1217495601925,0.991486991469116,0.979325959399443,-1.22654479325584,49.3545851173106,58.6895791243117,18.9141373285031,7.28961275608837,15.3454378671928,110.511015888685
Case_1-08,gauss,method_3,2.3,17,38.0676599934277,32.5699475091195,-14.441950162572,0.988872308662103,0.98031333394091,-0.865528809556024,51.9630453806607,57.9979208252875,11.6137832192431,7.45068683740843,16.0562100085691,115.499729876634
Case_10-01,gauss,method_3,2.3,17,36.7345461707111,28.0903503406683,-23.5315165998564,0.983735162649988,0.921400279863206,-6.33655125418758,43.7050636688008,57.4995883870125,31.5627608341844,6.23973360486822,13.046051148493,109.080258463511
Case_10-02,gauss,method_3,2.3,17,37.7420148157016,28.5888816495292,-24.2518403187221,0.986669760401793,0.932760241604065,-5.46378544892006,46.2178581436987,56.9214280954131,23.1589484706004,6.4198582315031,13.6030885605252,111.890793690319
Case_10-03,gauss,method_3,2.3,17,36.1418271620352,27.8045656165706,-23.0681794478348,0.981194919120078,0.915299275447459,-6.71585659368409,43.095603454508,57.6052332189322,33.6684687099013,6.00307319481979,12.5340384608486,108.793697062775
Case_10-04,gauss,method_3,2.3,17,36.917508515903,27.7261428185675,-24.8970368446617,0.985365043501796,0.923408409696208,-6.28768335290303,44.1586840112477,57.2831040679264,29.7210398148091,5.497331629691,12.8749720606025,134.204027114992
Case_10-05,gauss,method_3,2.3,17,38.8553545846416,31.3427173818877,-19.3348826257356,0.987588463803616,0.958302807940209,-2.96537038825023,52.9924714390313,60.0467174100256,13.3117889757422,7.29913569502933,13.9806441314,91.5383507792681
Case_10-06,gauss,method_3,2.3,17,37.735829568319,28.7833090562751,-23.7241916090271,0.986958026100496,0.937947893232251,-4.96577681848193,46.753997352551,56.6073311213693,21.0748477708094,5.8904545988079,13.8979012564944,135.939366365833
Case_10-07,gauss,method_3,2.3,17,37.6013813154718,28.471945360827,-24.2795228134033,0.987504888000497,0.935665790996688,-5.24950282613515,45.283205653068,57.3125696849991,26.5647359952666,6.12090731602331,13.2308931136059,116.159017454326
