name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque,jpg_niqe,im_niqe,delta_niqe
Case_1-01,gauss,method_2,4.7,3,35.9111392885229,36.6687818551991,2.10977034337187,0.983393568931661,0.986987075790528,0.365418991174677,52.6458251252415,54.5566044806725,3.62949835221568,8.30189926524612,7.38745799257667,-11.0148442356744
Case_1-02,gauss,method_2,4.7,3,36.0182838823119,36.8178209253916,2.21980882179775,0.983419909294387,0.987207570464688,0.385151971655532,54.6929438486816,57.4318062896284,5.00770711579252,8.35437769099306,8.80238416662901,5.36253557364236
Case_1-03,gauss,method_2,4.7,3,36.4756153596445,37.3639021576942,2.43528940990122,0.986350000257572,0.989492979168339,0.318647428392143,51.8245215822933,55.5548418362865,7.19798300128973,8.83730949127895,8.17116083446001,-7.53791250013735
Case_1-04,gauss,method_2,4.7,3,36.4702292884565,37.3677526206071,2.46097529316792,0.987628676736197,0.990489237138499,0.289639261159975,54.7960056975394,57.0921578390793,4.19036408276551,9.00665675621645,9.2413449806493,2.60571964476023
Case_1-05,gauss,method_2,4.7,3,36.4152420848226,37.2695022653998,2.34588631482196,0.986472112575954,0.989477677246686,0.304678118358861,51.5077939498851,54.9370119388403,6.65766814298365,8.4919846224856,7.83657391978707,-7.71799210473242
Case_1-06,gauss,method_2,4.7,3,35.8936687296705,36.6733135089828,2.17209554471606,0.986191755013006,0.989161547465201,0.301137424552482,53.9855378700011,57.2101830520192,5.97316486830816,8.77835023880098,8.60147865182071,-2.01486135969471
Case_1-07,gauss,method_2,4.7,3,36.2007522807166,37.0574717119004,2.36657908250196,0.988497319714777,0.991045412148246,0.257774339156045,50.7835772716362,55.0781684341811,8.45665349562435,8.75024025676305,8.3758887228465,-4.27818577469594
Case_1-08,gauss,method_2,4.7,3,36.6361044007804,37.4970461002418,2.34998156475133,0.984827596800596,0.988277707554044,0.350326368255311,52.169347574012,56.4353613939666,8.17724203643227,8.37321817129535,8.4884782580943,1.37653270750879
Case_10-01,gauss,method_2,4.7,3,35.3349738088078,35.4723139891838,0.388680577829708,0.978093282540502,0.979816275382137,0.176158335037356,43.2056151904148,47.7216901093327,10.4525184956048,8.12332371582826,6.8689519472827,-15.4416075540782
Case_10-02,gauss,method_2,4.7,3,36.2351918557387,36.3867010968982,0.418127332573809,0.981644879209059,0.983327843454336,0.171443286765015,46.1114796904262,47.868656115614,3.81071359449926,8.44406251052611,7.3955135940091,-12.4175882782715
Case_10-03,gauss,method_2,4.7,3,34.8364870274567,35.0149146671507,0.512186086827233,0.975211695747854,0.977436506839073,0.228136219132601,42.4869239012888,47.2284253660285,11.1599076359488,7.46047687993932,6.82121710778406,-8.56861809831729
