name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,9,40.124,29.677,-26.03679,0.993,0.965,-2.81974,48.578,49.576,2.05443
Case_1-02,avg,otsu,9,40.294,29.675,-26.3538,0.993,0.968,-2.51762,53.816,47.89,-11.0116
Case_1-03,avg,otsu,9,40.758,31.278,-23.25924,0.994,0.977,-1.71026,47.54,53.21,11.9268
Case_1-04,avg,otsu,9,40.757,31.488,-22.74211,0.995,0.98,-1.50754,53.792,53.018,-1.43888
Case_1-05,avg,otsu,9,40.656,31.032,-23.67178,0.994,0.975,-1.91147,46.334,53.693,15.88251
Case_1-06,avg,otsu,9,40.142,29.813,-25.73115,0.994,0.97,-2.41449,52.807,49.334,-6.57678
Case_1-07,avg,otsu,9,40.462,30.412,-24.83812,0.995,0.973,-2.21106,49.158,53.005,7.82579
Case_1-08,avg,otsu,9,40.894,31.434,-23.13298,0.994,0.975,-1.91147,49.059,52.659,7.3381
Case_10-01,avg,otsu,9,39.593,26.55,-32.94269,0.991,0.89,-10.19173,44.341,54.443,22.78253
Case_10-02,avg,otsu,9,40.734,27.125,-33.40944,0.993,0.906,-8.76133,45.806,52.182,13.91957
Case_10-03,avg,otsu,9,38.835,26.27,-32.35483,0.989,0.881,-10.92012,43.98,54.667,24.29968
Case_10-04,avg,otsu,9,39.831,26.197,-34.22962,0.992,0.892,-10.08065,44.569,53.345,19.69082
Case_10-05,avg,otsu,9,41.79,30.017,-28.17181,0.993,0.944,-4.93454,49.507,54.937,10.96815
Case_10-06,avg,otsu,9,40.731,27.361,-32.82512,0.993,0.913,-8.05639,46.657,51.386,10.13567
Case_10-07,avg,otsu,9,40.561,26.995,-33.44592,0.993,0.91,-8.35851,45.585,53.409,17.16354
Case_10-08,avg,otsu,9,40.523,27.099,-33.12687,0.993,0.912,-8.1571,45.624,53.437,17.12476
Case_10-09,avg,otsu,9,40.008,27.023,-32.45601,0.993,0.907,-8.66062,44.324,54.56,23.09358
Case_10-10,avg,otsu,9,40.71,28.2,-30.72955,0.991,0.904,-8.77901,44.168,57.725,30.69417
Case_11-07,avg,otsu,9,40.937,28.242,-31.01107,0.989,0.91,-7.98787,48.022,56.283,17.20253
Case_11-09,avg,otsu,9,44.503,34.939,-21.49069,0.985,0.965,-2.03046,37.659,55.806,48.18768
Case_11-10,avg,otsu,9,42.576,31.419,-26.2049,0.986,0.942,-4.46247,36.004,53.812,49.46117
Case_11-11,avg,otsu,9,42.828,31.476,-26.50602,0.987,0.943,-4.45795,36.227,56.705,56.5269
Case_11-12,avg,otsu,9,42.453,31.05,-26.86029,0.988,0.939,-4.95951,35.143,61.677,75.50295
Case_11-13,avg,otsu,9,43.838,33.016,-24.68635,0.985,0.953,-3.24873,33.158,54.812,65.30551
Case_11-15,avg,otsu,9,42.004,30.12,-28.29254,0.992,0.944,-4.83871,45.871,55.75,21.53648
