name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,17,40.124,23.807,-40.66643,0.993,0.916,-7.75428,48.578,60.433,24.40405
Case_1-02,avg,otsu,17,40.294,23.074,-42.73589,0.993,0.908,-8.55992,53.816,57.226,6.33641
Case_1-03,avg,otsu,17,40.758,25.559,-37.29084,0.994,0.945,-4.92958,47.54,64.269,35.18931
Case_1-04,avg,otsu,17,40.757,25.22,-38.12106,0.995,0.945,-5.02513,53.792,63.848,18.69423
Case_1-05,avg,otsu,17,40.656,25.394,-37.53935,0.994,0.943,-5.13078,46.334,65.161,40.63323
Case_1-06,avg,otsu,17,40.142,23.376,-41.76673,0.994,0.919,-7.54527,52.807,59.474,12.62522
Case_1-07,avg,otsu,17,40.462,24.482,-39.49385,0.995,0.936,-5.92965,49.158,65.514,33.27231
Case_1-08,avg,otsu,17,40.894,25.582,-37.44315,0.994,0.94,-5.4326,49.059,64.275,31.01572
Case_10-01,avg,otsu,17,39.593,22.409,-43.40161,0.991,0.805,-18.76892,44.341,66.857,50.77919
Case_10-02,avg,otsu,17,40.734,22.235,-45.41415,0.993,0.809,-18.52971,45.806,66.095,44.29332
Case_10-03,avg,otsu,17,38.835,22.266,-42.66512,0.989,0.796,-19.51466,43.98,66.454,51.1005
Case_10-04,avg,otsu,17,39.831,21.753,-45.38676,0.992,0.801,-19.25403,44.569,65.287,46.48523
Case_10-05,avg,otsu,17,41.79,25.028,-40.11007,0.993,0.886,-10.77543,49.507,67.022,35.37884
Case_10-06,avg,otsu,17,40.731,22.282,-45.29474,0.993,0.822,-17.22054,46.657,64.873,39.04237
Case_10-07,avg,otsu,17,40.561,22.375,-44.83617,0.993,0.826,-16.81772,45.585,66.525,45.93616
Case_10-08,avg,otsu,17,40.523,22.44,-44.62404,0.993,0.827,-16.71702,45.624,66.618,46.01526
Case_10-09,avg,otsu,17,40.008,22.704,-43.25135,0.993,0.83,-16.4149,44.324,66.956,51.06037
Case_10-10,avg,otsu,17,40.71,24.205,-40.54286,0.991,0.837,-15.53986,44.168,67.259,52.27993
Case_11-07,avg,otsu,17,40.937,23.881,-41.66402,0.989,0.829,-16.17796,48.022,56.724,18.12086
Case_11-09,avg,otsu,17,44.503,30.119,-32.32142,0.985,0.939,-4.67005,37.659,51.708,37.30582
Case_11-10,avg,otsu,17,42.576,27.322,-35.8277,0.986,0.9,-8.72211,36.004,55.686,54.66615
Case_11-11,avg,otsu,17,42.828,27.081,-36.768,0.987,0.897,-9.11854,36.227,55.142,52.21244
