filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-2.5159740625,-0.0978831875,6.36906675,1
5,-4.8317893125,-0.4990603125,12.387733375,1
7,-9.633865125,-1.682181125,12.143057,1
9,-15.1208035625,-3.2374201875,13.0291729375,1
11,-19.713814875,-4.7197185,13.712550125,1
13,-23.4195245625,-6.0073615,21.0952106875,1
15,-26.4035513125,-7.0871219375,28.78784775,1
17,-28.8353724375,-7.9840655,30.7953355625,1
19,-30.8547864375,-8.734319125,30.94947075,1
