sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe
0.1,3,0,-8.35491185749359e-15,-8.01357329461944e-16,5.32343297943242e-12
0.2,3,0,-8.35491185749359e-15,-8.01357329461944e-16,5.32343297943242e-12
0.3,3,0.00105000261524784,0.000647988105953383,-0.000989640328314017,-0.015876918337011
0.4,3,0.55109250128322,0.560729384496084,0.723685605272558,-13.5835150934726
0.5,3,1.35403711624145,1.35988454794391,0.84530399333995,-35.7101671943719
0.6,3,1.9543062735296,1.9399774391398,1.00838077141064,-50.5852890684628
0.7,3,2.36036441590349,2.33113269867085,0.615132298424275,-51.8288431631542
0.8,3,2.59654827807931,2.56144512140595,-1.26311166938547,-43.9346357274198
0.9,3,2.76204739128638,2.69453436373926,-2.63619010326083,-38.1215710505785
1,3,2.8398896959689,2.76005926119041,-3.87143422355728,-31.979098562287
1.1,3,2.93290874256496,2.85663517554436,-6.0380720975803,-34.6278838095355
1.2,3,2.96773410392903,2.88564972535262,-6.63052420762322,-32.6273977119298
1.3,3,2.99433480754687,2.90788291325634,-7.23771944453338,-30.8998260090095
1.4,3,3.01919616253408,2.93044295119117,-7.73698853927131,-29.6366850124325
1.5,3,3.03297684159525,2.94230106382218,-8.08213430507786,-28.7192268554361
1.6,3,3.04556202814074,2.95298961954377,-8.36935832100528,-27.925147082161
1.7,3,3.06077509110151,2.96500797456451,-8.70856141542517,-27.8785261835884
1.8,3,3.06736318268003,2.97015332546509,-8.85060081171484,-27.3178327889332
1.9,3,3.07392420488923,2.97547963354975,-8.96161563012616,-26.7734526750604
2,3,3.08136204947836,2.98197458289731,-8.99504619339939,-26.4748034360229
2.1,3,3.0846785121024,2.98459568139136,-9.05655110383436,-26.1460333307891
2.2,3,3.09177245992062,2.98938315476293,-9.19360227911576,-25.5988534199296
2.3,3,3.09370015147578,2.99075537323469,-9.22675189894393,-25.3644753563085
2.4,3,3.09701561264399,2.99363044177252,-9.24198891960294,-25.0397640746584
2.5,3,3.09872120691602,2.99472073915714,-9.26667631540508,-24.8260239864864
2.6,3,3.12444846184741,3.01917652877362,-10.4480714410313,-21.3783592482514
2.7,3,3.12606137642546,3.02035864322614,-10.4698211307277,-21.1871899366165
2.8,3,3.12970060733437,3.0227408620939,-10.5469699904317,-20.8908386349944
2.9,3,3.13129475879873,3.02399343692573,-10.5321782444998,-20.8138783474729
3,3,3.13267505922569,3.02503504844123,-10.5580538378181,-20.6404000166841
