sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-2.49638025,-0.3767538125,-2.4691708125
0.7,3,-0.964050125,0.086434125,4.5035396875
1.1,3,-0.7934416875,0.1434518125,6.4085041875
1.4,3,-0.794879125,0.146621125,6.763364
1.7,3,-0.8081465625,0.14533825,6.928445375
2,3,-0.8180109375,0.14531425,6.98526125
2.3,3,-0.8215745625,0.1453089375,7.0727591875
2.6,3,-0.825934875,0.1453089375,7.1144125
2.9,3,-0.82869725,0.1446518125,7.1163764375
0.4,5,-3.77002075,-0.5358080625,-2.97986
0.7,5,-1.558633125,0.07629125,4.0395611875
1.1,5,-0.63592025,0.277927875,8.2312209375
1.4,5,-0.7998213125,0.236798125,10.4978634375
1.7,5,-1.0533325625,0.1795490625,11.6904434375
2,5,-1.268933625,0.123596375,12.1758053125
2.3,5,-1.4307230625,0.08326925,12.302606
2.6,5,-1.54904075,0.05468125,12.5326966875
2.9,5,-1.639810125,0.0326428125,12.504583375
0.4,7,-3.78721025,-0.5364584375,-2.9865765
0.7,7,-1.4837610625,0.0879546875,3.9054215625
1.1,7,-0.03350225,0.35479825,7.8104780625
1.4,7,-0.3356265625,0.271116375,11.4361248125
1.7,7,-1.2101228125,0.07797325,14.135087125
2,7,-2.0904074375,-0.1221615,15.479837875
2.3,7,-2.805499,-0.2962526875,15.71709175
2.6,7,-3.35432775,-0.4313096875,15.4091970625
2.9,7,-3.772399375,-0.5377759375,14.8901323125
0.4,9,-3.7872288125,-0.5364584375,-2.9865884375
0.7,9,-1.48358475,0.0879546875,3.90557575
1.1,9,0.0151153125,0.361954125,7.79140325
1.4,9,-0.31437675,0.2703076875,11.510244625
1.7,9,-1.627839375,-0.00214099999999999,14.4092635
2,9,-3.2099226875,-0.3593985625,15.862007625
2.3,9,-4.62383875,-0.6957695625,15.637240375
2.6,9,-5.760667,-0.9943536875,14.738838
2.9,9,-6.6457061875,-1.2338571875,13.9398741875
0.4,11,-3.7872288125,-0.5364584375,-2.9865765
0.7,11,-1.48358475,0.0879546875,3.90557575
1.1,11,0.016433375,0.362601125,7.7911161875
1.4,11,-0.3148539375,0.2696476875,11.5183911875
1.7,11,-1.762632625,-0.0261925625,14.41660725
2,11,-3.7324258125,-0.4542303125,15.703819875
2.3,11,-5.683153375,-0.908041125,15.0634033125
2.6,11,-7.3611536875,-1.3409819375,14.03432325
2.9,11,-8.7203989375,-1.716655625,13.6115321875
0.4,13,-3.7872288125,-0.5364584375,-2.986387625
0.7,13,-1.48358475,0.0879546875,3.90557575
1.1,13,0.016417,0.362601125,7.7907678125
1.4,13,-0.3150891875,0.2696476875,11.5201574375
1.7,13,-1.7875463125,-0.030124375,14.4294539375
2,13,-3.8939905625,-0.476974125,15.660676
2.3,13,-6.1359513125,-0.9916776875,14.7939290625
2.6,13,-8.1987535,-1.5044355625,13.6977874375
2.9,13,-9.9549368125,-1.985843,13.631596625
0.4,15,-3.7872288125,-0.5364584375,-2.986387625
0.7,15,-1.48358475,0.0879546875,3.90557575
1.1,15,0.016417,0.362601125,7.7907095625
1.4,15,-0.3151430625,0.2696476875,11.519465
1.7,15,-1.7904183125,-0.0307666875,14.4324841875
2,15,-3.9302320625,-0.479577,15.65370225
2.3,15,-6.287343625,-1.0150981875,14.7248566875
2.6,15,-8.5618408125,-1.5757250625,13.5736804375
2.9,15,-10.591036625,-2.115525375,13.571212125
0.4,17,-3.7872288125,-0.5364584375,-2.986387625
0.7,17,-1.48358475,0.0879546875,3.90557575
1.1,17,0.016417,0.362601125,7.7907095625
1.4,17,-0.3151430625,0.2696476875,11.519722875
1.7,17,-1.790690375,-0.0307666875,14.432287375
2,17,-3.9363109375,-0.479577,15.6516461875
2.3,17,-6.32757025,-1.0196344375,14.712186875
2.6,17,-8.693098125,-1.5939140625,13.5535836875
2.9,17,-10.8758339375,-2.1641539375,13.5624008125
0.4,19,-3.78721025,-0.5364584375,-2.9865765
0.7,19,-1.48358475,0.0879546875,3.90557575
1.1,19,0.016417,0.362601125,7.7907095625
1.4,19,-0.3151430625,0.2696476875,11.519722875
1.7,19,-1.7907094375,-0.0307666875,14.431904875
2,19,-3.937003125,-0.479577,15.6525105625
2.3,19,-6.3360438125,-1.02092975,14.710867625
2.6,19,-8.7329964375,-1.5990815625,13.5433558125
2.9,19,-10.98680325,-2.183588375,13.56713025
