type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,multilevel_tresholding,3,40.12434,36.6221035625,-11.4723858125,0.99317,0.9875919375,-0.3497405625,48.57802,51.59819175,13.051537875
avg,multilevel_tresholding,5,40.12434,35.8208331875,-13.4398248125,0.99317,0.9795239375,-1.1649375,48.57802,56.5817170625,24.614070375
avg,multilevel_tresholding,7,40.12434,33.470055,-19.1677593125,0.99317,0.964318875,-2.70084075,48.57802,56.8543680625,25.501039125
avg,multilevel_tresholding,9,40.12434,31.16826725,-24.743559875,0.99317,0.94762825,-4.3865295,48.57802,57.4389365,26.7756816875
avg,multilevel_tresholding,11,40.12434,29.413799125,-28.9880006875,0.99317,0.9324949375,-5.914722875,48.57802,57.6539424375,27.1830586875
avg,multilevel_tresholding,13,40.12434,28.06083675,-32.25926225,0.99317,0.9196815625,-7.208457625,48.57802,61.0186500625,34.22815175
