name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_5-05,avg,fixed_multilevel_tresholding,9,30.629,31.351,2.35724,0.927,0.949,2.37325,51.942,55.112,6.10296
Case_5-07,avg,fixed_multilevel_tresholding,9,30.833,31.559,2.35462,0.905,0.932,2.98343,57.058,57.69,1.10764
Case_5-08,avg,fixed_multilevel_tresholding,9,30.476,31.299,2.70049,0.913,0.939,2.84775,52.033,55.177,6.04232
Case_6-01,avg,fixed_multilevel_tresholding,9,28.951,28.709,-0.8359,0.929,0.94,1.18407,47.875,53.165,11.04961
Case_6-02,avg,fixed_multilevel_tresholding,9,28.79,28.535,-0.88572,0.925,0.938,1.40541,47.492,55.243,16.32064
Case_6-03,avg,fixed_multilevel_tresholding,9,28.857,28.734,-0.42624,0.933,0.944,1.17899,47.87,55.691,16.338
Case_6-04,avg,fixed_multilevel_tresholding,9,29.591,29.677,0.29063,0.928,0.941,1.40086,54.976,55.684,1.28783
Case_6-05,avg,fixed_multilevel_tresholding,9,28.681,28.799,0.41142,0.935,0.95,1.60428,46.298,54.578,17.88414
Case_6-06,avg,fixed_multilevel_tresholding,9,29.075,29.49,1.42734,0.941,0.954,1.38151,46.161,54.913,18.95973
Case_6-07,avg,fixed_multilevel_tresholding,9,29.692,29.938,0.82851,0.932,0.945,1.39485,52.893,53.657,1.44443
Case_6-08,avg,fixed_multilevel_tresholding,9,28.817,28.873,0.19433,0.921,0.937,1.73724,45.842,53.566,16.84918
Case_6-10,avg,fixed_multilevel_tresholding,9,29.354,29.589,0.80057,0.929,0.946,1.82992,50.749,52.114,2.68971
Case_7-01,avg,fixed_multilevel_tresholding,9,33.076,33.235,0.48071,0.876,0.893,1.94064,55.293,48.643,-12.02684
Case_7-02,avg,fixed_multilevel_tresholding,9,32.912,33.111,0.60464,0.88,0.896,1.81818,56.66,49.132,-13.28627
Case_7-03,avg,fixed_multilevel_tresholding,9,32.607,32.56,-0.14414,0.876,0.892,1.82648,53.227,49.219,-7.53001
Case_7-04,avg,fixed_multilevel_tresholding,9,32.263,32.389,0.39054,0.847,0.862,1.77096,55.392,49.548,-10.55026
Case_7-05,avg,fixed_multilevel_tresholding,9,31.817,31.725,-0.28915,0.844,0.859,1.77725,53.421,48.89,-8.48168
Case_7-06,avg,fixed_multilevel_tresholding,9,31.825,31.564,-0.82011,0.853,0.864,1.28957,54.137,48.991,-9.50551
Case_7-07,avg,fixed_multilevel_tresholding,9,31.969,31.877,-0.28778,0.862,0.872,1.16009,52.948,48.162,-9.03906
Case_7-08,avg,fixed_multilevel_tresholding,9,31.797,31.848,0.16039,0.851,0.867,1.88014,53.759,54.405,1.20166
Case_7-09,avg,fixed_multilevel_tresholding,9,31.45,31.501,0.16216,0.872,0.887,1.72018,51.383,53.733,4.5735
Case_7-10,avg,fixed_multilevel_tresholding,9,32.033,32.284,0.78357,0.794,0.815,2.64484,55.417,53.569,-3.33472
Case_7-12,avg,fixed_multilevel_tresholding,9,31.294,31.173,-0.38666,0.845,0.859,1.6568,54.042,55.576,2.83853
Case_8-01,avg,fixed_multilevel_tresholding,9,30.468,29.552,-3.00643,0.865,0.869,0.46243,58.992,58.455,-0.91029
Case_8-02,avg,fixed_multilevel_tresholding,9,31.13,30.423,-2.27112,0.877,0.888,1.25428,48.867,58.375,19.45689
Case_8-03,avg,fixed_multilevel_tresholding,9,31.107,30.954,-0.49185,0.865,0.888,2.65896,55.881,57.799,3.43229
Case_8-04,avg,fixed_multilevel_tresholding,9,31.043,30.608,-1.40128,0.872,0.886,1.6055,56.009,59.398,6.05081
Case_9-01,avg,fixed_multilevel_tresholding,9,28.266,26.703,-5.52961,0.916,0.896,-2.18341,53.209,55.001,3.36785
Case_9-02,avg,fixed_multilevel_tresholding,9,28.948,27.335,-5.57206,0.887,0.872,-1.69109,58.069,57.602,-0.80422
Case_9-03,avg,fixed_multilevel_tresholding,9,28.269,25.84,-8.59245,0.857,0.789,-7.93466,50.409,57.416,13.9003
Case_9-04,avg,fixed_multilevel_tresholding,9,28.628,27.131,-5.22915,0.898,0.872,-2.89532,51.349,58.317,13.56988
Case_9-05,avg,fixed_multilevel_tresholding,9,28.204,25.843,-8.37115,0.883,0.821,-7.02152,51.334,57.693,12.3875
Case_9-07,avg,fixed_multilevel_tresholding,9,28.334,25.863,-8.72097,0.873,0.817,-6.41466,50.063,51.445,2.76052
Case_9-08,avg,fixed_multilevel_tresholding,9,28.486,26.268,-7.78628,0.887,0.843,-4.96054,50.158,52.16,3.99139
Case_9-10,avg,fixed_multilevel_tresholding,9,28.187,26.036,-7.63118,0.893,0.848,-5.03919,53.103,57.038,7.41013
