sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-1.545579625,-0.041867875,-0.8221415625
0.7,3,-4.328145375,-0.0099084375,6.809334875
1.1,3,-4.87634175,-0.03471725,8.6446970625
1.4,3,-4.998745875,-0.04682425,9.2078605625
1.7,3,-5.06348,-0.0544658125,9.44814575
2,3,-5.0965901875,-0.058918375,9.539401625
2.3,3,-5.1167251875,-0.0601951875,9.6726390625
2.6,3,-5.13194625,-0.0633815,9.7588270625
2.9,3,-5.145000125,-0.064014125,9.7653446875
0.4,5,-1.5457900625,-0.041867875,-0.8234160625
0.7,5,-4.23029675,-0.00358125,7.5307548125
1.1,5,-4.7555103125,-0.1106185625,12.649385875
1.4,5,-5.386390625,-0.263355625,14.6456715
1.7,5,-5.9380155625,-0.3918628125,15.8070455
2,5,-6.3542406875,-0.4802713125,16.3932525625
2.3,5,-6.6526899375,-0.5426476875,16.7469025625
2.6,5,-6.8618665625,-0.5897039375,16.9642346875
2.9,5,-7.0146685,-0.624054125,17.0978094375
0.4,7,-1.5457900625,-0.041867875,-0.8234160625
0.7,7,-4.227539125,-0.00358125,7.535745875
1.1,7,-4.7296608125,-0.137380875,13.2666990625
1.4,7,-5.9923664375,-0.426272125,16.2474355
1.7,7,-7.601741125,-0.765304625,17.9379136875
2,7,-8.9801144375,-1.0598375,18.4819791875
2.3,7,-10.0179419375,-1.295127,18.4626374375
2.6,7,-10.777983875,-1.4719101875,18.2998101875
2.9,7,-11.338147125,-1.606132875,18.120561375
0.4,9,-1.5457900625,-0.041867875,-0.8234160625
0.7,9,-4.2275555625,-0.00358125,7.53573475
1.1,9,-4.7298843125,-0.138657125,13.2985265625
1.4,9,-6.1873013125,-0.4695358125,16.465842875
1.7,9,-8.49359675,-0.9230775625,18.2709168125
2,9,-10.781191375,-1.404494125,18.4815523125
2.3,9,-12.628613625,-1.8286605,18.0295906875
2.6,9,-14.02159775,-2.1822255,17.6560198125
2.9,9,-15.0602836875,-2.463290625,17.4779905
0.4,11,-1.5457900625,-0.041867875,-0.8234160625
0.7,11,-4.2275555625,-0.00358125,7.53573475
1.1,11,-4.729714125,-0.138657125,13.29752575
1.4,11,-6.2157786875,-0.4720733125,16.4873150625
1.7,11,-8.74939875,-0.9612265,18.3124534375
2,11,-11.530610875,-1.5291206875,18.40569175
2.3,11,-13.975146375,-2.094401375,17.8546603125
2.6,11,-15.91832775,-2.5916551875,17.60280275
2.9,11,-17.40949,-3.0208394375,17.74920475
0.4,13,-1.5457900625,-0.041867875,-0.8234160625
0.7,13,-4.2275555625,-0.00358125,7.53573475
1.1,13,-4.7297325625,-0.138657125,13.297537625
1.4,13,-6.217466125,-0.4720733125,16.487812875
1.7,13,-8.794048875,-0.97075475,18.313841875
2,13,-11.754108125,-1.56537725,18.3909265
2.3,13,-14.5229865625,-2.186621,17.831029375
2.6,13,-16.851887875,-2.7823721875,17.711029125
2.9,13,-18.71681975,-3.32211075,18.1238884375
0.4,15,-1.5457900625,-0.041867875,-0.8234160625
0.7,15,-4.2275555625,-0.00358125,7.53573475
1.1,15,-4.7297325625,-0.138657125,13.297537625
1.4,15,-6.217565375,-0.4720733125,16.48760375
1.7,15,-8.7996349375,-0.97075475,18.315665875
2,15,-11.803045625,-1.571107625,18.391624875
2.3,15,-14.7012873125,-2.2145740625,17.8447853125
2.6,15,-17.2444604375,-2.8598991875,17.771310875
2.9,15,-19.367471875,-3.462572875,18.2731593125
0.4,17,-1.5457900625,-0.041867875,-0.8234160625
0.7,17,-4.2275555625,-0.00358125,7.53573475
1.1,17,-4.7297325625,-0.138657125,13.297537625
1.4,17,-6.217565375,-0.4720733125,16.48760375
1.7,17,-8.7998949375,-0.97075475,18.315407125
2,17,-11.8111285,-1.571107625,18.3949959375
2.3,17,-14.748054,-2.22474225,17.8498636875
2.6,17,-17.384416625,-2.8847,17.798443125
2.9,17,-19.6538085625,-3.51534975,18.3336696875
0.4,19,-1.5457900625,-0.041867875,-0.8234160625
0.7,19,-4.2275555625,-0.00358125,7.53573475
1.1,19,-4.7297325625,-0.138657125,13.297537625
1.4,19,-6.217565375,-0.4720733125,16.48760375
1.7,19,-8.7999114375,-0.97075475,18.3153906875
2,19,-11.812101375,-1.571107625,18.3962733125
2.3,19,-14.7578791875,-2.2253780625,17.85139125
2.6,19,-17.42679575,-2.8878796875,17.8133351875
2.9,19,-19.76448975,-3.535044625,18.358007875
