name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_13-07,avg,multilevel_tresholding,9,28.785,27.406,-4.79069,0.909,0.891,-1.9802,51.808,58.47,12.85902
Case_13-10,avg,multilevel_tresholding,9,28.906,27.367,-5.32415,0.898,0.877,-2.33853,52.083,58.396,12.12104
Case_13-11,avg,multilevel_tresholding,9,28.661,26.558,-7.3375,0.897,0.864,-3.67893,53.121,57.364,7.98742
Case_13-12,avg,multilevel_tresholding,9,29.065,26.995,-7.12197,0.905,0.874,-3.42541,51.186,50.824,-0.70722
Case_14-01,avg,multilevel_tresholding,9,29.383,28.852,-1.80717,0.864,0.862,-0.23148,49.834,59.035,18.4633
Case_14-02,avg,multilevel_tresholding,9,29.007,28.108,-3.09925,0.844,0.826,-2.1327,50.732,58.965,16.22842
Case_14-03,avg,multilevel_tresholding,9,29.364,28.27,-3.72565,0.877,0.862,-1.71038,48.867,58.011,18.71201
Case_14-04,avg,multilevel_tresholding,9,29.512,28.215,-4.39482,0.926,0.916,-1.07991,49.07,57.983,18.16385
Case_14-05,avg,multilevel_tresholding,9,29.249,28.141,-3.78816,0.881,0.868,-1.4756,48.184,56.938,18.16786
Case_14-06,avg,multilevel_tresholding,9,29.267,28.253,-3.46465,0.906,0.896,-1.10375,48.649,57.774,18.75681
Case_14-07,avg,multilevel_tresholding,9,29.392,28.034,-4.6203,0.89,0.866,-2.69663,49.401,58.033,17.47333
Case_14-08,avg,multilevel_tresholding,9,29.538,28.501,-3.51073,0.903,0.891,-1.3289,49.287,58.651,18.99892
Case_14-09,avg,multilevel_tresholding,9,29.314,28.263,-3.58532,0.881,0.863,-2.04313,48.843,59,20.7952
Case_14-11,avg,multilevel_tresholding,9,29.225,28.071,-3.94867,0.862,0.84,-2.5522,50.943,59.176,16.1612
Case_14-12,avg,multilevel_tresholding,9,29.202,28.214,-3.38333,0.849,0.831,-2.12014,49.63,58.098,17.06226
Case_15-02,avg,multilevel_tresholding,9,30.401,30.322,-0.25986,0.905,0.918,1.43646,53.742,53.711,-0.05768
Case_15-03,avg,multilevel_tresholding,9,29.559,28.796,-2.58128,0.89,0.894,0.44944,49.612,56.075,13.02709
Case_15-04,avg,multilevel_tresholding,9,30.192,30.38,0.62268,0.904,0.917,1.43805,57.317,55.568,-3.05145
Case_15-05,avg,multilevel_tresholding,9,30.304,30.709,1.33646,0.916,0.93,1.52838,54.932,56.074,2.07893
Case_15-06,avg,multilevel_tresholding,9,30.312,30.727,1.36909,0.92,0.932,1.30435,52.247,57.161,9.40532
Case_15-07,avg,multilevel_tresholding,9,30.416,31.092,2.22251,0.934,0.948,1.49893,51.534,56.845,10.30582
Case_15-08,avg,multilevel_tresholding,9,30.289,30.566,0.91452,0.926,0.938,1.2959,56.897,56.22,-1.18987
Case_15-09,avg,multilevel_tresholding,9,29.75,29.637,-0.37983,0.908,0.918,1.10132,49.715,55.889,12.41879
Case_15-10,avg,multilevel_tresholding,9,29.498,29.428,-0.2373,0.924,0.932,0.8658,52.859,54.752,3.58123
Case_15-11,avg,multilevel_tresholding,9,29.267,28.818,-1.53415,0.91,0.914,0.43956,50.096,56.754,13.29048
Case_15-12,avg,multilevel_tresholding,9,30.009,30.286,0.92306,0.919,0.933,1.52339,50.459,55.799,10.58285
Case_16-01,avg,multilevel_tresholding,9,30.588,30.238,-1.14424,0.897,0.907,1.11483,56.431,56.484,0.09392
Case_16-02,avg,multilevel_tresholding,9,30.247,30.429,0.60171,0.916,0.929,1.41921,57.879,58.288,0.70665
Case_16-03,avg,multilevel_tresholding,9,30.266,29.781,-1.60246,0.9,0.906,0.66667,60.616,58.372,-3.70199
Case_16-04,avg,multilevel_tresholding,9,30.716,30.597,-0.38742,0.9,0.914,1.55556,56.772,58.695,3.38723
Case_16-05,avg,multilevel_tresholding,9,30.812,30.439,-1.21057,0.908,0.918,1.10132,54.876,61.284,11.67724
Case_16-06,avg,multilevel_tresholding,9,29.297,28.936,-1.23221,0.923,0.928,0.54171,49.74,56.589,13.7696
Case_16-07,avg,multilevel_tresholding,9,30.152,30.065,-0.28854,0.911,0.923,1.31723,59.726,58.286,-2.41101
Case_16-08,avg,multilevel_tresholding,9,29.537,29.314,-0.75499,0.93,0.933,0.32258,51.232,57.88,12.97626
Case_16-09,avg,multilevel_tresholding,9,30.129,29.921,-0.69036,0.923,0.929,0.65005,52.895,55.445,4.82087
Case_16-10,avg,multilevel_tresholding,9,30.662,30.938,0.90014,0.916,0.927,1.20087,59.029,57.664,-2.31242
Case_16-11,avg,multilevel_tresholding,9,29.693,29.847,0.51864,0.935,0.942,0.74866,55.307,55.135,-0.31099
Case_16-12,avg,multilevel_tresholding,9,29.609,29.762,0.51673,0.932,0.939,0.75107,52.349,56.305,7.55697
Case_16-13,avg,multilevel_tresholding,9,29.505,29.294,-0.71513,0.924,0.929,0.54113,50.358,56.882,12.95524
Case_17-01,avg,multilevel_tresholding,9,29.18,28.403,-2.66278,0.935,0.934,-0.10695,50.485,57.048,12.9999
Case_17-02,avg,multilevel_tresholding,9,29.1,28.572,-1.81443,0.936,0.939,0.32051,50.523,56.502,11.83421
Case_17-03,avg,multilevel_tresholding,9,29.096,28.139,-3.28911,0.923,0.922,-0.10834,51.094,56.847,11.25964
Case_17-04,avg,multilevel_tresholding,9,28.886,27.968,-3.17801,0.935,0.932,-0.32086,50.688,56.205,10.88423
Case_17-05,avg,multilevel_tresholding,9,29.241,28.102,-3.89522,0.914,0.911,-0.32823,50.967,57.147,12.12549
Case_17-06,avg,multilevel_tresholding,9,28.632,27.415,-4.25049,0.929,0.921,-0.86114,52.38,55.932,6.78121
Case_17-07,avg,multilevel_tresholding,9,29.161,28.236,-3.17204,0.928,0.926,-0.21552,50.401,55.834,10.77955
Case_17-08,avg,multilevel_tresholding,9,29.359,28.742,-2.10157,0.94,0.943,0.31915,49.934,57.6,15.35226
Case_17-09,avg,multilevel_tresholding,9,29.219,28.459,-2.60105,0.931,0.932,0.10741,49.932,53.605,7.356
Case_17-10,avg,multilevel_tresholding,9,29.317,28.555,-2.59917,0.921,0.923,0.21716,48.595,56.878,17.04496
Case_17-11,avg,multilevel_tresholding,9,28.492,27.581,-3.19739,0.941,0.938,-0.31881,51.591,55.752,8.06536
Case_17-12,avg,multilevel_tresholding,9,28.952,28.085,-2.99461,0.926,0.926,0,50.375,55.984,11.13449
Case_2-01,avg,multilevel_tresholding,9,30.936,31.63,2.24334,0.936,0.951,1.60256,58.4,53.979,-7.57021
Case_2-02,avg,multilevel_tresholding,9,31.507,32.403,2.84381,0.94,0.959,2.02128,55.918,60.741,8.62513
Case_2-03,avg,multilevel_tresholding,9,30.484,31.183,2.29301,0.942,0.958,1.69851,56.534,54.755,-3.14678
Case_2-04,avg,multilevel_tresholding,9,30.476,31.384,2.97939,0.933,0.954,2.2508,54.051,54.578,0.97501
Case_2-05,avg,multilevel_tresholding,9,32.278,33.853,4.87948,0.937,0.959,2.34792,54.931,60.922,10.90641
Case_2-06,avg,multilevel_tresholding,9,31.527,32.646,3.54934,0.941,0.962,2.23167,56.055,60.89,8.62546
Case_2-07,avg,multilevel_tresholding,9,31.304,32.412,3.53948,0.942,0.962,2.12314,56.59,60.351,6.64605
Case_2-08,avg,multilevel_tresholding,9,30.536,31.509,3.1864,0.933,0.954,2.2508,54.574,54.997,0.77509
Case_3-01,avg,multilevel_tresholding,9,29.304,29.977,2.29661,0.935,0.951,1.71123,58.237,54.319,-6.72768
Case_3-02,avg,multilevel_tresholding,9,28.477,28.687,0.73744,0.935,0.945,1.06952,48.764,53.59,9.89665
Case_3-03,avg,multilevel_tresholding,9,28.53,28.651,0.42411,0.924,0.935,1.19048,48.277,51.87,7.44247
Case_3-04,avg,multilevel_tresholding,9,28.688,28.991,1.05619,0.936,0.946,1.06838,47.75,55.884,17.03455
Case_3-05,avg,multilevel_tresholding,9,28.468,28.692,0.78685,0.935,0.947,1.28342,51.192,52.063,1.70144
Case_3-06,avg,multilevel_tresholding,9,28.677,28.698,0.07323,0.927,0.935,0.863,49.182,57.036,15.96926
Case_3-07,avg,multilevel_tresholding,9,29.253,30.076,2.81339,0.953,0.964,1.15425,50.316,56.307,11.90675
Case_3-08,avg,multilevel_tresholding,9,28.945,29.02,0.25911,0.93,0.941,1.1828,48.78,56.16,15.12915
Case_3-09,avg,multilevel_tresholding,9,29.654,30.5,2.8529,0.934,0.95,1.71306,51.292,56.58,10.3096
Case_3-10,avg,multilevel_tresholding,9,29.209,29.647,1.49954,0.945,0.955,1.0582,50.638,57.252,13.06134
Case_4-01,avg,multilevel_tresholding,9,30.82,31.888,3.46528,0.941,0.962,2.23167,50.182,62.793,25.13052
Case_4-02,avg,multilevel_tresholding,9,29.903,31.024,3.74879,0.969,0.98,1.13519,54.512,59.496,9.14294
Case_4-03,avg,multilevel_tresholding,9,30.238,31.148,3.00946,0.962,0.973,1.14345,54.727,58.319,6.56349
Case_4-04,avg,multilevel_tresholding,9,29.852,30.887,3.4671,0.971,0.98,0.92688,53.385,59.278,11.03868
Case_4-05,avg,multilevel_tresholding,9,29.862,30.794,3.12102,0.966,0.976,1.0352,50.217,58.952,17.39451
Case_4-06,avg,multilevel_tresholding,9,29.885,30.873,3.30601,0.967,0.978,1.13754,52.979,57.793,9.08662
Case_4-07,avg,multilevel_tresholding,9,30.169,31.407,4.10355,0.965,0.977,1.24352,57.885,63.685,10.01987
Case_4-08,avg,multilevel_tresholding,9,30.821,32.504,5.46056,0.965,0.978,1.34715,54.082,63.897,18.14837
Case_4-09,avg,multilevel_tresholding,9,30.267,31.521,4.14313,0.97,0.98,1.03093,54.688,62.356,14.02136
Case_4-10,avg,multilevel_tresholding,9,29.75,30.616,2.91092,0.963,0.974,1.14226,54.452,59.667,9.57724
Case_5-01,avg,multilevel_tresholding,9,30.375,31.212,2.75556,0.925,0.946,2.27027,51.158,54.989,7.48856
Case_5-02,avg,multilevel_tresholding,9,30.513,31.359,2.77259,0.9,0.928,3.11111,56.432,55.766,-1.18018
Case_5-04,avg,multilevel_tresholding,9,30.824,31.649,2.67649,0.9,0.929,3.22222,57.4,60.31,5.06969
Case_5-05,avg,multilevel_tresholding,9,30.629,31.374,2.43234,0.927,0.949,2.37325,51.942,54.685,5.28089
Case_5-07,avg,multilevel_tresholding,9,30.833,31.585,2.43895,0.905,0.932,2.98343,57.058,58.191,1.9857
Case_5-08,avg,multilevel_tresholding,9,30.476,31.326,2.78908,0.913,0.939,2.84775,52.033,54.765,5.25051
Case_6-01,avg,multilevel_tresholding,9,28.951,28.712,-0.82553,0.929,0.94,1.18407,47.875,52.107,8.83969
Case_6-02,avg,multilevel_tresholding,9,28.79,28.532,-0.89614,0.925,0.938,1.40541,47.492,54.376,14.49507
Case_6-03,avg,multilevel_tresholding,9,28.857,28.733,-0.42971,0.933,0.944,1.17899,47.87,55.002,14.89868
Case_6-04,avg,multilevel_tresholding,9,29.591,29.68,0.30077,0.928,0.941,1.40086,54.976,56.06,1.97177
Case_6-05,avg,multilevel_tresholding,9,28.681,28.797,0.40445,0.935,0.95,1.60428,46.298,53.968,16.56659
Case_6-06,avg,multilevel_tresholding,9,29.075,29.49,1.42734,0.941,0.954,1.38151,46.161,54.062,17.11618
Case_6-07,avg,multilevel_tresholding,9,29.692,29.944,0.84871,0.932,0.945,1.39485,52.893,53.354,0.87157
Case_6-08,avg,multilevel_tresholding,9,28.817,28.871,0.18739,0.921,0.937,1.73724,45.842,52.6,14.74194
Case_6-10,avg,multilevel_tresholding,9,29.354,29.59,0.80398,0.929,0.946,1.82992,50.749,51.354,1.19214
Case_7-01,avg,multilevel_tresholding,9,33.076,33.283,0.62583,0.876,0.893,1.94064,55.293,48.631,-12.04854
Case_7-02,avg,multilevel_tresholding,9,32.912,33.156,0.74137,0.88,0.897,1.93182,56.66,49.131,-13.28803
Case_7-03,avg,multilevel_tresholding,9,32.607,32.575,-0.09814,0.876,0.892,1.82648,53.227,49.172,-7.61831
Case_7-04,avg,multilevel_tresholding,9,32.263,32.42,0.48663,0.847,0.862,1.77096,55.392,49.54,-10.5647
Case_7-05,avg,multilevel_tresholding,9,31.817,31.745,-0.22629,0.844,0.859,1.77725,53.421,48.898,-8.46671
Case_7-06,avg,multilevel_tresholding,9,31.825,31.588,-0.7447,0.853,0.864,1.28957,54.137,48.956,-9.57016
Case_7-07,avg,multilevel_tresholding,9,31.969,31.886,-0.25963,0.862,0.872,1.16009,52.948,48.173,-9.01828
Case_7-08,avg,multilevel_tresholding,9,31.797,31.884,0.27361,0.851,0.867,1.88014,53.759,54.556,1.48254
Case_7-09,avg,multilevel_tresholding,9,31.45,31.508,0.18442,0.872,0.887,1.72018,51.383,53.873,4.84596
Case_7-10,avg,multilevel_tresholding,9,32.033,32.313,0.8741,0.794,0.815,2.64484,55.417,53.571,-3.33111
Case_7-12,avg,multilevel_tresholding,9,31.294,31.178,-0.37068,0.845,0.859,1.6568,54.042,55.375,2.4666
Case_8-01,avg,multilevel_tresholding,9,30.468,29.586,-2.89484,0.865,0.869,0.46243,58.992,58.58,-0.6984
Case_8-02,avg,multilevel_tresholding,9,31.13,30.446,-2.19724,0.877,0.888,1.25428,48.867,58.034,18.75908
Case_8-03,avg,multilevel_tresholding,9,31.107,30.978,-0.4147,0.865,0.888,2.65896,55.881,58.2,4.14989
Case_8-04,avg,multilevel_tresholding,9,31.043,30.638,-1.30464,0.872,0.886,1.6055,56.009,59.819,6.80248
Case_9-01,avg,multilevel_tresholding,9,28.266,26.711,-5.50131,0.916,0.896,-2.18341,53.209,55.349,4.02188
Case_9-02,avg,multilevel_tresholding,9,28.948,27.353,-5.50988,0.887,0.872,-1.69109,58.069,57.994,-0.12916
Case_9-03,avg,multilevel_tresholding,9,28.269,25.852,-8.55,0.857,0.79,-7.81797,50.409,56.479,12.0415
Case_9-04,avg,multilevel_tresholding,9,28.628,27.147,-5.17326,0.898,0.872,-2.89532,51.349,57.355,11.69643
Case_9-05,avg,multilevel_tresholding,9,28.204,25.849,-8.34988,0.883,0.821,-7.02152,51.334,57.467,11.94725
Case_9-07,avg,multilevel_tresholding,9,28.334,25.868,-8.70332,0.873,0.817,-6.41466,50.063,50.508,0.88888
Case_9-08,avg,multilevel_tresholding,9,28.486,26.279,-7.74767,0.887,0.843,-4.96054,50.158,51.2,2.07744
Case_9-10,avg,multilevel_tresholding,9,28.187,26.04,-7.61699,0.893,0.848,-5.03919,53.103,56.432,6.26895
