name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-04,gauss,1,2,12,33.94747,33.21322,-2.1629,0.97893,0.98242,0.35651,0.99728,0.99401,-0.32789
Case_1-04,gauss,0,0.4,2,33.94747,33.71405,-0.68759,0.97893,0.97874,-0.01941,0.99728,0.99684,-0.04412
Case_1-04,gauss,0,0.7,4,33.94747,33.36838,-1.70584,0.97893,0.98049,0.15936,0.99728,0.9957,-0.15843
Case_1-04,gauss,0,1.1,6,33.94747,33.69994,-0.72916,0.97893,0.98269,0.38409,0.99728,0.99571,-0.15743
Case_1-04,gauss,0,1.4,8,33.94747,34.07821,0.38512,0.97893,0.98378,0.49544,0.99728,0.99593,-0.13537
Case_1-04,gauss,0,1.7,10,33.94747,33.88809,-0.17492,0.97893,0.98362,0.47909,0.99728,0.99537,-0.19152
Case_1-04,gauss,0,2,12,33.94747,33.21322,-2.1629,0.97893,0.98242,0.35651,0.99728,0.99401,-0.32789
Case_1-05,gauss,1,0.4,2,33.96857,33.71058,-0.7595,0.97769,0.9775,-0.01943,0.99717,0.99672,-0.04513
Case_1-05,gauss,1,0.7,4,33.96857,33.37713,-1.74114,0.97769,0.97942,0.17695,0.99717,0.99567,-0.15043
Case_1-05,gauss,1,1.1,6,33.96857,33.68526,-0.83404,0.97769,0.98144,0.38356,0.99717,0.99563,-0.15444
Case_1-05,gauss,1,1.4,8,33.96857,33.84039,-0.37735,0.97769,0.98193,0.43368,0.99717,0.99552,-0.16547
Case_1-05,gauss,1,1.7,10,33.96857,33.56746,-1.18083,0.97769,0.98122,0.36106,0.99717,0.99478,-0.23968
Case_1-05,gauss,1,2,12,33.96857,32.88371,-3.19372,0.97769,0.97951,0.18615,0.99717,0.99335,-0.38308
Case_1-05,gauss,0,0.4,2,33.96857,33.71058,-0.7595,0.97769,0.9775,-0.01943,0.99717,0.99672,-0.04513
Case_1-05,gauss,0,0.7,4,33.96857,33.37713,-1.74114,0.97769,0.97942,0.17695,0.99717,0.99567,-0.15043
Case_1-05,gauss,0,1.1,6,33.96857,33.68526,-0.83404,0.97769,0.98144,0.38356,0.99717,0.99563,-0.15444
Case_1-05,gauss,0,1.4,8,33.96857,33.84039,-0.37735,0.97769,0.98193,0.43368,0.99717,0.99552,-0.16547
Case_1-05,gauss,0,1.7,10,33.96857,33.56746,-1.18083,0.97769,0.98122,0.36106,0.99717,0.99478,-0.23968
Case_1-05,gauss,0,2,12,33.96857,32.88371,-3.19372,0.97769,0.97951,0.18615,0.99717,0.99335,-0.38308
Case_1-06,gauss,1,0.4,2,33.43442,32.89676,-1.6081,0.97686,0.97594,-0.09418,0.99698,0.99598,-0.1003
Case_1-06,gauss,1,0.7,4,33.43442,32.03661,-4.18075,0.97686,0.97661,-0.02559,0.99698,0.99369,-0.33
Case_1-06,gauss,1,1.1,6,33.43442,32.68681,-2.23605,0.97686,0.97973,0.2938,0.99698,0.99443,-0.25577
Case_1-06,gauss,1,1.4,8,33.43442,33.12976,-0.91122,0.97686,0.98071,0.39412,0.99698,0.99487,-0.21164
Case_1-06,gauss,1,1.7,10,33.43442,32.85742,-1.72577,0.97686,0.97983,0.30404,0.99698,0.99418,-0.28085
Case_1-06,gauss,1,2,12,33.43442,32.02326,-4.22068,0.97686,0.97748,0.06347,0.99698,0.99239,-0.46039
Case_1-06,gauss,0,0.4,2,33.43442,32.89676,-1.6081,0.97686,0.97594,-0.09418,0.99698,0.99598,-0.1003
Case_1-06,gauss,0,0.7,4,33.43442,32.03661,-4.18075,0.97686,0.97661,-0.02559,0.99698,0.99369,-0.33
Case_1-06,gauss,0,1.1,6,33.43442,32.68681,-2.23605,0.97686,0.97973,0.2938,0.99698,0.99443,-0.25577
Case_1-06,gauss,0,1.4,8,33.43442,33.12976,-0.91122,0.97686,0.98071,0.39412,0.99698,0.99487,-0.21164
Case_1-06,gauss,0,1.7,10,33.43442,32.85742,-1.72577,0.97686,0.97983,0.30404,0.99698,0.99418,-0.28085
Case_1-06,gauss,0,2,12,33.43442,32.02326,-4.22068,0.97686,0.97748,0.06347,0.99698,0.99239,-0.46039
Case_1-07,gauss,1,0.4,2,33.7408,33.3029,-1.29784,0.98074,0.98004,-0.07137,0.99621,0.99521,-0.10038
Case_1-07,gauss,1,0.7,4,33.7408,32.33231,-4.17444,0.98074,0.97995,-0.08055,0.99621,0.99216,-0.40654
Case_1-07,gauss,1,1.1,6,33.7408,32.99322,-2.21566,0.98074,0.98255,0.18455,0.99621,0.99306,-0.3162
Case_1-07,gauss,1,1.4,8,33.7408,33.52724,-0.63294,0.98074,0.98338,0.26918,0.99621,0.99375,-0.24694
Case_1-07,gauss,1,1.7,10,33.7408,33.3192,-1.24953,0.98074,0.98243,0.17232,0.99621,0.99293,-0.32925
Case_1-07,gauss,1,2,12,33.7408,32.54348,-3.54858,0.98074,0.98019,-0.05608,0.99621,0.99083,-0.54005
Case_1-07,gauss,0,0.4,2,33.7408,33.3029,-1.29784,0.98074,0.98004,-0.07137,0.99621,0.99521,-0.10038
Case_1-07,gauss,0,0.7,4,33.7408,32.33231,-4.17444,0.98074,0.97995,-0.08055,0.99621,0.99216,-0.40654
Case_1-07,gauss,0,1.1,6,33.7408,32.99322,-2.21566,0.98074,0.98255,0.18455,0.99621,0.99306,-0.3162
Case_1-07,gauss,0,1.4,8,33.7408,33.52724,-0.63294,0.98074,0.98338,0.26918,0.99621,0.99375,-0.24694
Case_1-07,gauss,0,1.7,10,33.7408,33.3192,-1.24953,0.98074,0.98243,0.17232,0.99621,0.99293,-0.32925
Case_1-07,gauss,0,2,12,33.7408,32.54348,-3.54858,0.98074,0.98019,-0.05608,0.99621,0.99083,-0.54005
Case_1-08,gauss,1,0.4,2,34.15219,33.77276,-1.111,0.97482,0.97433,-0.05027,0.99749,0.99689,-0.06015
Case_1-08,gauss,1,0.7,4,34.15219,32.8522,-3.80646,0.97482,0.97561,0.08104,0.99749,0.99497,-0.25263
Case_1-08,gauss,1,1.1,6,34.15219,33.35282,-2.34061,0.97482,0.97856,0.38366,0.99749,0.99535,-0.21454
Case_1-08,gauss,1,1.4,8,34.15219,33.80385,-1.01996,0.97482,0.97986,0.51702,0.99749,0.99567,-0.18246
Case_1-08,gauss,1,1.7,10,34.15219,33.7651,-1.13343,0.97482,0.97975,0.50573,0.99749,0.99535,-0.21454
Case_1-08,gauss,1,2,12,34.15219,33.2607,-2.61035,0.97482,0.9785,0.37751,0.99749,0.99437,-0.31279
Case_1-08,gauss,0,0.4,2,34.15219,33.77276,-1.111,0.97482,0.97433,-0.05027,0.99749,0.99689,-0.06015
Case_1-08,gauss,0,0.7,4,34.15219,32.8522,-3.80646,0.97482,0.97561,0.08104,0.99749,0.99497,-0.25263
Case_1-08,gauss,0,1.1,6,34.15219,33.35282,-2.34061,0.97482,0.97856,0.38366,0.99749,0.99535,-0.21454
Case_1-08,gauss,0,1.4,8,34.15219,33.80385,-1.01996,0.97482,0.97986,0.51702,0.99749,0.99567,-0.18246
Case_1-08,gauss,0,1.7,10,34.15219,33.7651,-1.13343,0.97482,0.97975,0.50573,0.99749,0.99535,-0.21454
Case_1-08,gauss,0,2,12,34.15219,33.2607,-2.61035,0.97482,0.9785,0.37751,0.99749,0.99437,-0.31279
Case_10-01,gauss,1,0.4,2,32.91349,32.69451,-0.66532,0.96404,0.96474,0.07261,0.99302,0.99208,-0.09466
Case_10-01,gauss,1,0.7,4,32.91349,32.47495,-1.3324,0.96404,0.96813,0.42426,0.99302,0.99015,-0.28902
Case_10-01,gauss,1,1.1,6,32.91349,32.48176,-1.31171,0.96404,0.96547,0.14833,0.99302,0.98928,-0.37663
Case_10-01,gauss,1,1.4,8,32.91349,31.66149,-3.80391,0.96404,0.95758,-0.6701,0.99302,0.98559,-0.74822
