name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-08,gauss,1,2,12,34.15219,33.4032,-2.1931,0.97482,0.97884,0.41238,0.99749,0.99453,-0.29674
Case_10-01,gauss,1,0.4,2,32.91349,24.48544,-25.60667,0.96404,0.90954,-5.65329,0.99302,0.92748,-6.60007
Case_10-01,gauss,1,0.7,4,32.91349,32.22842,-2.08143,0.96404,0.96407,0.00311,0.99302,0.98941,-0.36354
Case_10-01,gauss,1,1.1,6,32.91349,32.54868,-1.10839,0.96404,0.96461,0.05913,0.99302,0.98947,-0.3575
Case_10-01,gauss,1,1.4,8,32.91349,31.83979,-3.26219,0.96404,0.95866,-0.55807,0.99302,0.98613,-0.69384
Case_10-01,gauss,1,1.7,10,32.91349,30.68826,-6.76084,0.96404,0.94851,-1.61093,0.99302,0.98012,-1.29907
Case_10-01,gauss,1,2,12,32.91349,29.4738,-10.4507,0.96404,0.93581,-2.9283,0.99302,0.97198,-2.11879
Case_10-02,gauss,1,0.4,2,33.66156,23.18785,-31.11475,0.96895,0.89495,-7.63713,0.99416,0.90582,-8.88589
Case_10-02,gauss,1,0.7,4,33.66156,32.523,-3.38237,0.96895,0.96723,-0.17751,0.99416,0.98978,-0.44057
Case_10-02,gauss,1,1.1,6,33.66156,33.04692,-1.82594,0.96895,0.96891,-0.00413,0.99416,0.99081,-0.33697
Case_10-02,gauss,1,1.4,8,33.66156,32.53964,-3.33294,0.96895,0.96494,-0.41385,0.99416,0.98894,-0.52507
Case_10-02,gauss,1,1.7,10,33.66156,31.46412,-6.52804,0.96895,0.95705,-1.22813,0.99416,0.98472,-0.94955
Case_10-02,gauss,1,2,12,33.66156,30.21131,-10.24982,0.96895,0.94636,-2.33139,0.99416,0.97839,-1.58626
Case_10-03,gauss,1,0.4,2,32.56373,24.82539,-23.76368,0.96066,0.91188,-5.07776,0.99237,0.93072,-6.2124
Case_10-03,gauss,1,0.7,4,32.56373,31.99906,-1.73405,0.96066,0.96154,0.0916,0.99237,0.98867,-0.37284
Case_10-03,gauss,1,1.1,6,32.56373,32.28319,-0.86151,0.96066,0.96202,0.14157,0.99237,0.98843,-0.39703
Case_10-03,gauss,1,1.4,8,32.56373,31.53786,-3.15035,0.96066,0.95546,-0.54129,0.99237,0.98448,-0.79507
Case_10-03,gauss,1,1.7,10,32.56373,30.36702,-6.74588,0.96066,0.94444,-1.68842,0.99237,0.97758,-1.49037
Case_10-03,gauss,1,2,12,32.56373,29.15682,-10.46228,0.96066,0.93079,-3.10932,0.99237,0.96844,-2.4114
Case_10-04,gauss,1,0.4,2,32.98354,24.20868,-26.60375,0.96681,0.91195,-5.67433,0.99397,0.93183,-6.2517
Case_10-04,gauss,1,0.7,4,32.98354,32.06077,-2.79767,0.96681,0.96614,-0.0693,0.99397,0.98997,-0.40243
Case_10-04,gauss,1,1.1,6,32.98354,32.42333,-1.69845,0.96681,0.96673,-0.00827,0.99397,0.99031,-0.36822
