sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-7.2563985625,-0.395594,-4.4228905625
0.7,3,-6.83946175,-0.31414925,5.096788125
1.1,3,-7.3231535,-0.365913875,7.8562408125
1.4,3,-7.48966375,-0.3848616875,9.115532875
1.7,3,-7.5929869375,-0.3974880625,9.5537489375
2,3,-7.6453713125,-0.40507725,9.77046475
2.3,3,-7.683412125,-0.4088594375,10.011217375
2.6,3,-7.7176143125,-0.415175875,10.1897999375
2.9,3,-7.741617625,-0.41769725,10.1752811875
0.4,5,-9.365840125,-0.516054375,-4.77012525
0.7,5,-7.7661843125,-0.322308,3.85939475
1.1,5,-8.32464475,-0.43603875,10.2327875
1.4,5,-9.5316695,-0.61091975,15.097325875
1.7,5,-10.421170375,-0.7492121875,18.2511558125
2,5,-11.0154243125,-0.85084525,19.82022225
2.3,5,-11.4169598125,-0.917154125,20.6674964375
2.6,5,-11.697044875,-0.967661625,21.15028475
2.9,5,-11.898929625,-1.0049019375,21.41499275
0.4,7,-9.388639,-0.5160505,-4.79154125
0.7,7,-7.6445145625,-0.31663125,3.69872475
1.1,7,-7.8211835625,-0.418401875,9.713890875
1.4,7,-9.9235513125,-0.726538625,16.42459675
1.7,7,-12.0604060625,-1.0649565625,21.551290625
2,7,-13.672054375,-1.3610778125,24.05513375
2.3,7,-14.8102125625,-1.595305875,24.8029858125
2.6,7,-15.6167139375,-1.7745995,24.73679025
2.9,7,-16.2001309375,-1.9116020625,24.4084840625
0.4,9,-9.388639,-0.5160505,-4.79154125
0.7,9,-7.644186625,-0.31663125,3.6983610625
1.1,9,-7.7813993125,-0.416518875,9.67467975
1.4,9,-10.11377225,-0.74928325,16.4940530625
1.7,9,-13.0057773125,-1.2114575,21.87026075
2,9,-15.5093371875,-1.6900081875,24.318830125
2.3,9,-17.40987275,-2.118029375,24.437402125
2.6,9,-18.8035329375,-2.470926,23.8016016875
2.9,9,-19.82796225,-2.7512234375,23.2824281875
0.4,11,-9.388639,-0.5160505,-4.79154125
0.7,11,-7.644186625,-0.31663125,3.6983610625
1.1,11,-7.7804035625,-0.416518875,9.67400325
1.4,11,-10.14068825,-0.753707625,16.5040345
1.7,11,-13.270200125,-1.2480714375,21.8750424375
2,11,-16.26393475,-1.81626725,24.118609625
2.3,11,-18.735747125,-2.3831650625,23.82627025
2.6,11,-20.6507208125,-2.8793329375,23.1506441875
2.9,11,-22.1056349375,-3.3060553125,23.03630325
0.4,13,-9.388653875,-0.5160505,-4.79154125
0.7,13,-7.644186625,-0.31663125,3.6983610625
1.1,13,-7.78037425,-0.416518875,9.673944125
1.4,13,-10.1429055625,-0.753707625,16.5071266875
1.7,13,-13.3174820625,-1.2537475625,21.8850365625
2,13,-16.4889221875,-1.8547546875,24.063521375
2.3,13,-19.2756463125,-2.475308875,23.58374675
2.6,13,-21.56348125,-3.07688875,22.8915826875
2.9,13,-23.3789795,-3.619106125,23.0456229375
0.4,15,-9.388653875,-0.5160505,-4.79154125
0.7,15,-7.644186625,-0.31663125,3.6983610625
1.1,15,-7.78037425,-0.416518875,9.673944125
1.4,15,-10.1429824375,-0.753707625,16.506854
1.7,15,-13.3231779375,-1.2537475625,21.8870135
2,15,-16.5388888125,-1.862317125,24.05431425
2.3,15,-19.45281525,-2.50750175,23.526822125
2.6,15,-21.9492194375,-3.157691625,22.80530675
2.9,15,-24.0155130625,-3.7623730625,23.000305
0.4,17,-9.388653875,-0.5160505,-4.79154125
0.7,17,-7.644186625,-0.31663125,3.6983610625
1.1,17,-7.78037425,-0.416518875,9.673944125
1.4,17,-10.1429824375,-0.753707625,16.506887875
1.7,17,-13.3235575,-1.2537475625,21.885991875
2,17,-16.5471101875,-1.864205375,24.05424175
2.3,17,-19.4995015,-2.512554125,23.518094125
2.6,17,-22.087327125,-3.1785045625,22.7877520625
2.9,17,-24.296684125,-3.820434125,22.9935665625
0.4,19,-9.388608875,-0.5160505,-4.79154125
0.7,19,-7.644186625,-0.31663125,3.6983610625
1.1,19,-7.78037425,-0.416518875,9.673944125
1.4,19,-10.1429824375,-0.753707625,16.506887875
1.7,19,-13.323587375,-1.2537475625,21.88558975
2,19,-16.548214,-1.864205375,24.0549624375
2.3,19,-19.5093606875,-2.5144474375,23.5165114375
2.6,19,-22.1291045625,-3.18480825,22.782811375
2.9,19,-24.4054215,-3.8412671875,22.9981935
