sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque
0.4,3,-4.925366,-0.4084696875,-3.6666256875
0.7,3,-3.9137990625,-0.2025976875,3.429742
1.1,3,-4.0799198125,-0.22040275,5.447857125
1.4,3,-4.168072625,-0.233769375,6.14151375
1.7,3,-4.228913375,-0.2414019375,6.4294355
2,3,-4.260649875,-0.245222,6.530255
2.3,3,-4.2826963125,-0.248399875,6.6933326875
2.6,3,-4.3013030625,-0.249672875,6.7985005625
2.9,3,-4.3155895,-0.2522266875,6.8041758125
0.4,5,-6.6384426875,-0.5347949375,-4.008809625
0.7,5,-4.603114875,-0.200587875,2.4369354375
1.1,5,-4.397001375,-0.2065519375,6.8704311875
1.4,5,-5.1829205,-0.3357255625,10.1340010625
1.7,5,-5.8430895625,-0.45402325,12.1955408125
2,5,-6.309674875,-0.537347,13.2146499375
2.3,5,-6.63419,-0.5958879375,13.7464845625
2.6,5,-6.8645381875,-0.6372293125,14.028241625
2.9,5,-7.0325494375,-0.6747365,14.1733761875
0.4,7,-6.65798875,-0.5347930625,-4.0257260625
0.7,7,-4.502787625,-0.1955174375,2.2847004375
1.1,7,-3.834742,-0.177375875,6.293652375
1.4,7,-5.262985875,-0.4084093125,10.8723919375
1.7,7,-7.0218051875,-0.7054916875,14.6789705
2,7,-8.4529959375,-0.9720233125,16.632151875
2.3,7,-9.503582375,-1.1876094375,17.1392746875
2.6,7,-10.2643418125,-1.356788625,16.9361023125
2.9,7,-10.8225388125,-1.490987875,16.5153198125
0.4,9,-6.65798875,-0.5347930625,-4.0258015625
0.7,9,-4.5025161875,-0.1955174375,2.28496625
1.1,9,-3.7903180625,-0.1748409375,6.257616125
1.4,9,-5.38306975,-0.429436375,10.876837
1.7,9,-7.8315705625,-0.8365553125,14.9023009375
2,9,-10.146226375,-1.283670875,16.875887375
2.3,9,-11.982333,-1.6779855,16.7490200625
2.6,9,-13.3615180625,-2.0162678125,15.9271475625
2.9,9,-14.39028725,-2.2821045625,15.2806276875
0.4,11,-6.65798875,-0.5347930625,-4.0257260625
0.7,11,-4.5025161875,-0.1955174375,2.28496625
1.1,11,-3.7892156875,-0.1748409375,6.25690875
1.4,11,-5.401653625,-0.4307085625,10.88323025
1.7,11,-8.0652668125,-0.86582975,14.8987995625
2,11,-10.863891875,-1.39496175,16.6611030625
2.3,11,-13.2893951875,-1.9278806875,16.0730796875
2.6,11,-15.21966625,-2.4111548125,15.2113271875
2.9,11,-16.7090853125,-2.8269641875,14.97455225
0.4,13,-6.65801975,-0.5347930625,-4.0258015625
0.7,13,-4.5025161875,-0.1955174375,2.28496625
1.1,13,-3.7891836875,-0.1748409375,6.256986
1.4,13,-5.4032250625,-0.4300746875,10.8843281875
1.7,13,-8.10736225,-0.869654375,14.912756375
2,13,-11.080461625,-1.4318390625,16.60635875
2.3,13,-13.829357625,-2.0194255,15.8222149375
2.6,13,-16.1519651875,-2.5993120625,14.918555125
2.9,13,-18.0261426875,-3.12257725,15.01561375
0.4,15,-6.6580356875,-0.5347930625,-4.0258015625
0.7,15,-4.5025161875,-0.1955174375,2.28496625
1.1,15,-3.7891836875,-0.1748409375,6.256986
1.4,15,-5.4033241875,-0.4300746875,10.884520625
1.7,15,-8.112481625,-0.8702863125,14.91709475
2,15,-11.128809875,-1.4350085,16.594174625
2.3,15,-14.0075344375,-2.046765875,15.763908125
2.6,15,-16.54873,-2.6743348125,14.8243330625
2.9,15,-18.6896501875,-3.267465875,14.985511625
0.4,17,-6.6580356875,-0.5347930625,-4.0258015625
0.7,17,-4.5025161875,-0.1955174375,2.28496625
1.1,17,-3.7891836875,-0.1748409375,6.256986
1.4,17,-5.4033241875,-0.4300746875,10.8849306875
1.7,17,-8.11288325,-0.8702863125,14.9167443125
2,17,-11.1367385,-1.435643625,16.595352625
2.3,17,-14.05458375,-2.056932625,15.752459375
2.6,17,-16.691199875,-2.6978314375,14.8122016875
2.9,17,-18.98372925,-3.323405125,14.968899
0.4,19,-6.6580043125,-0.5347930625,-4.0257260625
0.7,19,-4.5025161875,-0.1955174375,2.28496625
1.1,19,-3.7891836875,-0.1748409375,6.256986
1.4,19,-5.4033241875,-0.4300746875,10.8849306875
1.7,19,-8.11288325,-0.8702863125,14.9164415
2,19,-11.1378073125,-1.435643625,16.595728875
2.3,19,-14.0646711875,-2.059474625,15.751095875
2.6,19,-16.7343663125,-2.7054476875,14.808889625
2.9,19,-19.0977313125,-3.3462638125,14.978204875
