name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,fixed_multilevel_tresholding,13,33.476,25.837,-22.81933,0.972,0.935,-3.80658,52.435,55.082,5.04815
Case_1-02,avg,fixed_multilevel_tresholding,13,33.482,25.328,-24.35338,0.972,0.933,-4.01235,52.75,55.62,5.44076
Case_1-03,avg,fixed_multilevel_tresholding,13,33.98,27.59,-18.80518,0.977,0.957,-2.04708,49.548,61.876,24.88092
Case_1-04,avg,fixed_multilevel_tresholding,13,33.947,27.372,-19.36843,0.979,0.959,-2.0429,52.916,61.897,16.97218
Case_1-05,avg,fixed_multilevel_tresholding,13,33.969,27.362,-19.45009,0.978,0.954,-2.45399,49.426,62.538,26.52855
Case_1-06,avg,fixed_multilevel_tresholding,13,33.434,25.615,-23.38637,0.977,0.94,-3.7871,53.791,53.333,-0.85144
Case_1-07,avg,fixed_multilevel_tresholding,13,33.741,26.578,-21.22936,0.981,0.95,-3.16004,52.955,58.064,9.64781
Case_1-08,avg,fixed_multilevel_tresholding,13,34.152,27.649,-19.04134,0.975,0.953,-2.25641,49.907,60.832,21.89072
Case_10-01,avg,fixed_multilevel_tresholding,13,32.913,23.74,-27.87045,0.964,0.829,-14.00415,41.999,57.736,37.46994
Case_10-02,avg,fixed_multilevel_tresholding,13,33.662,23.845,-29.16345,0.969,0.841,-13.20949,44.972,55.028,22.36058
Case_10-03,avg,fixed_multilevel_tresholding,13,32.564,23.552,-27.67473,0.961,0.82,-14.67222,41.347,58.057,40.41406
Case_10-04,avg,fixed_multilevel_tresholding,13,32.984,23.211,-29.62952,0.967,0.829,-14.27094,42.219,55.632,31.77006
Case_10-05,avg,fixed_multilevel_tresholding,13,34.767,26.662,-23.31234,0.972,0.904,-6.99588,50.273,62.182,23.68866
Case_10-06,avg,fixed_multilevel_tresholding,13,33.637,23.962,-28.76297,0.97,0.853,-12.06186,45.244,53.586,18.4378
Case_10-07,avg,fixed_multilevel_tresholding,13,33.555,23.876,-28.84518,0.971,0.852,-12.25541,43.705,57.11,30.67155
Case_10-08,avg,fixed_multilevel_tresholding,13,33.535,23.947,-28.59102,0.971,0.854,-12.04943,43.72,57.201,30.83486
Case_10-09,avg,fixed_multilevel_tresholding,13,33.125,24.091,-27.27245,0.969,0.853,-11.9711,44.105,58.624,32.91917
Case_10-10,avg,fixed_multilevel_tresholding,13,33.951,25.49,-24.92121,0.965,0.855,-11.39896,42.055,62.032,47.50208
Case_11-07,avg,fixed_multilevel_tresholding,13,34.089,25.236,-25.97025,0.963,0.852,-11.52648,54.242,57.09,5.25054
Case_11-09,avg,fixed_multilevel_tresholding,13,38.547,31.65,-17.89244,0.965,0.94,-2.59067,48.089,50.626,5.27563
Case_11-10,avg,fixed_multilevel_tresholding,13,36.241,28.638,-20.979,0.964,0.908,-5.80913,39.272,56.26,43.25728
Case_11-11,avg,fixed_multilevel_tresholding,13,36.246,28.479,-21.42857,0.965,0.907,-6.01036,39.729,55.886,40.66803
Case_11-12,avg,fixed_multilevel_tresholding,13,35.801,28.081,-21.56364,0.962,0.899,-6.54886,45.986,54.675,18.89488
Case_11-13,avg,fixed_multilevel_tresholding,13,37.679,30.115,-20.07484,0.966,0.924,-4.34783,45.616,54.822,20.18152
