sigma,filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,mean_delta_niqe,quality_column
0.4,3,-0.631121417275634,-0.00404491319149054,-2.97986219039149,0.195019945985923,90
0.7,3,-0.495109357072003,0.0602900643621626,6.54049443358958,26.3146269508313,90
1.1,3,-1.59502639425179,-0.00340994802034556,9.52207336949102,34.6936618467071,90
1.4,3,-1.93318650497531,-0.0260620462901048,10.7272791500044,37.1558810775213,90
1.7,3,-2.12600918633475,-0.0396512762665813,11.1656550394868,38.0335144251523,90
2.3,3,-2.29309016234756,-0.0517815717898152,11.6437438856076,38.6160539071607,90
2.6,3,-2.35546191421305,-0.0563195439890231,11.8454817403237,38.9661201120648,90
2.9,3,-2.39913212431508,-0.0595458644587423,11.8231970718353,39.436237419314,90
2,3,-2.22047860720502,-0.046455882701318,11.3794555659161,38.4209807225482,90
0.4,5,-0.868233957993738,-0.00875335660676289,-3.04612946507842,0.138980690462737,90
0.7,5,-0.759432999324435,0.0489039708087669,7.62971711971566,29.9542791021509,90
1.1,5,-4.82163054916609,-0.24434328554949,16.2172248079319,58.5227261091824,90
1.4,5,-7.24538625813617,-0.486578392135594,20.0621861783111,73.738380691519,90
1.7,5,-8.7138901617791,-0.663263634458392,22.1583669553606,82.8551242809465,90
2.3,5,-10.1927801442322,-0.867639949763797,23.7066993263671,92.3507982998284,90
2.6,5,-10.5857545516663,-0.926853196577814,24.0577889642725,94.9425853953702,90
2.9,5,-10.8631338438762,-0.969940228086648,24.2547909983234,96.6850039674157,90
2,5,-9.61303049662888,-0.784131991042377,23.1456464494999,88.6957714019254,90
0.4,7,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,7,-0.749483183102734,0.0490099271298226,7.63568883896967,30.0470452654464,90
1.1,7,-5.53101386978378,-0.304125584648333,17.2244217148517,62.8705901211129,90
1.4,7,-9.56860151884184,-0.743131364046797,22.746750210961,88.1580455405833,90
1.7,7,-12.5188829436129,-1.17432298683056,25.4687980570955,108.619593470374,90
2.3,7,-15.7792017822632,-1.79396990218831,26.4837750100274,134.306528675433,90
2.6,7,-16.672136214691,-1.99511234074305,26.4618225602864,141.494669550522,90
2.9,7,-17.3053735082544,-2.14694012525586,26.4223292322297,146.394962269476,90
2,7,-14.4768516359579,-1.52600408767893,26.3189513456418,123.811770366854,90
0.4,9,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,9,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,9,-5.58530602258268,-0.308166403288193,17.2737360313635,63.0818021360889,90
1.4,9,-10.0879918123356,-0.798666107805061,23.1274704621306,90.6392946950926,90
1.7,9,-13.9102173395995,-1.37348680660596,26.0288597448338,116.991724871956,90
2.3,9,-18.7701176358308,-2.396468545245,26.5022714887947,157.839901853762,90
2.6,9,-20.2011169432749,-2.77682303059566,26.4600280632311,170.79323226737,90
2.9,9,-21.2338857137565,-3.07766712225042,26.5460868339667,179.502968365402,90
2,9,-16.7525402099471,-1.92531766731419,26.6100439309531,140.165167387241,90
0.4,11,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,11,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,11,-5.58688722112611,-0.308267611380106,17.2738751720677,63.0870209174047,90
1.4,11,-10.1512721318479,-0.804659341213838,23.1592829278568,90.8224220438947,90
1.7,11,-14.2599024550629,-1.41985683390872,26.1078402403244,118.606517692491,90
2.3,11,-20.158678041855,-2.68197664394878,26.573028680618,167.382164524373,90
2.6,11,-22.0730871155193,-3.21565176297833,26.6711333649843,185.16226527808,90
2.9,11,-23.501172327985,-3.6615126073841,26.9235516215079,198.422757050451,90
2,11,-17.5984170212802,-2.07005924944207,26.6437481864138,145.124296226712,90
0.4,13,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,13,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,13,-5.58690679667863,-0.308268850464027,17.2736571002906,63.0831036772328,90
1.4,13,-10.1555934285144,-0.805023049601062,23.1600227561597,90.840992814239,90
1.7,13,-14.3194442747979,-1.42689910860847,26.1227325749429,118.768426628305,90
2.3,13,-20.7029917383074,-2.78696650867096,26.6500075715366,170.537024226862,90
2.6,13,-22.9649131788258,-3.41726031148179,26.8569142244136,190.89852318971,90
2.9,13,-24.7253894743878,-3.97296550932457,27.1078828381868,207.058950088812,90
2,13,-17.8409330916239,-2.10786951561523,26.6591950805787,146.060026553455,90
0.4,15,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,15,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,15,-5.58690689029233,-0.308268853237742,17.2736571047159,63.0831160606381,90
1.4,15,-10.1557642632065,-0.805036252442329,23.160423058845,90.8341126569501,90
1.7,15,-14.3263163605069,-1.42763489169205,26.1250547275832,118.755366364294,90
2.3,15,-20.8780029140075,-2.81771126340278,26.6756819118282,171.144476271872,90
2.6,15,-23.3346530768719,-3.49462853046297,26.9321812024533,192.980227974599,90
2.9,15,-25.326506537467,-4.1169526994662,27.1907617169536,210.741029195749,90
2,15,-17.8934682669438,-2.11526633720619,26.6644403741681,146.268199885142,90
0.4,17,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,17,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,17,-5.58690689029233,-0.308268853237742,17.2736571047159,63.0831160606381,90
1.4,17,-10.1557682751498,-0.805036547400196,23.1602736162923,90.8335845141233,90
1.7,17,-14.3268611404514,-1.42768862831228,26.1246626320953,118.759188535453,90
2.3,17,-20.9235956910402,-2.82502399221373,26.6806275378745,171.314375053549,90
2.6,17,-23.4655749205579,-3.51972028002091,26.964145064176,193.258743141716,90
2.9,17,-25.5894050304387,-4.17514417924388,27.2307064992615,211.677516170655,90
2,17,-17.9020987518623,-2.11637924006864,26.6649811052191,146.290710690997,90
0.4,19,-0.868060929538593,-0.00874727126291564,-3.04700075426061,0.139146307584547,90
0.7,19,-0.749472159704204,0.0490101078226796,7.63529033658558,30.0482348361159,90
1.1,19,-5.58690689029233,-0.308268853237742,17.2736571047159,63.0831160606381,90
1.4,19,-10.1557683549401,-0.805036557534839,23.1602736283683,90.8335409216446,90
1.7,19,-14.3268926780044,-1.42769158479116,26.1247407281386,118.758930846406,90
2.3,19,-20.9332288557664,-2.82645103199768,26.6845396192098,171.328837972096,90
2.6,19,-23.5049338171312,-3.5266838357514,26.9678275407422,193.251712344918,90
2.9,19,-25.6906498812498,-4.19590071304401,27.2523887073659,212.03514702574,90
2,19,-17.9031824069944,-2.11651064455836,26.6661690226816,146.281524402222,90
