type,method,filter_size,jpg_PSNR,PSNR,deltaPSNR,jpg_SSIM,SSIM,deltaSSIM,jpg_brisque,brisque,deltaBrisque
avg,multilevel_tresholding,3,28.50617,30.295533875,1.9537549375,0.92862,0.928612875,1.5598918125,44.20611,50.8685600625,-1.5157995625
avg,multilevel_tresholding,5,28.50617,30.7104880625,3.345036625,0.92862,0.93212375,1.9422959375,44.20611,53.273206875,3.336467875
avg,multilevel_tresholding,7,28.50617,30.27409625,1.836661875,0.92862,0.9258648125,1.2462213125,44.20611,55.377826125,7.30906175
avg,multilevel_tresholding,9,28.50617,29.3090723125,-1.4485118125,0.92862,0.9148394375,0.0260545625,44.20611,56.0055895,8.3846335625
avg,multilevel_tresholding,11,28.50617,28.2661638125,-4.984473125,0.92862,0.903359625,-1.2418728125,44.20611,56.385212875,8.976917
avg,multilevel_tresholding,13,28.50617,27.3016431875,-8.2467014375,0.92862,0.8933058125,-2.350059625,44.20611,60.596985875,17.2838528125
