filter_size,mean_delta_PSNR,mean_delta_SSIM,mean_delta_brisque,name
3,-3.8822611875,-0.03581084375,8.55093828125,1
5,-7.7700783125,-0.794171875,17.2956480625,1
7,-13.81292578125,-2.2601648125,17.5060980625,1
9,-19.5157075625,-3.908187,18.77995421875,1
11,-23.97213053125,-5.4121595625,19.24274046875,1
13,-27.45286921875,-6.69616215625,26.0094905625,1
15,-30.22382115625,-7.7657359375,31.8207525,1
17,-32.47860228125,-8.64799984375,32.58271696875,1
19,-34.35271228125,-9.38562453125,31.69554025,1
