name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,gauss,multilevel_tresholding,0.4,2,33.47596,33.10344,-1.1128,0.97234,0.97195,-0.04011,0.99732,0.99668,-0.06417,6.47817,6.26248,-3.32949,0.992820024490356,0.992900013923645,0.00805999990552664
Case_1-01,gauss,multilevel_tresholding,0.7,4,33.47596,32.56968,-2.70726,0.97234,0.97422,0.19335,0.99732,0.99528,-0.20455,6.47817,5.65745,-12.66901,0.992820024490356,0.99330997467041,0.0493500009179115
Case_1-01,gauss,multilevel_tresholding,1.1,6,33.47596,33.09886,-1.12648,0.97234,0.97707,0.48646,0.99732,0.99558,-0.17447,6.47817,7.14429,10.28253,0.992820024490356,0.991370022296906,-0.146050006151199
Case_1-01,gauss,multilevel_tresholding,1.4,8,33.47596,33.27181,-0.60984,0.97234,0.9775,0.53068,0.99732,0.99547,-0.1855,6.47817,9.84513,51.97394,0.992820024490356,0.987659990787506,-0.519739985466003
Case_1-01,gauss,multilevel_tresholding,1.7,10,33.47596,32.8315,-1.92514,0.97234,0.97615,0.39184,0.99732,0.99449,-0.28376,6.47817,13.93599,115.12233,0.992820024490356,0.981750011444092,-1.11501002311707
Case_1-01,gauss,multilevel_tresholding,2,12,33.47596,31.9131,-4.6686,0.97234,0.97333,0.10182,0.99732,0.99259,-0.47427,6.47817,19.14826,195.58131,0.992820024490356,0.973749995231628,-1.92078995704651
Case_1-02,gauss,multilevel_tresholding,0.4,2,33.48185,32.96608,-1.54045,0.97174,0.97101,-0.07512,0.99767,0.99686,-0.08119,6.01552,5.89979,-1.92386,0.994080007076263,0.994059979915619,-0.00200999993830919
Case_1-02,gauss,multilevel_tresholding,0.7,4,33.48185,32.12922,-4.03989,0.97174,0.97271,0.09982,0.99767,0.99497,-0.27063,6.01552,5.44684,-9.45355,0.994080007076263,0.994300007820129,0.022129999473691
Case_1-02,gauss,multilevel_tresholding,1.1,6,33.48185,32.81926,-1.97895,0.97174,0.97638,0.47749,0.99767,0.9956,-0.20748,6.01552,6.72075,11.72351,0.994080007076263,0.993070006370544,-0.101599998772144
Case_1-02,gauss,multilevel_tresholding,1.4,8,33.48185,33.26386,-0.65107,0.97174,0.97773,0.61642,0.99767,0.99594,-0.1734,6.01552,9.2061,53.03914,0.994080007076263,0.990279972553253,-0.382270008325577
