name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-08,avg,otsu,2,34.15219,17.26872,-49.43598,0.97482,0.77709,-20.28374,49.90692,46.15276,-7.52232
Case_1-08,avg,otsu,4,34.15219,28.11511,-17.67699,0.97482,0.95951,-1.57055,49.90692,50.93137,2.05272
Case_1-08,avg,otsu,6,34.15219,31.84111,-6.767,0.97482,0.9745,-0.03283,49.90692,52.68643,5.56939
Case_1-08,avg,otsu,8,34.15219,31.03672,-9.12231,0.97482,0.97155,-0.33545,49.90692,52.96733,6.13224
Case_1-08,avg,otsu,10,34.15219,29.70357,-13.02587,0.97482,0.96537,-0.96941,49.90692,50.21247,0.61224
Case_1-08,avg,otsu,12,34.15219,28.33512,-17.03279,0.97482,0.95789,-1.73673,49.90692,53.12119,6.44053
Case_10-01,avg,otsu,2,32.91349,17.26172,-47.55427,0.96404,0.71594,-25.73545,41.99872,41.44718,-1.31323
Case_10-01,avg,otsu,4,32.91349,29.02361,-11.8185,0.96404,0.94295,-2.18767,41.99872,50.41361,20.03606
Case_10-01,avg,otsu,6,32.91349,28.8341,-12.39428,0.96404,0.9301,-3.5206,41.99872,53.53081,27.45819
Case_10-01,avg,otsu,8,32.91349,27.00809,-17.94219,0.96404,0.89854,-6.79432,41.99872,54.38719,29.49726
Case_10-01,avg,otsu,10,32.91349,25.43536,-22.72056,0.96404,0.86694,-10.0722,41.99872,54.2333,29.13084
Case_10-01,avg,otsu,12,32.91349,24.24365,-26.3413,0.96404,0.84138,-12.72354,41.99872,53.17536,26.61186
Case_10-02,avg,otsu,2,33.66156,16.67298,-50.46878,0.96895,0.7017,-27.5814,44.9721,39.98439,-11.09068
Case_10-02,avg,otsu,4,33.66156,28.73427,-14.63774,0.96895,0.94573,-2.39641,44.9721,46.07827,2.45968
Case_10-02,avg,otsu,6,33.66156,29.42591,-12.58305,0.96895,0.94087,-2.89798,44.9721,45.83706,1.92333
