name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-04,avg,fixed_multilevel_tresholding,13,33.94747,27.37212,-19.36919,0.97893,0.95876,-2.06041,0.99728,0.97058,-2.67728,5.43004,45.60675,739.89713,0.992190003395081,0.889980018138885,-10.3014497756958
Case_1-05,avg,fixed_multilevel_tresholding,3,33.96857,22.77414,-32.95526,0.97769,0.91156,-6.7639,0.99717,0.93965,-5.76832,5.98537,5.59511,-6.52023,0.99124002456665,0.955609977245331,-3.59449005126953
Case_1-05,avg,fixed_multilevel_tresholding,5,33.96857,32.68339,-3.78344,0.97769,0.97882,0.11558,0.99717,0.99365,-0.353,5.98537,9.33009,55.88159,0.99124002456665,0.984709978103638,-0.658779978752136
Case_1-05,avg,fixed_multilevel_tresholding,7,33.96857,32.25857,-5.03407,0.97769,0.97671,-0.10024,0.99717,0.99187,-0.5315,5.98537,16.85754,181.64575,0.99124002456665,0.969169974327087,-2.2265100479126
Case_1-05,avg,fixed_multilevel_tresholding,9,33.96857,30.40993,-10.47627,0.97769,0.96985,-0.80189,0.99717,0.98643,-1.07705,5.98537,26.82227,348.13052,0.99124002456665,0.945299983024597,-4.6346001625061
Case_1-05,avg,fixed_multilevel_tresholding,11,33.96857,28.75848,-15.33797,0.97769,0.96213,-1.59151,0.99717,0.97949,-1.77302,5.98537,36.82323,515.22061,0.99124002456665,0.916239976882935,-7.5662899017334
Case_1-05,avg,fixed_multilevel_tresholding,13,33.96857,27.36245,-19.44774,0.97769,0.95435,-2.38726,0.99717,0.97129,-2.59534,5.98537,45.71909,663.84735,0.99124002456665,0.883800029754639,-10.8389501571655
Case_1-06,avg,fixed_multilevel_tresholding,3,33.43442,22.59766,-32.41199,0.97686,0.90876,-6.97132,0.99698,0.93828,-5.88778,6.54726,6.80725,3.97097,0.993139982223511,0.962930023670197,-3.04186010360718
Case_1-06,avg,fixed_multilevel_tresholding,5,33.43442,32.20896,-3.66526,0.97686,0.97764,0.07985,0.99698,0.99314,-0.38516,6.54726,11.54534,76.3385,0.993139982223511,0.987039983272552,-0.61421000957489
Case_1-06,avg,fixed_multilevel_tresholding,7,33.43442,31.41359,-6.04416,0.97686,0.97428,-0.26411,0.99698,0.99068,-0.63191,6.54726,21.2479,224.53118,0.993139982223511,0.972519993782043,-2.07624006271362
Case_1-06,avg,fixed_multilevel_tresholding,9,33.43442,29.22111,-12.60171,0.97686,0.96472,-1.24276,0.99698,0.9833,-1.37214,6.54726,34.53312,427.44385,0.993139982223511,0.947780013084412,-4.56732988357544
Case_1-06,avg,fixed_multilevel_tresholding,11,33.43442,27.24881,-18.50072,0.97686,0.9529,-2.45276,0.99698,0.97277,-2.42833,6.54726,47.46536,624.96525,0.993139982223511,0.914160013198853,-7.95254993438721
Case_1-06,avg,fixed_multilevel_tresholding,13,33.43442,25.6148,-23.38793,0.97686,0.94028,-3.74465,0.99698,0.95941,-3.76838,6.54726,58.18477,788.68886,0.993139982223511,0.873369991779327,-12.0597295761108
Case_1-07,avg,fixed_multilevel_tresholding,3,33.7408,23.29524,-30.95825,0.98074,0.92124,-6.06685,0.99621,0.93185,-6.46049,6.24799,6.1879,-0.96175,0.991209983825684,0.961440026760101,-3.00340008735657
Case_1-07,avg,fixed_multilevel_tresholding,5,33.7408,32.82861,-2.70352,0.98074,0.98088,0.01427,0.99621,0.99214,-0.40855,6.24799,10.38525,66.21746,0.991209983825684,0.983739972114563,-0.753629982471466
Case_1-07,avg,fixed_multilevel_tresholding,7,33.7408,31.89804,-5.46152,0.98074,0.97703,-0.37829,0.99621,0.98867,-0.75687,6.24799,18.67074,198.82794,0.991209983825684,0.966279983520508,-2.51511001586914
Case_1-07,avg,fixed_multilevel_tresholding,9,33.7408,29.86369,-11.49087,0.98074,0.96865,-1.23274,0.99621,0.98034,-1.59304,6.24799,29.64619,374.49164,0.991209983825684,0.938730001449585,-5.29453992843628
Case_1-07,avg,fixed_multilevel_tresholding,11,33.7408,28.06827,-16.81208,0.98074,0.9594,-2.17591,0.99621,0.96922,-2.70927,6.24799,40.45591,547.5028,0.991209983825684,0.903689980506897,-8.82960987091064
Case_1-07,avg,fixed_multilevel_tresholding,13,33.7408,26.57762,-21.23002,0.98074,0.95025,-3.10888,0.99621,0.95569,-4.06742,6.24799,49.95322,699.50864,0.991209983825684,0.862999975681305,-12.934700012207
Case_1-08,avg,fixed_multilevel_tresholding,3,34.15219,22.6432,-33.69913,0.97482,0.90921,-6.73047,0.99749,0.94019,-5.74442,5.59093,5.33004,-4.66631,0.991580009460449,0.95728999376297,-3.45812010765076
Case_1-08,avg,fixed_multilevel_tresholding,5,34.15219,32.52424,-4.76675,0.97482,0.97646,0.16824,0.99749,0.99372,-0.37795,5.59093,8.71791,55.92951,0.991580009460449,0.986410021781921,-0.521390020847321
Case_1-08,avg,fixed_multilevel_tresholding,7,34.15219,32.6435,-4.41755,0.97482,0.97582,0.10258,0.99749,0.9931,-0.4401,5.59093,15.51811,177.55865,0.991580009460449,0.973380029201508,-1.83545005321503
