name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_1-01,avg,multilevel_tresholding,3,33.47596,32.38603,-3.25586,0.97234,0.97467,0.23963,0.99732,0.9948,-0.25268,6.47817,6.13918,-5.2328,0.992820024490356,0.992630004882812,-0.0191399995237589
Case_1-01,avg,multilevel_tresholding,5,33.47596,32.93846,-1.60563,0.97234,0.97612,0.38875,0.99732,0.99483,-0.24967,6.47817,11.36507,75.43643,0.992820024490356,0.985580027103424,-0.729240000247955
Case_1-01,avg,multilevel_tresholding,7,33.47596,31.2813,-6.55593,0.97234,0.96959,-0.28282,0.99732,0.99098,-0.6357,6.47817,22.17625,242.32275,0.992820024490356,0.968259990215302,-2.47376990318298
Case_1-01,avg,multilevel_tresholding,9,33.47596,29.13507,-12.96719,0.97234,0.95886,-1.38635,0.99732,0.98402,-1.33357,6.47817,34.94268,439.39122,0.992820024490356,0.941269993782043,-5.19227981567383
Case_1-01,avg,multilevel_tresholding,11,33.47596,27.31792,-18.39541,0.97234,0.94679,-2.62768,0.99732,0.97498,-2.24,6.47817,46.50825,617.92265,0.992820024490356,0.907190024852753,-8.6249303817749
Case_1-01,avg,multilevel_tresholding,13,33.47596,25.83709,-22.81897,0.97234,0.93465,-3.87622,0.99732,0.96424,-3.31689,6.47817,55.99662,764.38948,0.992820024490356,0.868229985237122,-12.5491104125977
Case_1-02,avg,multilevel_tresholding,3,33.48185,32.03764,-4.31341,0.97174,0.9734,0.17083,0.99767,0.99462,-0.30571,6.01552,5.92665,-1.47735,0.994080007076263,0.993839979171753,-0.024150000885129
Case_1-02,avg,multilevel_tresholding,5,33.48185,32.94085,-1.6158,0.97174,0.97664,0.50425,0.99767,0.99533,-0.23455,6.01552,10.53286,75.09475,0.994080007076263,0.988810002803802,-0.530139982700348
Case_1-02,avg,multilevel_tresholding,7,33.48185,31.44463,-6.08455,0.97174,0.97183,0.00926,0.99767,0.99224,-0.54427,6.01552,21.38895,255.56278,0.994080007076263,0.974529981613159,-1.96665000915527
Case_1-02,avg,multilevel_tresholding,9,33.48185,29.0769,-13.15623,0.97174,0.96127,-1.07745,0.99767,0.98539,-1.23087,6.01552,35.80056,495.13658,0.994080007076263,0.949590027332306,-4.4754900932312
Case_1-02,avg,multilevel_tresholding,11,33.48185,27.00879,-19.33304,0.97174,0.94768,-2.47597,0.99767,0.97555,-2.21717,6.01552,49.27286,719.09561,0.994080007076263,0.91509997844696,-7.94504022598267
Case_1-02,avg,multilevel_tresholding,13,33.48185,25.32728,-24.3552,0.97174,0.93282,-4.00519,0.99767,0.9631,-3.46507,6.01552,59.91942,896.08047,0.994080007076263,0.873080015182495,-12.1720600128174
Case_1-03,avg,multilevel_tresholding,3,33.98032,32.42856,-4.56664,0.97747,0.97756,0.00921,0.99748,0.99428,-0.32081,5.70679,5.22638,-8.41822,0.991699993610382,0.991909980773926,0.0211699996143579
Case_1-03,avg,multilevel_tresholding,5,33.98032,32.97955,-2.94515,0.97747,0.97997,0.25576,0.99748,0.99444,-0.30477,5.70679,8.40258,47.23829,0.991699993610382,0.986039996147156,-0.570739984512329
Case_1-03,avg,multilevel_tresholding,7,33.98032,32.45588,-4.48624,0.97747,0.97748,0.00102,0.99748,0.99291,-0.45815,5.70679,15.60687,173.47896,0.991699993610382,0.97163999080658,-2.02278995513916
Case_1-03,avg,multilevel_tresholding,9,33.98032,30.67743,-9.72001,0.97747,0.97128,-0.63327,0.99748,0.9883,-0.92032,5.70679,25.2389,342.26089,0.991699993610382,0.949559986591339,-4.24926996231079
Case_1-03,avg,multilevel_tresholding,11,33.98032,29.01356,-14.61658,0.97747,0.96404,-1.37396,0.99748,0.98222,-1.52986,5.70679,35.32784,519.04924,0.991699993610382,0.92237001657486,-6.99102020263672
Case_1-03,avg,multilevel_tresholding,13,33.98032,27.59174,-18.80082,0.97747,0.95662,-2.13306,0.99748,0.97498,-2.25568,5.70679,44.59659,681.46541,0.991699993610382,0.891730010509491,-10.0806703567505
Case_1-04,avg,multilevel_tresholding,3,33.94747,33.34062,-1.78761,0.97893,0.98108,0.21963,0.99728,0.99546,-0.1825,5.43004,4.70363,-13.37762,0.992190003395081,0.993089973926544,0.0907099992036819
Case_1-04,avg,multilevel_tresholding,5,33.94747,33.82838,-0.35081,0.97893,0.98319,0.43517,0.99728,0.99544,-0.1845,5.43004,7.48556,37.8546,0.992190003395081,0.988349974155426,-0.387030005455017
Case_1-04,avg,multilevel_tresholding,7,33.94747,32.75805,-3.50371,0.97893,0.98071,0.18183,0.99728,0.99295,-0.43418,5.43004,14.60731,169.00925,0.992190003395081,0.97529000043869,-1.70329999923706
Case_1-04,avg,multilevel_tresholding,9,33.94747,30.77258,-9.35236,0.97893,0.97475,-0.427,0.99728,0.9875,-0.98067,5.43004,24.99067,360.22994,0.992190003395081,0.953419983386993,-3.90752005577087
Case_1-04,avg,multilevel_tresholding,11,33.94747,28.92508,-14.79459,0.97893,0.9671,-1.20846,0.99728,0.97993,-1.73973,5.43004,35.92467,561.59126,0.992190003395081,0.924399971961975,-6.832359790802
Case_1-04,avg,multilevel_tresholding,13,33.94747,27.371,-19.37249,0.97893,0.95878,-2.05837,0.99728,0.97061,-2.67427,5.43004,45.62199,740.17779,0.992190003395081,0.89002001285553,-10.2974195480347
Case_1-05,avg,multilevel_tresholding,3,33.96857,33.22072,-2.20159,0.97769,0.9798,0.21581,0.99717,0.99524,-0.19355,5.98537,5.2708,-11.93861,0.99124002456665,0.991850018501282,0.061540000140667
Case_1-05,avg,multilevel_tresholding,5,33.96857,33.53023,-1.29043,0.97769,0.98098,0.33651,0.99717,0.99491,-0.22664,5.98537,8.83995,47.69262,0.99124002456665,0.98513001203537,-0.616400003433228
Case_1-05,avg,multilevel_tresholding,7,33.96857,32.31181,-4.87733,0.97769,0.97692,-0.07876,0.99717,0.992,-0.51847,5.98537,16.71774,179.31005,0.99124002456665,0.969250023365021,-2.21843004226685
Case_1-05,avg,multilevel_tresholding,9,33.96857,30.4247,-10.43279,0.97769,0.96993,-0.79371,0.99717,0.98651,-1.06903,5.98537,26.81804,348.05985,0.99124002456665,0.945339977741241,-4.63056993484497
Case_1-05,avg,multilevel_tresholding,11,33.96857,28.75914,-15.33603,0.97769,0.96216,-1.58844,0.99717,0.97952,-1.77001,5.98537,36.85206,515.70229,0.99124002456665,0.916279971599579,-7.5622501373291
Case_1-05,avg,multilevel_tresholding,13,33.96857,27.36221,-19.44845,0.97769,0.95439,-2.38317,0.99717,0.97132,-2.59234,5.98537,45.73838,664.16963,0.99124002456665,0.883870005607605,-10.8318901062012
Case_1-06,avg,multilevel_tresholding,3,33.43442,31.87993,-4.64937,0.97686,0.97698,0.01228,0.99698,0.99315,-0.38416,6.54726,6.34419,-3.1016,0.993139982223511,0.992869973182678,-0.0271899998188019
Case_1-06,avg,multilevel_tresholding,5,33.43442,32.84196,-1.77201,0.97686,0.97958,0.27844,0.99698,0.99421,-0.27784,6.54726,10.84485,65.63952,0.993139982223511,0.987399995326996,-0.577960014343262
Case_1-06,avg,multilevel_tresholding,7,33.43442,31.47103,-5.87236,0.97686,0.97455,-0.23647,0.99698,0.99086,-0.61385,6.54726,21.03963,221.35015,0.993139982223511,0.972609996795654,-2.06717991828918
Case_1-06,avg,multilevel_tresholding,9,33.43442,29.2282,-12.58051,0.97686,0.9648,-1.23457,0.99698,0.98337,-1.36512,6.54726,34.537,427.50311,0.993139982223511,0.947780013084412,-4.56732988357544
Case_1-06,avg,multilevel_tresholding,11,33.43442,27.24573,-18.50994,0.97686,0.95291,-2.45173,0.99698,0.97278,-2.42733,6.54726,47.51235,625.68296,0.993139982223511,0.91414999961853,-7.95355987548828
Case_1-06,avg,multilevel_tresholding,13,33.43442,25.61379,-23.39095,0.97686,0.94029,-3.74363,0.99698,0.95943,-3.76637,6.54726,58.20704,789.029,0.993139982223511,0.873390018939972,-12.0577096939087
Case_1-07,avg,multilevel_tresholding,3,33.7408,32.17728,-4.63392,0.98074,0.98016,-0.05914,0.99621,0.9915,-0.47279,6.24799,5.86647,-6.10628,0.991209983825684,0.991010010242462,-0.0201699994504452
Case_1-07,avg,multilevel_tresholding,5,33.7408,33.25481,-1.44036,0.98074,0.98224,0.15295,0.99621,0.99299,-0.32323,6.24799,9.83998,57.49033,0.991209983825684,0.984019994735718,-0.725369989871979
Case_1-07,avg,multilevel_tresholding,7,33.7408,31.94761,-5.3146,0.98074,0.97724,-0.35687,0.99621,0.98885,-0.7388,6.24799,18.50529,196.17989,0.991209983825684,0.966369986534119,-2.50603008270264
Case_1-07,avg,multilevel_tresholding,9,33.7408,29.87364,-11.46138,0.98074,0.96872,-1.22561,0.99621,0.98042,-1.58501,6.24799,29.64292,374.4393,0.991209983825684,0.938759982585907,-5.29151010513306
Case_1-07,avg,multilevel_tresholding,11,33.7408,28.0693,-16.80903,0.98074,0.95941,-2.17489,0.99621,0.96926,-2.70525,6.24799,40.49982,548.20558,0.991209983825684,0.903729975223541,-8.82557964324951
Case_1-07,avg,multilevel_tresholding,13,33.7408,26.57962,-21.2241,0.98074,0.95026,-3.10786,0.99621,0.95576,-4.06039,6.24799,49.98912,700.08323,0.991209983825684,0.863089978694916,-12.9256200790405
Case_1-08,avg,multilevel_tresholding,3,34.15219,32.72733,-4.17209,0.97482,0.97617,0.13849,0.99749,0.99461,-0.28872,5.59093,5.12042,-8.41559,0.991580009460449,0.992060005664825,0.0484099984169006
Case_1-08,avg,multilevel_tresholding,5,34.15219,33.5601,-1.73368,0.97482,0.97903,0.43187,0.99749,0.9952,-0.22958,5.59093,8.20019,46.66952,0.991580009460449,0.986890017986298,-0.472979992628098
Case_1-08,avg,multilevel_tresholding,7,34.15219,32.71689,-4.20266,0.97482,0.97609,0.13028,0.99749,0.99325,-0.42507,5.59093,15.28941,173.4681,0.991580009460449,0.97350001335144,-1.82334995269775
Case_1-08,avg,multilevel_tresholding,9,34.15219,30.84201,-9.69244,0.97482,0.96945,-0.55087,0.99749,0.98858,-0.89324,5.59093,24.81623,343.86587,0.991580009460449,0.952430009841919,-3.94824004173279
Case_1-08,avg,multilevel_tresholding,11,34.15219,29.11553,-14.74769,0.97482,0.9615,-1.36641,0.99749,0.98235,-1.51781,5.59093,34.67196,520.14656,0.991580009460449,0.925859987735748,-6.62781000137329
Case_1-08,avg,multilevel_tresholding,13,34.15219,27.64986,-19.03928,0.97482,0.95318,-2.2199,0.99749,0.97486,-2.26869,5.59093,43.57027,679.30273,0.991580009460449,0.895449995994568,-9.69462966918945
Case_10-01,avg,multilevel_tresholding,3,32.91349,32.3195,-1.8047,0.96404,0.96752,0.36098,0.99302,0.98917,-0.38771,8.02992,7.99945,-0.37946,0.99141001701355,0.989730000495911,-0.169459998607635
Case_10-01,avg,multilevel_tresholding,5,32.91349,31.08616,-5.55192,0.96404,0.95139,-1.31219,0.99302,0.98248,-1.06141,8.02992,20.49813,155.27191,0.99141001701355,0.969730019569397,-2.18677997589111
Case_10-01,avg,multilevel_tresholding,7,32.91349,28.3562,-13.84627,0.96404,0.91684,-4.89606,0.99302,0.96186,-3.1379,8.02992,37.53072,367.38598,0.99141001701355,0.92603999376297,-6.59363985061646
Case_10-01,avg,multilevel_tresholding,9,32.91349,26.25818,-20.22061,0.96404,0.88068,-8.64694,0.99302,0.93348,-5.99585,8.02992,50.02797,523.01953,0.99141001701355,0.864870011806488,-12.7636404037476
Case_10-01,avg,multilevel_tresholding,11,32.91349,24.79888,-24.65436,0.96404,0.85126,-11.69868,0.99302,0.90255,-9.11059,8.02992,58.4001,627.28122,0.99141001701355,0.797559976577759,-19.5529594421387
Case_10-01,avg,multilevel_tresholding,13,32.91349,23.74736,-27.84916,0.96404,0.82938,-13.9683,0.99302,0.87143,-12.24447,8.02992,64.19471,699.44395,0.99141001701355,0.730809986591339,-26.2858009338379
Case_10-02,avg,multilevel_tresholding,3,33.66156,30.98351,-7.95581,0.96895,0.96635,-0.26833,0.99416,0.98264,-1.15877,6.85,7.28631,6.36949,0.992160022258759,0.990040004253387,-0.213679999113083
Case_10-02,avg,multilevel_tresholding,5,33.66156,31.36168,-6.83236,0.96895,0.95879,-1.04856,0.99416,0.98375,-1.04712,6.85,16.56764,141.86336,0.992160022258759,0.975679993629456,-1.66103005409241
